
[00:00:00.000 --> 00:00:06.000]  我們今天晚上所讀的經文45章第一節開始
[00:00:06.000 --> 00:00:09.000]  你已經讀到44章了
[00:00:09.000 --> 00:00:13.000]  那你就有一個基礎
[00:00:13.000 --> 00:00:18.000]  可以接著讀下去
[00:00:18.000 --> 00:00:22.000]  不過讀了的不要水過鴨背
[00:00:22.000 --> 00:00:25.000]  42章講什麼的
[00:00:25.000 --> 00:00:30.000]  其他壓箱的蘆葦他不截斷
[00:00:30.000 --> 00:00:34.000]  請問41章講什麼的
[00:00:34.000 --> 00:00:44.000]  43章起碼我們記得40章31節
[00:00:44.000 --> 00:00:49.000]  全章先知的訊息
[00:00:49.000 --> 00:00:56.000]  是停留在魚鷹展翅上騰
[00:00:56.000 --> 00:01:00.000]  這個比喻上面
[00:01:00.000 --> 00:01:02.000]  記得了
[00:01:02.000 --> 00:01:07.000]  百姓成言是草
[00:01:07.000 --> 00:01:14.000]  耶和華的Ruach吹在旗上
[00:01:14.000 --> 00:01:20.000]  草必枯幹,花必凋殘
[00:01:20.000 --> 00:01:25.000]  不是的,作為神的百姓
[00:01:25.000 --> 00:01:31.000]  我們有神永遠立定的說話
[00:01:31.000 --> 00:01:34.000]  上帝的話提醒我們
[00:01:34.000 --> 00:01:38.000]  祂的靈,祂的Ruach
[00:01:38.000 --> 00:01:42.000]  不是要來摧毀我們的
[00:01:42.000 --> 00:01:48.000]  而是好像鷹展開翅膀
[00:01:48.000 --> 00:01:55.000]  我很喜歡這個大會主題的圖畫
[00:01:55.000 --> 00:02:00.000]  祂不是在那裡努力拍翼
[00:02:00.000 --> 00:02:07.000]  憑著自己的力量而向上飛騰
[00:02:07.000 --> 00:02:15.000]  鷹是懂得穩熱的空氣
[00:02:15.000 --> 00:02:20.000]  乘著熱風向上乘
[00:02:20.000 --> 00:02:25.000]  魚鷹展翅上騰
[00:02:25.000 --> 00:02:27.000]  不是順其自然
[00:02:27.000 --> 00:02:29.000]  不是逆來順受
[00:02:29.000 --> 00:02:32.000]  上帝你怎麼說怎麼好
