
[00:00:00.000 --> 00:00:06.120]  我們剛才說 偏心是出於愛 不是惡意
[00:00:06.120 --> 00:00:10.320]  但往往卻會帶來傷害
[00:00:10.320 --> 00:00:15.080]  我們開始讀聖經 創世紀三十七章 第三節
[00:00:15.080 --> 00:00:19.280]  我們看看在雅各這個家庭是怎樣發生事情的
[00:00:19.280 --> 00:00:21.280]  我們一起來讀
[00:00:21.280 --> 00:00:22.280]  一二三
[00:00:22.280 --> 00:00:27.040]  以色列原來愛約瑟過於愛他的眾子
[00:00:27.040 --> 00:00:34.360]  因為約瑟是他年老生的 他給約瑟造了一件才衣
[00:00:34.360 --> 00:00:39.200]  這裡說到以色列 其實是雅各 他改了名叫以色列
[00:00:39.200 --> 00:00:45.640]  雅各如果你有留意他的背景 其實他有十二個兒子
[00:00:45.640 --> 00:00:51.560]  聖經說他最疼愛的就是約瑟 約瑟是尾二的兒子
[00:00:51.560 --> 00:01:00.400]  其實是他年老時來生 和他最愛的太太拉傑生的
[00:01:00.400 --> 00:01:10.080]  但拉傑去世了 離世後 約瑟將他對拉傑的愛投放在這個兒子身上
[00:01:10.080 --> 00:01:13.560]  所以他愛這個兒子是無可厚非的
[00:01:13.560 --> 00:01:19.080]  可以理解為何他這麼愛這個兒子 因為他實在很掛念拉傑
[00:01:19.080 --> 00:01:20.560]  所以他就愛這個兒子
[00:01:20.560 --> 00:01:24.280]  其實愛這個兒子 約瑟是沒有問題的
[00:01:24.280 --> 00:01:30.160]  愛有什麼問題呢 但問題出於他將這件才衣
[00:01:30.160 --> 00:01:33.080]  造了一件才衣 特別是給了這個兒子
[00:01:33.080 --> 00:01:37.960]  令到這件才衣 令到他身旁的十一個兒子
[00:01:37.960 --> 00:01:41.720]  就覺得 啊 爸爸你只是疼愛他而已
[00:01:41.720 --> 00:01:43.640]  為什麼你要將這件衣服給他
[00:01:43.640 --> 00:01:47.160]  因為才衣當時不只是一件漂亮的衣服那麼簡單
[00:01:47.160 --> 00:01:51.800]  是一件地位和身份的象徵
[00:01:51.800 --> 00:01:54.400]  所以他將這件才衣給了他的時候
[00:01:54.400 --> 00:01:59.880]  兒子就覺得 原來爸爸對我們拿不到這件才衣的人的愛
[00:01:59.880 --> 00:02:01.280]  是有分別的
