
[00:00:00.000 --> 00:00:10.000]  今天我們要跟弟兄準備分享的題目就是《使徒行傳教會在逼迫中往前》
[00:00:10.000 --> 00:00:18.000]  《使徒行傳》第四章我們的信息裏頭包含的是第四章的全章
[00:00:18.000 --> 00:00:26.000]  我們在第三章裏面就看到一個生了缺腿的人得到醫治
[00:00:26.000 --> 00:00:31.000]  讓他到門口每天去要人救濟他
[00:00:31.000 --> 00:00:35.000]  那天就碰到彼得和約翰
[00:00:35.000 --> 00:00:38.000]  他們就到聖殿來禱告
[00:00:38.000 --> 00:00:43.000]  那麼這個人就要看到彼得
[00:00:43.000 --> 00:00:46.000]  想從他這裏得到什麼
[00:00:46.000 --> 00:00:48.000]  結果彼得跟他說
[00:00:48.000 --> 00:00:50.000]  這個金銀我都沒有
[00:00:50.000 --> 00:00:53.000]  只把我所有的給你
[00:00:53.000 --> 00:00:56.000]  我奉納撒登耶穌的名
[00:00:56.000 --> 00:00:58.000]  叫你起來行走
[00:00:58.000 --> 00:01:00.000]  當他這麼說的時候
[00:01:00.000 --> 00:01:03.000]  這個缺子就立刻就得到痊癒
[00:01:03.000 --> 00:01:11.000]  他就腿他的腳都健壯了
[00:01:11.000 --> 00:01:14.000]  然後就跳起來又行走又站沒神
[00:01:14.000 --> 00:01:18.000]  一直跟他到聖殿裏頭
[00:01:18.000 --> 00:01:27.000]  那麼這個很多人就聽到這個彼得就跟他們講到這個缺腿的人怎麼得到醫治的情形
[00:01:27.000 --> 00:01:31.000]  那麼就有好多人信得住了
[00:01:31.000 --> 00:01:33.000]  可是呢
[00:01:33.000 --> 00:01:37.000]  當時的宗教領袖就提示上長老文士
[00:01:37.000 --> 00:01:39.000]  這些所代表的
[00:01:39.000 --> 00:01:43.000]  他們就要坐拿這個使徒
[00:01:43.000 --> 00:01:49.000]  因爲那天他們坐那裏這個使徒以後呢
[00:01:49.000 --> 00:01:51.000]  天已經比較晚了
[00:01:51.000 --> 00:01:55.000]  所以就不能夠開會來審判他們
[00:01:55.000 --> 00:01:56.000]  只能放到第二天
[00:01:56.000 --> 00:02:00.000]  因爲他們不能在晚上審判人的
[00:02:00.000 --> 00:02:03.000]  所以他們就把他關起來
[00:02:03.000 --> 00:02:05.000]  第二天
[00:02:05.000 --> 00:02:08.000]  那麼就開堂了
[00:02:08.000 --> 00:02:12.000]  所以這個是因爲傳講耶穌受到逼迫
[00:02:12.000 --> 00:02:15.000]  這可以說是教會
[00:02:15.000 --> 00:02:19.000]  這個歷史上的第一次教會受到逼迫
[00:02:19.000 --> 00:02:28.000]  那麼我們第四章呢就看到給我們看到這個當時的使徒們是怎樣的忍受逼迫的
[00:02:28.000 --> 00:02:31.000]  他們怎麼在逼迫的當中
[00:02:31.000 --> 00:02:36.000]  他們怎麼能夠高舉耶穌基督的名爲耶穌基督贊助
[00:02:36.000 --> 00:02:40.000]  把耶穌的福音傳給這些需要的人
[00:02:40.000 --> 00:02:47.000]  我們可以看到這個祭祀場殺都該人的反應
[00:02:47.000 --> 00:02:54.000]  因爲他們聽見這個使徒傳耶穌的第二天說了
[00:02:54.000 --> 00:03:02.000]  因他們教訓百姓本着耶穌傳說使人復活就很煩惱
[00:03:02.000 --> 00:03:10.000]  因爲彼得所講的前面所講的就講到因爲耶穌基督是復活了
[00:03:10.000 --> 00:03:13.000]  他是人的救主
[00:03:13.000 --> 00:03:19.000]  那麼要神就先差遣耶穌到你們這裏來
[00:03:19.000 --> 00:03:22.000]  要賜福給你們
