
[00:00:00.000 --> 00:00:03.740]  感謝神,今天我們繼續回到《希伯來書》
[00:00:03.740 --> 00:00:05.440]  我們去到第十一章,差不多完結了
[00:00:05.440 --> 00:00:07.240]  大家稍安勿躁
[00:00:07.240 --> 00:00:09.080]  我們一整年都在讀《希伯來書》
[00:00:09.080 --> 00:00:10.560]  有沒有得著呢?
[00:00:10.560 --> 00:00:11.640]  有得著的,是呀
[00:00:11.640 --> 00:00:13.640]  今天我們一起大聲朗讀
[00:00:13.640 --> 00:00:16.400]  《希伯來書》第十一章的三十二至三十五節
[00:00:16.400 --> 00:00:17.340]  一、二、三
[00:00:17.340 --> 00:00:19.600]  我又何必再說呢?
[00:00:19.600 --> 00:00:21.240]  若要一一細說
[00:00:21.240 --> 00:00:26.240]  基田、巴拉、參宣、耶穌他、大衛、薩姆爾和、
[00:00:26.240 --> 00:00:29.000]  眾先知之事,事後就不夠了
[00:00:29.000 --> 00:00:31.900]  他們恩著信,制伏了敵國
[00:00:31.900 --> 00:00:34.240]  行了公義,得了應許
[00:00:34.240 --> 00:00:37.700]  倒了獅子的口,滅了烈火的萬世
[00:00:37.700 --> 00:00:41.940]  脫了刀劍的鋒刃,軟弱變為剛強
[00:00:41.940 --> 00:00:46.000]  真戰獻出勇敢,打退外邦的全軍
[00:00:46.000 --> 00:00:49.040]  有婦人得自己的死人復活
[00:00:49.040 --> 00:00:53.140]  又有人忍受嚴刑,不肯苟且得釋放
[00:00:53.140 --> 00:00:56.040]  惟要得著更美的復活
[00:00:56.040 --> 00:00:59.540]  大卿姐妹,今天梁牧師想我們學習一件事
[00:00:59.540 --> 00:01:03.500]  就是如何從軟弱變為剛強
[00:01:03.500 --> 00:01:08.300]  今天我們一起去檢查這段經文的時候
[00:01:08.300 --> 00:01:11.800]  我希望大家都可以由軟弱變為剛強
[00:01:11.800 --> 00:01:14.440]  不單止這樣,我們要知道何謂剛強
[00:01:14.440 --> 00:01:16.800]  我們今天的主題是什麼?
[00:01:16.800 --> 00:01:18.140]  一起讀,好嗎?
[00:01:18.140 --> 00:01:20.740]  真正的主內剛強
[00:01:20.740 --> 00:01:23.640]  我們一起繼續講我們的經文之前
[00:01:23.640 --> 00:01:25.900]  我們一起祈禱,好嗎?
[00:01:25.900 --> 00:01:30.300]  天父上帝,感謝祢知道我們是很軟弱的
[00:01:30.300 --> 00:01:34.500]  主啊,我們人生裡面有很多勞苦的時候
[00:01:34.500 --> 00:01:36.600]  有很多搞不定的時候
