
[00:00:00.000 --> 00:00:01.820]  分享生命
[00:00:01.820 --> 00:00:04.500]  人的生命是什麼生命呢?
[00:00:04.500 --> 00:00:10.000]  我覺得人有信主之前和信主之後的生命
[00:00:10.000 --> 00:00:13.760]  信主之前的生命就是命是屬於自己的
[00:00:13.760 --> 00:00:18.160]  所以聖經說命是屬血氣
[00:00:18.160 --> 00:00:21.000]  屬肉體的生命
[00:00:21.000 --> 00:00:22.280]  是這種生命
[00:00:22.280 --> 00:00:23.760]  但是信了主之後
[00:00:23.760 --> 00:00:26.080]  我們講到是屬於神的
[00:00:26.080 --> 00:00:27.800]  命是屬於神的
[00:00:27.800 --> 00:00:32.080]  或者講到屬靈的是被聖靈來管治
[00:00:32.080 --> 00:00:35.280]  所以我們知道屬靈的生命
[00:00:35.280 --> 00:00:39.000]  是想將生命和人分享的
[00:00:39.000 --> 00:00:40.560]  屬自己的生命
[00:00:40.560 --> 00:00:43.000]  就是我們吸取其他人的東西
[00:00:43.000 --> 00:00:44.680]  所以你見到他都很驚
[00:00:44.680 --> 00:00:46.640]  他在吸你的
[00:00:46.640 --> 00:00:49.040]  一見到就問你借錢之類
[00:00:49.040 --> 00:00:53.000]  這些舊的生命是一種腐爛的生命
[00:00:53.000 --> 00:00:54.640]  是一種臭的生命
[00:00:54.640 --> 00:00:59.040]  但是新的生命是能夠使人有新的感覺
[00:00:59.040 --> 00:01:01.480]  新的一種盼望
[00:01:01.480 --> 00:01:03.760]  是將神的愛帶出去的
[00:01:03.760 --> 00:01:07.880]  所以我們今天特別講到新的生命
[00:01:07.880 --> 00:01:10.840]  若有人在基督裏他就是新造的人
[00:01:10.840 --> 00:01:14.000]  舊事已過都變成新的了
[00:01:14.000 --> 00:01:16.920]  在這裏先問一問大家
[00:01:16.920 --> 00:01:22.080]  究竟我們的生命是新的生命還是舊的生命呢?
[00:01:22.080 --> 00:01:25.600]  如果我們信了主的人就不要回到舊的生命
[00:01:25.600 --> 00:01:29.040]  新的生命是來到明耀主的名
[00:01:29.040 --> 00:01:34.120]  將神的福樂帶給其他人
[00:01:34.120 --> 00:01:36.320]  先和大家讀一段經文
[00:01:36.320 --> 00:01:42.520]  在約翰福音第四章二十七節
[00:01:42.520 --> 00:01:44.480]  這裏說當下門徒回來
[00:01:44.480 --> 00:01:47.920]  就唏其耶穌和一個婦人在說話
[00:01:47.920 --> 00:01:51.280]  只是沒有人問他你要什麼
[00:01:51.280 --> 00:01:55.840]  或者問他你爲什麼要和這個婦人說話
[00:01:55.840 --> 00:01:59.360]  婦人就留下這個水罐子往城裏面去
[00:01:59.360 --> 00:02:00.720]  對衆人說
[00:02:00.720 --> 00:02:04.880]  「你們內漢有一個人將我素來所行的一切事
[00:02:04.880 --> 00:02:06.680]  都給我說出來了
[00:02:06.680 --> 00:02:09.000]  莫非這個就是基督嗎?」
[00:02:09.000 --> 00:02:12.280]  衆人就出城往耶穌那裏去
