
[00:00:00.000 --> 00:00:07.000]  今日我想說的題目是「落被猜派的群體」
[00:00:07.000 --> 00:00:09.000]  即是被主猜派
[00:00:09.000 --> 00:00:11.000]  不知道你有沒有試過被主猜派呢
[00:00:11.000 --> 00:00:15.000]  猜派的意思是主感動你
[00:00:15.000 --> 00:00:19.000]  呼召你 吩咐你去一個地方
[00:00:19.000 --> 00:00:22.000]  作成他的工作 作成他的指引
[00:00:22.000 --> 00:00:24.000]  有多少人你試過的
[00:00:24.000 --> 00:00:26.000]  有這個經驗的
[00:00:26.000 --> 00:00:28.000]  請你舉一下手
[00:00:28.000 --> 00:00:30.000]  家中的我看不到你
[00:00:30.000 --> 00:00:32.000]  不過我相信很多人都有這個經驗
[00:00:32.000 --> 00:00:36.000]  上個禮拜日
[00:00:36.000 --> 00:00:38.000]  我們有三四十位的弟兄姊妹
[00:00:38.000 --> 00:00:42.000]  連同工在這裏一起祈禱
[00:00:42.000 --> 00:00:44.000]  為甚麼祈禱呢
[00:00:44.000 --> 00:00:46.000]  上個禮拜日下午有誰在這裏
[00:00:46.000 --> 00:00:48.000]  有呀 都有一些
[00:00:48.000 --> 00:00:50.000]  有呀 為甚麼
[00:00:50.000 --> 00:00:52.000]  為現在看得到
[00:00:52.000 --> 00:00:54.000]  看不到 你們看不到
[00:00:54.000 --> 00:00:56.000]  我的縫隙都看得到
[00:00:56.000 --> 00:00:58.000]  看得到對面有幾棟樓快要興建完
[00:00:58.000 --> 00:01:00.000]  準備入伙
[00:01:00.000 --> 00:01:04.000]  那裏叫鑽石山新發展區
[00:01:04.000 --> 00:01:06.000]  是公屋
[00:01:06.000 --> 00:01:10.000]  我們知道主要是叫我們進入去
[00:01:10.000 --> 00:01:12.000]  不過怎樣做我們不知道
[00:01:12.000 --> 00:01:14.000]  所以我們上個禮拜日
[00:01:14.000 --> 00:01:16.000]  有三四十位的弟兄姊妹同工
[00:01:16.000 --> 00:01:18.000]  在這裏一起尋求主
[00:01:18.000 --> 00:01:20.000]  主究竟我們進去的時候
[00:01:20.000 --> 00:01:22.000]  你想我們做甚麼呢
[00:01:22.000 --> 00:01:28.000]  有甚麼策略有甚麼心意要成就呢
[00:01:28.000 --> 00:01:30.000]  主究告訴我們
[00:01:30.000 --> 00:01:36.000]  我們要將活水帶進去屋苑範圍裏
[00:01:36.000 --> 00:01:38.000]  而活水是從哪裏來的
[00:01:38.000 --> 00:01:40.000]  不是說遲些那裏有個活水公園
[00:01:40.000 --> 00:01:42.000]  會自動泵一些活水上來
[00:01:42.000 --> 00:01:46.000]  是原來他吩咐我們
[00:01:46.000 --> 00:01:52.000]  當我們就是屬主的人進入範圍裏
[00:01:52.000 --> 00:01:58.000]  我們就會從腹中湧出活水去浸滿那裏
[00:01:58.000 --> 00:02:00.000]  即是說我們這個人要怎樣
[00:02:00.000 --> 00:02:04.000]  要進入裏面
[00:02:04.000 --> 00:02:08.000]  這個其實都是被主差派出去
[00:02:08.000 --> 00:02:10.000]  接著禮拜二
