
[00:00:00.000 --> 00:00:04.500]  早安!希望愛!雲端的弟兄姊妹平安!
[00:00:04.500 --> 00:00:08.000]  聖經在鐵薩羅黎加前書
[00:00:08.000 --> 00:00:10.500]  四章十七節裡面說到
[00:00:10.500 --> 00:00:12.000]  主再來的時候
[00:00:12.000 --> 00:00:15.500]  我們信徒都要被提到雲端裡
[00:00:15.500 --> 00:00:18.000]  在宮中與主相會
[00:00:18.000 --> 00:00:20.500]  那最近這兩個月的主日裡面
[00:00:20.500 --> 00:00:22.500]  你都上了雲端嗎?
[00:00:22.500 --> 00:00:25.500]  有沒有在空中遇見主啊?
[00:00:25.500 --> 00:00:29.500]  聖經雖然沒有說主是什麼時候會再來
[00:00:29.500 --> 00:00:32.500]  但是一個幽默的提醒
[00:00:32.500 --> 00:00:35.500]  在主日的早上不要睡懶覺哦
[00:00:35.500 --> 00:00:36.500]  不要忘了哦
[00:00:36.500 --> 00:00:38.000]  不論你在哪裡
[00:00:38.000 --> 00:00:39.500]  不論你做什麼
[00:00:39.500 --> 00:00:44.500]  別錯過了在希望愛雲端與主相會的機會哦
[00:00:44.500 --> 00:00:46.500]  今天是母親節
[00:00:46.500 --> 00:00:49.500]  以往教會母親節
[00:00:49.500 --> 00:00:53.500]  都會為姐妹們預備花和禮物
[00:00:53.500 --> 00:00:56.500]  那今年我們沒有準備
[00:00:56.500 --> 00:00:57.500]  因為這個疫情
[00:00:57.500 --> 00:00:59.500]  但是非常的感恩
[00:00:59.500 --> 00:01:03.500]  早上小遠帶來了一大束的玫瑰花
[00:01:03.500 --> 00:01:06.500]  所以今天有到教會來的姐妹們
[00:01:06.500 --> 00:01:07.500]  弟兄們
[00:01:07.500 --> 00:01:09.500]  你們都可以一人拿一支花回家
[00:01:09.500 --> 00:01:11.500]  感謝讚美主
[00:01:11.500 --> 00:01:13.500]  那雖然我們沒有禮物
[00:01:13.500 --> 00:01:14.500]  但是今年呢
[00:01:14.500 --> 00:01:17.500]  我們用神的話來祝福我們的姐妹們
[00:01:17.500 --> 00:01:19.500]  媽媽群
[00:01:19.500 --> 00:01:21.500]  我還是要特別的提醒
[00:01:21.500 --> 00:01:23.500]  母親不只是肉身的
[00:01:23.500 --> 00:01:26.500]  只要你有在餵養屬靈的兒女
[00:01:26.500 --> 00:01:28.500]  你就是媽媽了
[00:01:28.500 --> 00:01:31.500]  讓我們來尊榮你媽媽們
[00:01:31.500 --> 00:01:33.500]  在耶利米蘇
[00:01:33.500 --> 00:01:38.500]  第一個禮物就是在耶利米蘇31章第四節
[00:01:38.500 --> 00:01:40.500]  神的兒女啊
[00:01:40.500 --> 00:01:42.500]  天父要在建立你
[00:01:42.500 --> 00:01:44.500]  你就要被建立
[00:01:44.500 --> 00:01:46.500]  你必在以擊鼓為美
[00:01:46.500 --> 00:01:50.500]  與歡樂的人一同跳舞而出
[00:01:50.500 --> 00:01:52.500]  要做一個快樂的媽媽
[00:01:52.500 --> 00:01:56.500]  要活出神為你預備的美好人生
[00:01:56.500 --> 00:02:01.500]  在彼得前書第三章第二節到第四節裡頭也說
[00:02:01.500 --> 00:02:02.500]  媽媽們
[00:02:02.500 --> 00:02:06.500]  我們要有貞潔的品性和敬畏的心
[00:02:06.500 --> 00:02:08.500]  不要單以外面的編頭髮
[00:02:08.500 --> 00:02:13.500]  戴金飾穿美衣為裝飾
[00:02:13.500 --> 00:02:19.500]  只要我們的裡面常常存著長久溫柔安靜的心為裝飾
[00:02:19.500 --> 00:02:23.500]  那在神面前就是極寶貴的
[00:02:23.500 --> 00:02:24.500]  姐妹們
[00:02:24.500 --> 00:02:26.500]  不要忘了你是尊貴的
[00:02:26.500 --> 00:02:28.500]  你是可愛可敬的
[00:02:28.500 --> 00:02:30.500]  你要常常的記住
[00:02:30.500 --> 00:02:33.500]  抬起你的頭挺起你的胸來
[00:02:33.500 --> 00:02:34.500]  Hallelujah
[00:02:34.500 --> 00:02:36.500]  感謝讚美主
[00:02:36.500 --> 00:02:38.500]  那我們還要祝福我們的姐妹們
[00:02:38.500 --> 00:02:40.500]  有美好的靈性
[00:02:40.500 --> 00:02:43.500]  像聖經裡蒙紀念的女子
[00:02:43.500 --> 00:02:46.500]  如萬人之母Sara
[00:02:46.500 --> 00:02:49.500]  Sara是個有尊榮的母親
[00:02:49.500 --> 00:02:51.500]  還有利百家Rebecca
[00:02:51.500 --> 00:02:53.500]  她是一個賢慧的妻子
[00:02:53.500 --> 00:02:56.500]  還有我們的女士師DiBorah
[00:02:56.500 --> 00:02:59.500]  她是一個英勇的女士師
[00:02:59.500 --> 00:03:02.500]  還有禱告的母親Hannah
[00:03:02.500 --> 00:03:05.500]  還有是婆媳的表率路德
[00:03:05.500 --> 00:03:09.500]  還有保護探子的女英雄拉何
[00:03:09.500 --> 00:03:12.500]  這些都是我們值得敬重的
[00:03:12.500 --> 00:03:14.500]  再加上皇后以斯帖
[00:03:14.500 --> 00:03:19.500]  她是一個忠心勇敢的女子
[00:03:19.500 --> 00:03:22.500]  還有我們耶穌的母親瑪利亞
[00:03:22.500 --> 00:03:25.500]  她是一個謙卑順服的女子
[00:03:25.500 --> 00:03:28.500]  還有施洗約翰的母親伊麗莎白
[00:03:28.500 --> 00:03:31.500]  她的信心是值得尊重的
[00:03:31.500 --> 00:03:33.500]  尊敬的學習的
[00:03:33.500 --> 00:03:36.500]  還有打破玉瓶愛主的瑪利亞
[00:03:36.500 --> 00:03:39.500]  主特別說她所做的是一件美事
