
[00:00:00.000 --> 00:00:02.960]  上星期我們講了哥倫多前書第十三章
[00:00:02.960 --> 00:00:06.560]  這一章聖經,我猜即使你不是基督徒
[00:00:06.560 --> 00:00:07.920]  你也應該聽過了
[00:00:07.920 --> 00:00:10.720]  你幾時經常聽這段經文呢?
[00:00:10.720 --> 00:00:13.360]  婚禮,是的
[00:00:13.360 --> 00:00:17.440]  我們曾幾何時唱過一首歌是喪禮之曲,是吧?
[00:00:17.440 --> 00:00:18.800]  那我這次要平衡一下
[00:00:18.800 --> 00:00:20.880]  我們就講一下婚禮經常講的經文
[00:00:20.880 --> 00:00:25.120]  今天要講的經文是在臨前第十三章四至七節
[00:00:25.120 --> 00:00:27.280]  講的題目是愛事
[00:00:27.280 --> 00:00:30.720]  上次講了如果我們沒有了愛
[00:00:30.720 --> 00:00:33.040]  很多事情都不行,是吧?
[00:00:33.040 --> 00:00:38.000]  我記得上星期最大的提醒對我自己就是
[00:00:38.000 --> 00:00:41.440]  原來愛是所有行動的起點
[00:00:41.440 --> 00:00:44.960]  以及所有行動的終點
[00:00:44.960 --> 00:00:48.560]  如果我們做的所有事情不是出於愛
[00:00:48.560 --> 00:00:51.120]  正如聖經所說是沒有意義的
[00:00:51.120 --> 00:00:54.960]  又或者我們做了很多事情原來不是希望成就愛
[00:00:54.960 --> 00:00:56.720]  我們都是徒勞無功的
[00:00:56.720 --> 00:00:59.680]  原來神很想我們進入一個境界
[00:00:59.680 --> 00:01:01.520]  就是我們彼此相愛
[00:01:01.520 --> 00:01:04.880]  當我們彼此相愛,我們就已經在天堂
[00:01:04.880 --> 00:01:06.400]  有一首歌是這樣說的
[00:01:06.400 --> 00:01:09.920]  但我想這個縱然聖經沒有一句是直接的quote
[00:01:09.920 --> 00:01:12.640]  但它講的意思的確是一樣
[00:01:12.640 --> 00:01:15.440]  原來彼此相愛的感覺
[00:01:15.440 --> 00:01:19.600]  或者彼此相愛的團契、美麗度就好像天堂一樣
[00:01:19.600 --> 00:01:21.840]  但是,什麼是愛呢?
[00:01:21.840 --> 00:01:24.400]  什麼是愛呢?
[00:01:25.120 --> 00:01:28.640]  這個問題可能自古很多人都會問
[00:01:28.640 --> 00:01:32.400]  可能你初戀的時候曾經有一個人跟你說
[00:01:32.400 --> 00:01:33.600]  我愛你
[00:01:33.600 --> 00:01:36.000]  你笑還是哭呢?
[00:01:36.000 --> 00:01:38.560]  我突然間看到有一個人好像喝醉似的
[00:01:38.560 --> 00:01:41.280]  這麼快,我心想沒理由這麼快的
