
[00:00:00.000 --> 00:00:04.960]  各位警察姊妹,早安!平安!
[00:00:04.960 --> 00:00:14.600]  讓我們先做一次同心的禱告
[00:00:14.600 --> 00:00:16.600]  親愛的恩主,我們獻上感恩
[00:00:16.600 --> 00:00:19.680]  讓我們今天在這個美好的清晨
[00:00:19.680 --> 00:00:21.680]  能夠回到你的教會當中
[00:00:21.680 --> 00:00:24.560]  在這個聖殿裡面去崇拜你
[00:00:24.560 --> 00:00:27.360]  也讓我們今天有機會去聆聽你的話語
[00:00:27.360 --> 00:00:28.800]  願你讓我們留心
[00:00:28.800 --> 00:00:30.800]  又讓我們將學的、聽的
[00:00:30.800 --> 00:00:32.800]  從我們生命裡面走出來
[00:00:32.800 --> 00:00:34.400]  由願僕人口中的言語
[00:00:34.400 --> 00:00:36.000]  頂英之母之間的心思意念
[00:00:36.000 --> 00:00:37.200]  蒙聖靈的啟迪
[00:00:37.200 --> 00:00:38.240]  蒙主的月立
[00:00:38.240 --> 00:00:40.240]  禱告奉耶穌基督的名
[00:00:40.240 --> 00:00:42.240]  阿們
[00:00:42.240 --> 00:00:45.920]  今天想跟大家思考一個題目
[00:00:45.920 --> 00:00:47.920]  是關於選擇的題目
[00:00:47.920 --> 00:00:49.920]  選擇
[00:00:49.920 --> 00:00:51.920]  想起選擇,你想起什麼呢?
[00:00:51.920 --> 00:00:53.920]  有一天我出街
[00:00:53.920 --> 00:00:56.480]  大約是一個多兩個星期前
[00:00:56.480 --> 00:01:00.240]  我去到旺角的一間藥房
[00:01:00.240 --> 00:01:02.240]  看到一個爸爸
[00:01:02.240 --> 00:01:04.240]  抱著一個嬰兒
[00:01:04.240 --> 00:01:06.240]  我猜一歲附近
[00:01:06.240 --> 00:01:08.240]  差不多啞聲,不太能說話
[00:01:08.240 --> 00:01:10.240]  嬰兒是不會說話的
[00:01:10.240 --> 00:01:12.240]  接著這個爸爸抱著這個嬰兒
[00:01:12.240 --> 00:01:14.240]  就過去那一堆
[00:01:14.240 --> 00:01:16.240]  藥房最多的一堆是什麼呢?
[00:01:16.240 --> 00:01:18.240]  奶粉
[00:01:18.240 --> 00:01:20.240]  有幾款,我當然不懂
[00:01:20.240 --> 00:01:22.240]  我沒有小朋友,一堆奶粉,很多款的
[00:01:22.240 --> 00:01:24.240]  接著隔壁有一個
[00:01:24.240 --> 00:01:26.240]  賣藥的售貨員
[00:01:26.240 --> 00:01:28.240]  那個售貨員就愁眉苦臉地
[00:01:28.240 --> 00:01:30.240]  看著這個爸爸抱著嬰兒
[00:01:30.240 --> 00:01:32.240]  愁了很久
[00:01:32.240 --> 00:01:34.240]  我覺得很有趣,就看一看
[00:01:34.240 --> 00:01:36.240]  我喜歡觀察身邊的人
[00:01:36.240 --> 00:01:38.240]  就看一看這個愁眉苦臉的售貨員
[00:01:38.240 --> 00:01:40.240]  接著看一看隔壁的
[00:01:40.240 --> 00:01:42.240]  爸爸,更加愁眉苦臉
[00:01:42.240 --> 00:01:44.240]  一個愁眉苦臉的爸爸抱著嬰兒
[00:01:44.240 --> 00:01:46.240]  接著聽到售貨員說
[00:01:46.240 --> 00:01:48.240]  你是不是賣的?
[00:01:48.240 --> 00:01:50.240]  賣就快點吧,我們經常聽到的
[00:01:50.240 --> 00:01:52.240]  接著那個爸爸
[00:01:52.240 --> 00:01:54.240]  抱著嬰兒,就看著售貨員說
[00:01:54.240 --> 00:01:56.240]  我不知道是賣什麼的
[00:01:56.240 --> 00:01:58.240]  問問他也對
[00:01:58.240 --> 00:02:00.240]  你選吧
[00:02:00.240 --> 00:02:02.240]  你選吧,這句是對著嬰兒說的
[00:02:02.240 --> 00:02:04.240]  抱著嬰兒,你選吧
[00:02:04.240 --> 00:02:06.240]  就拿著嬰兒
[00:02:06.240 --> 00:02:08.240]  我覺得很有趣,就看著
[00:02:08.240 --> 00:02:10.240]  是不是這個,逐個奶粉,希望嬰兒選
[00:02:10.240 --> 00:02:12.240]  你猜一個不懂說話
[00:02:12.240 --> 00:02:14.240]  未過一歲的小朋友,能選到哪種奶粉嗎?
[00:02:14.240 --> 00:02:16.240]  當然選不到
[00:02:16.240 --> 00:02:18.240]  嬰兒就在那裏
[00:02:18.240 --> 00:02:20.240]  動不動就在那裏叫,在那裏哭
[00:02:20.240 --> 00:02:22.240]  搞了很久
[00:02:22.240 --> 00:02:24.240]  接著那個售貨員就跟爸爸說
[00:02:24.240 --> 00:02:26.240]  你幫他選吧
[00:02:26.240 --> 00:02:28.240]  你是爸爸,當然是你選吧
[00:02:28.240 --> 00:02:30.240]  接著怎知道這個爸爸說
[00:02:30.240 --> 00:02:32.240]  當然不是,有得選才是老闆
[00:02:32.240 --> 00:02:34.240]  他是老闆,應該是他選
[00:02:34.240 --> 00:02:36.240]  我猜背後
[00:02:36.240 --> 00:02:38.240]  可能是過去買奶粉的不是這個爸爸
[00:02:38.240 --> 00:02:40.240]  所以他不懂得選
[00:02:40.240 --> 00:02:42.240]  你喜歡選嗎?
[00:02:42.240 --> 00:02:44.240]  你喜歡選東西嗎?
[00:02:44.240 --> 00:02:46.240]  哪位大英姐妹朋友你會去賣餸的?
[00:02:46.240 --> 00:02:48.240]  每個星期你都會去賣餸
[00:02:48.240 --> 00:02:50.240]  這麼少人賣餸的?
[00:02:50.240 --> 00:02:52.240]  有的
[00:02:52.240 --> 00:02:54.240]  我還以為現在沒有人賣餸
[00:02:54.240 --> 00:02:56.240]  我偶爾都會去賣餸的
[00:02:56.240 --> 00:02:58.240]  買餸的時候你選不選東西?
[00:02:58.240 --> 00:03:00.240]  選的
[00:03:00.240 --> 00:03:02.240]  買水果的時候拿出來
[00:03:02.240 --> 00:03:04.240]  拿個西瓜拍一下
[00:03:04.240 --> 00:03:06.240]  拿條菜又看一看
[00:03:06.240 --> 00:03:08.240]  選的時候會怎樣呢?
[00:03:08.240 --> 00:03:10.240]  通常可能有人會說你
[00:03:10.240 --> 00:03:12.240]  選買一樣
[00:03:12.240 --> 00:03:14.240]  當然不一樣,所以你才選
[00:03:14.240 --> 00:03:16.240]  人很喜歡去選擇
[00:03:16.240 --> 00:03:18.240]  人很想多些選擇
[00:03:18.240 --> 00:03:20.240]  一些知道一些不知道
[00:03:20.240 --> 00:03:22.240]  過去剛剛這個星期
[00:03:22.240 --> 00:03:24.240]  放榜的時候,學生每個人放榜
[00:03:24.240 --> 00:03:26.240]  第一時間就去找不同的
[00:03:26.240 --> 00:03:28.240]  學院,找不同的大專
