
[00:00:00.000 --> 00:00:03.360]  「貧窮」的那個圖畫
[00:00:03.360 --> 00:00:05.760]  一看就是一個有錢的人
[00:00:05.760 --> 00:00:09.960]  穿這個很漂亮的西裝戴這個帽子
[00:00:09.960 --> 00:00:12.080]  有錢 比較胖
[00:00:12.080 --> 00:00:14.000]  人呢 有一個很瘦的
[00:00:14.000 --> 00:00:17.080]  那我們剛才讀的經文呢
[00:00:17.080 --> 00:00:20.880]  就是說 傳福音給貧窮的人
[00:00:20.880 --> 00:00:23.000]  大家讀這段經文的時候
[00:00:23.000 --> 00:00:25.240]  我不知道你有沒有一些
[00:00:25.240 --> 00:00:26.920]  心中有一些問題
[00:00:26.920 --> 00:00:31.160]  到底這裡所說的「貧窮」
[00:00:31.160 --> 00:00:33.360]  是指什麼樣的「貧窮」
[00:00:33.360 --> 00:00:35.360]  所以呢
[00:00:35.360 --> 00:00:38.360]  兩個大方向 一個是物質的貧窮呢
[00:00:38.360 --> 00:00:41.520]  就是沒有錢呢
[00:00:41.520 --> 00:00:45.880]  或者第二方面呢 就是心靈的貧窮
[00:00:45.880 --> 00:00:50.600]  那到底這裡所說的是哪一方面呢
[00:00:50.600 --> 00:00:52.600]  我們看一下
[00:00:56.440 --> 00:01:00.080]  很多時候 我們說我們也不追求財富
[00:01:00.080 --> 00:01:03.080]  但是其實我們基督徒
[00:01:03.080 --> 00:01:06.200]  私底下 每個人都喜歡有錢
[00:01:06.200 --> 00:01:09.080]  有錢也不是有什麼錯的
[00:01:09.080 --> 00:01:10.480]  在初期教會的時候
[00:01:10.480 --> 00:01:13.120]  也有很多有錢的基督徒
[00:01:13.120 --> 00:01:17.000]  他們對教會做出很大的貢獻
[00:01:17.000 --> 00:01:20.280]  也在使徒的傳福音的施工上
[00:01:20.280 --> 00:01:21.280]  做出很大的支援
[00:01:21.280 --> 00:01:24.880]  所以有錢是沒有什麼大的問題
[00:01:24.880 --> 00:01:26.520]  但是耶穌告訴我們
[00:01:26.520 --> 00:01:30.520]  你愛錢 不可以多於愛上帝
[00:01:30.520 --> 00:01:31.960]  所以這個原則
[00:01:31.960 --> 00:01:34.880]  所以很多人說我們可以有錢的話
[00:01:34.880 --> 00:01:36.360]  我們可能有一些知識
[00:01:36.360 --> 00:01:38.880]  我們可以賺到錢
[00:01:38.880 --> 00:01:41.040]  可以 但是有的時候也不一定
[00:01:41.040 --> 00:01:43.040]  你要變成有錢的人
[00:01:43.040 --> 00:01:46.280]  有的時候不一定是有很高的知識
[00:01:46.280 --> 00:01:48.040]  另一方面呢 我們可能會問
[00:01:48.040 --> 00:01:52.040]  有錢的人是不是很快樂呢
[00:01:52.040 --> 00:01:59.600]  很多人可能說有錢的人可能不快樂
[00:01:59.600 --> 00:02:00.800]  但是有的人可能會說
[00:02:00.800 --> 00:02:03.400]  有錢的人不一定快樂
[00:02:03.400 --> 00:02:05.000]  這個是比較對的
[00:02:05.000 --> 00:02:07.240]  有錢的人不快樂
