
[00:00:00.000 --> 00:00:03.400]  好 大英姐妹平安 非常之感恩
[00:00:03.400 --> 00:00:07.800]  又再一次有機會在這裡跟大家分享神的說話
[00:00:07.800 --> 00:00:12.280]  我今天就選了保羅在《以忽所書》
[00:00:12.280 --> 00:00:16.820]  兩段的禱告跟大家分享的
[00:00:16.820 --> 00:00:19.740]  我就給了一個主題
[00:00:19.740 --> 00:00:24.080]  叫做《求光照求能力》的禱告
[00:00:24.080 --> 00:00:29.440]  在1916年美國有一個叫做Hattie Greene的女人
[00:00:29.440 --> 00:00:35.780]  就去世了 她留下了超過一億美金的遺產
[00:00:35.780 --> 00:00:41.440]  她有個花名叫做美國最大的孤寒鬼
[00:00:41.440 --> 00:00:44.120]  因為雖然她是很有錢
[00:00:44.120 --> 00:00:49.240]  但是她卻選擇去過一個窮光蛋的生活
[00:00:49.240 --> 00:00:51.240]  她的兒子有病
[00:00:51.240 --> 00:00:54.580]  她為了找一個免費的診所
[00:00:54.580 --> 00:00:57.600]  拖延了她兒子的治療
[00:00:57.600 --> 00:01:05.660]  結果她的兒子就要截肢 斷了腳
[00:01:05.660 --> 00:01:10.860]  她自己也因為長期的營養不良
[00:01:10.860 --> 00:01:13.860]  而最後中了瘋
[00:01:13.860 --> 00:01:19.120]  這個女人Hattie Greene究竟是不是很傻呢?
[00:01:19.120 --> 00:01:21.960]  我相信大部份人都覺得她很傻
[00:01:21.960 --> 00:01:27.240]  因為她是很有錢 不過卻選擇不用她的錢
[00:01:27.240 --> 00:01:34.720]  其實有些基督徒都好像Hattie Greene一樣的傻
[00:01:34.720 --> 00:01:36.720]  為什麼我這樣說呢?
[00:01:36.720 --> 00:01:40.660]  天國有無盡的財寶
[00:01:40.660 --> 00:01:45.860]  但是有些基督徒卻一生追求地上的財寶
[00:01:45.860 --> 00:01:48.500]  天父有莫大的能力
[00:01:48.500 --> 00:01:54.900]  但是一些基督徒卻選擇靠自己的能力去過生活
[00:01:54.900 --> 00:01:58.100]  保羅寫《二不所書》
[00:01:58.100 --> 00:02:04.180]  提醒教會 即是你和我
[00:02:04.180 --> 00:02:07.980]  在上帝榮耀計劃之中
[00:02:07.980 --> 00:02:11.300]  那個地位 我們的身份 我們的地位
[00:02:11.300 --> 00:02:16.820]  還有教會在地上為主作建政的道路
[00:02:16.820 --> 00:02:24.420]  如果我要很簡單的去講《二不所書》這本書
[00:02:24.420 --> 00:02:28.360]  頭三章就是關乎教義性的
[00:02:28.360 --> 00:02:34.060]  就是講教會在基督裡面屬靈的封城
[00:02:34.060 --> 00:02:37.860]  第四至到第六章就是實用性的
[00:02:37.860 --> 00:02:44.900]  就是講教會在基督裡面行事為人的責任
[00:02:44.900 --> 00:02:50.180]  第一至到第三章就記載了兩個的祈禱
[00:02:50.180 --> 00:02:54.420]  剛才主席為我們讀過了
[00:02:54.420 --> 00:02:59.180]  第一章的祈禱 我叫它做求光照的祈禱
[00:02:59.180 --> 00:03:04.580]  第三章的祈禱 我叫它做求能力的祈禱
[00:03:04.580 --> 00:03:10.700]  我先問問大家 你的祈禱生活是怎麼樣的呢?
[00:03:10.700 --> 00:03:14.420]  你通常為什麼事情去禱告的呢?
[00:03:14.420 --> 00:03:19.420]  可能是為健康 可能是為物質的需要
[00:03:19.420 --> 00:03:21.660]  或者是其它的需要
[00:03:21.660 --> 00:03:24.360]  這些的祈禱都沒有問題的
[00:03:24.360 --> 00:03:27.200]  但是祈禱不能夠
[00:03:27.200 --> 00:03:34.340]  也都不應該是停留在物質或者健康的層面
[00:03:34.340 --> 00:03:35.940]  那我要問大家了
[00:03:35.940 --> 00:03:41.940]  保羅為二不所教會有什麼需要去祈禱呢?
[00:03:41.940 --> 00:03:45.940]  不是他們的物質上的需要
[00:03:45.940 --> 00:03:50.340]  不是他們的健康的需要
[00:03:50.340 --> 00:03:54.540]  而是為他們靈裡面的需要
[00:03:54.540 --> 00:03:59.660]  保羅是為教會去求天賦
[00:03:59.660 --> 00:04:03.780]  求天賦讓教會被聖靈去光照
[00:04:03.780 --> 00:04:09.860]  求天賦讓教會能夠有聖靈那種的能力
[00:04:09.860 --> 00:04:12.620]  那種的大能臨在
[00:04:12.620 --> 00:04:18.740]  讓我們今天就從保羅這兩個的祈禱去學習
[00:04:18.740 --> 00:04:22.900]  讓我們再一次我們同心低頭禱告
[00:04:22.900 --> 00:04:24.300]  親愛的天父 我們感謝你
[00:04:24.300 --> 00:04:27.780]  因為你將聖靈賜下給我們
[00:04:27.780 --> 00:04:31.220]  並且是住在我們的生命裡面
[00:04:31.220 --> 00:04:34.060]  讓我們能夠有聖靈的引導
[00:04:34.060 --> 00:04:36.140]  去過我們的生活
[00:04:36.140 --> 00:04:38.820]  讓我們能夠有聖靈的能力
[00:04:38.820 --> 00:04:44.740]  去幫助我們去過我們日常的生活
[00:04:44.740 --> 00:04:46.100]  主 我們感謝你
[00:04:46.100 --> 00:04:48.300]  因為你是大能的主
