
[00:00:00.000 --> 00:00:04.000]  OK 今天的題目叫做
[00:00:04.000 --> 00:00:06.000]  齊來崇拜
[00:00:06.000 --> 00:00:08.000]  齊來崇拜 你也來過了
[00:00:08.000 --> 00:00:11.000]  齊來崇拜其實是一個邀請
[00:00:11.000 --> 00:00:13.000]  四首詩歌
[00:00:13.000 --> 00:00:16.000]  今天我們這首歌叫做齊來崇拜
[00:00:16.000 --> 00:00:18.000]  不過在說這首歌之前
[00:00:18.000 --> 00:00:20.000]  先說說吧
[00:00:20.000 --> 00:00:23.000]  就快聖誕節了
[00:00:23.000 --> 00:00:25.000]  我想問一個問題
[00:00:25.000 --> 00:00:29.000]  你在聖誕節會聯想到什麼顏色
[00:00:29.000 --> 00:00:30.000]  三秒而已
[00:00:30.000 --> 00:00:31.000]  什麼顏色聖誕節
[00:00:31.000 --> 00:00:34.000]  3 2 1 OK 完了
[00:00:34.000 --> 00:00:35.000]  白色的
[00:00:35.000 --> 00:00:37.000]  如果你剛才聯想到白色
[00:00:37.000 --> 00:00:38.000]  舉手有沒有人是白色的
[00:00:38.000 --> 00:00:40.000]  有呀 有些白色聖誕
[00:00:40.000 --> 00:00:42.000]  現在的聖誕樹都是白色的
[00:00:42.000 --> 00:00:44.000]  紅色的呢
[00:00:44.000 --> 00:00:46.000]  紅色最多
[00:00:46.000 --> 00:00:47.000]  綠色的呢
[00:00:47.000 --> 00:00:49.000]  綠色也有
[00:00:49.000 --> 00:00:52.000]  剛才如果你是五顏六色
[00:00:52.000 --> 00:00:54.000]  即是色彩繽紛
[00:00:54.000 --> 00:00:56.000]  在你腦裡像煙花一樣
[00:00:56.000 --> 00:00:58.000]  這個很少
[00:00:58.000 --> 00:01:01.000]  今天的答案和昨晚一樣
[00:01:01.000 --> 00:01:04.000]  紅色是最多的
[00:01:04.000 --> 00:01:06.000]  其實聖誕節很開心
[00:01:06.000 --> 00:01:07.000]  因為什麼呢
[00:01:07.000 --> 00:01:08.000]  因為它很鮮艷
[00:01:08.000 --> 00:01:10.000]  很多顏色在我們面前
[00:01:10.000 --> 00:01:12.000]  無論你是白色綠色還是紅色一樣
[00:01:12.000 --> 00:01:13.000]  色彩繽紛
[00:01:13.000 --> 00:01:14.000]  很多人都很喜歡聖誕節
[00:01:14.000 --> 00:01:16.000]  你們也喜歡聖誕節吧
[00:01:16.000 --> 00:01:18.000]  每個人都喜歡聖誕節吧
[00:01:18.000 --> 00:01:20.000]  但我想問一個問題
[00:01:20.000 --> 00:01:25.000]  什麼人是最喜歡聖誕節的呢
[00:01:25.000 --> 00:01:27.000]  聽不到嗎
[00:01:27.000 --> 00:01:29.000]  聖誕老人
[00:01:29.000 --> 00:01:31.000]  小朋友
[00:01:31.000 --> 00:01:32.000]  還有呢
[00:01:32.000 --> 00:01:34.000]  最開心的一群
[00:01:34.000 --> 00:01:35.000]  一到聖誕
[00:01:35.000 --> 00:01:36.000]  又到聖誕
[00:01:36.000 --> 00:01:37.000]  又到聖誕
[00:01:37.000 --> 00:01:38.000]  他們很開心
[00:01:38.000 --> 00:01:40.000]  誰呢
[00:01:40.000 --> 00:01:47.000]  生意人
[00:01:47.000 --> 00:01:49.000]  生意人最開心
[00:01:49.000 --> 00:01:51.000]  尤其是網上的網主
[00:01:51.000 --> 00:01:52.000]  網店
[00:01:52.000 --> 00:01:53.000]  現在的網上購物
[00:01:53.000 --> 00:01:55.000]  你知道有多流行
[00:01:55.000 --> 00:01:56.000]  多熱門
[00:01:56.000 --> 00:01:57.000]  我相信在座
[00:01:57.000 --> 00:01:58.000]  我沒有叫你舉手
[00:01:58.000 --> 00:01:59.000]  你在網上
[00:01:59.000 --> 00:02:00.000]  這段時間買過東西
[00:02:00.000 --> 00:02:01.000]  舉舉手
[00:02:01.000 --> 00:02:02.000]  全部可能都舉手
[00:02:02.000 --> 00:02:03.000]  我沒有問這個問題
[00:02:03.000 --> 00:02:04.000]  不過
[00:02:04.000 --> 00:02:05.000]  很厲害
[00:02:05.000 --> 00:02:06.000]  生意人很開心
[00:02:06.000 --> 00:02:07.000]  買的又開心
[00:02:07.000 --> 00:02:09.000]  點擊的又喜歡
[00:02:09.000 --> 00:02:11.000]  又有優惠券
[00:02:11.000 --> 00:02:12.000]  現在大家又在想
[00:02:12.000 --> 00:02:14.000]  早幾天已經在做那些動作
[00:02:14.000 --> 00:02:16.000]  很開心
[00:02:16.000 --> 00:02:18.000]  收錢的更開心
[00:02:18.000 --> 00:02:19.000]  買又開心
[00:02:19.000 --> 00:02:21.000]  賣又開心
[00:02:21.000 --> 00:02:23.000]  但總是有些人不開心
[00:02:25.000 --> 00:02:26.000]  你有沒有發覺
[00:02:26.000 --> 00:02:28.000]  買東西送給別人
[00:02:28.000 --> 00:02:31.000]  是一個很難度高的學問
[00:02:31.000 --> 00:02:33.000]  很深的學問
[00:02:33.000 --> 00:02:35.000]  買東西送給別人
[00:02:35.000 --> 00:02:36.000]  不是買給自己
[00:02:36.000 --> 00:02:37.000]  買東西送給別人
[00:02:37.000 --> 00:02:39.000]  有一個丈夫
[00:02:39.000 --> 00:02:41.000]  曾經有一次很煩惱
[00:02:41.000 --> 00:02:43.000]  跟我說
[00:02:43.000 --> 00:02:45.000]  他說
[00:02:45.000 --> 00:02:46.000]  每一年聖誕節
