
[00:00:00.000 --> 00:00:02.640]  今天我們不是講新年的訊息
[00:00:02.640 --> 00:00:07.680]  因為臨新年之前,我很想把它結束
[00:00:07.680 --> 00:00:10.080]  我們還是會講「安息」
[00:00:10.080 --> 00:00:13.680]  如果我自己講到「安息」是第四堂課
[00:00:13.680 --> 00:00:15.280]  我不知道你有多少人記得
[00:00:15.280 --> 00:00:19.760]  我要重複一點上次的講道
[00:00:19.760 --> 00:00:23.040]  因為今天的講道是延續上星期的講道
[00:00:23.040 --> 00:00:25.680]  我想問一件事,有誰是上星期的「響道」?
[00:00:26.640 --> 00:00:31.040]  OK,也有七成,也讓我講一點
[00:00:31.040 --> 00:00:33.200]  我們上星期講道的經文
[00:00:33.200 --> 00:00:36.560]  其實是馬太福音第十一章二十八節
[00:00:36.560 --> 00:00:38.560]  一節而已,原本我想講三節
[00:00:38.560 --> 00:00:42.320]  但當預備完發現原來是一個星期講不完的
[00:00:42.320 --> 00:00:45.120]  所以我就把它斬開了,變成兩段經文
[00:00:45.120 --> 00:00:46.800]  即是變成兩次的講道
[00:00:46.800 --> 00:00:50.000]  馬太福音第十一章二十八節,請你們讀好嗎
[00:00:50.000 --> 00:00:51.280]  預備,一二三
[00:00:56.960 --> 00:00:58.640]  「老虎重擔,你來到我這裡就可以安息」
[00:00:58.640 --> 00:01:04.240]  這一句是一些未信主的人都很喜歡聽到的
[00:01:04.240 --> 00:01:08.160]  「老虎重擔,你來到我這裡就可以安息」
[00:01:08.160 --> 00:01:12.320]  好像有一個解,不是解脫,是有一個解決
[00:01:12.320 --> 00:01:15.360]  OK,有分別,解脫你明白了
[00:01:15.360 --> 00:01:17.760]  上星期講了些甚麼呢
[00:01:17.760 --> 00:01:21.440]  就是我們都明白,也認同一件事
[00:01:21.440 --> 00:01:24.560]  其實我們每個人都是「老虎重擔」
[00:01:24.560 --> 00:01:27.920]  你的「老虎重擔」從何而來呢
[00:01:27.920 --> 00:01:31.600]  我就上網找了一個叫「自我差距理論」
[00:01:31.600 --> 00:01:33.920]  Self-Discrepancy Theory
[00:01:33.920 --> 00:01:36.240]  我發現原來很多讀心理學的人
[00:01:36.240 --> 00:01:37.840]  或者讀counseling的人
[00:01:37.840 --> 00:01:39.760]  都不是這麼多人聽過
[00:01:39.760 --> 00:01:41.120]  那講甚麼呢
[00:01:41.120 --> 00:01:44.400]  他說原來在我們的生命裡有三個自己
[00:01:44.400 --> 00:01:46.880]  有一個真實的自己,就是中間那個
[00:01:46.880 --> 00:01:53.440]  有一個覺得興奮的自己,就是這邊粉紅色那個
[00:01:53.440 --> 00:01:56.720]  還有一個綠色那個,就是你理想的自己
[00:01:56.720 --> 00:01:58.320]  在講甚麼呢
[00:01:58.320 --> 00:02:01.440]  原來我們活在別人的期望
[00:02:01.440 --> 00:02:04.320]  別人覺得我是一個好的基督徒
[00:02:04.320 --> 00:02:08.160]  我就要上16.8小時教會
[00:02:08.160 --> 00:02:09.760]  別人覺得我是一個好的基督徒
[00:02:09.760 --> 00:02:12.000]  你就要所有聚會都出席
[00:02:12.000 --> 00:02:15.200]  別人覺得你是一個好的基督徒
[00:02:15.200 --> 00:02:18.160]  就應該怎樣怎樣怎樣,記不記得
[00:02:18.160 --> 00:02:19.920]  可能在你的生命裡
[00:02:19.920 --> 00:02:23.760]  除了教會給你一個odd self,興奮的你
[00:02:23.760 --> 00:02:28.560]  可能你的家庭覺得你是一個稱職的兒子
[00:02:28.560 --> 00:02:31.440]  稱職的女兒,你應該要定期被監控的
[00:02:31.440 --> 00:02:33.760]  你是一個稱職的兒子,稱職的女兒
[00:02:33.760 --> 00:02:37.600]  你應該要怎樣怎樣怎樣,有很多的requirement
[00:02:37.600 --> 00:02:41.360]  但是當我們達不到這些標準
[00:02:41.360 --> 00:02:45.840]  或者別人眼中,或者自己眼中興奮的我的時候
[00:02:45.840 --> 00:02:48.320]  會產生甚麼呢
[00:02:48.320 --> 00:02:52.000]  焦慮,若果那個差距越大
[00:02:52.000 --> 00:02:54.400]  你的情緒反應就越大
[00:02:54.400 --> 00:02:55.760]  我有聽過一個人說
[00:02:55.760 --> 00:02:57.440]  如果你的差距很大
[00:02:57.440 --> 00:02:59.600]  舉個例子,當你上班
[00:02:59.600 --> 00:03:01.280]  我預計六點放工
[00:03:01.280 --> 00:03:03.680]  但你老闆預計你十點放工
[00:03:03.680 --> 00:03:05.440]  這個差距大不大
[00:03:05.440 --> 00:03:07.680]  我已經很努力加班
[00:03:07.680 --> 00:03:09.200]  我六點半走
[00:03:09.200 --> 00:03:11.520]  有沒有搞錯,你應該做到十點
[00:03:11.520 --> 00:03:13.280]  這個差距這麼大
[00:03:13.280 --> 00:03:14.640]  若果持續下去
[00:03:14.640 --> 00:03:18.480]  不單止是焦慮,是有憤怒
[00:03:18.480 --> 00:03:19.760]  你會生氣的
[00:03:19.760 --> 00:03:22.720]  明白了嗎,如果你套上你的生命就明白了
[00:03:22.720 --> 00:03:25.920]  除了真實的我,興奮的我
[00:03:25.920 --> 00:03:27.760]  理想的我是甚麼呢
[00:03:27.760 --> 00:03:30.320]  我對自己有一個dream
[00:03:30.320 --> 00:03:34.480]  我很希望自己成為一個怎樣的人
[00:03:34.480 --> 00:03:37.280]  我很希望我可以怎樣成功
[00:03:37.280 --> 00:03:41.520]  我很希望我可以怎樣成為一個自己都很滿足的人
[00:03:41.520 --> 00:03:45.360]  但若果你做不到
[00:03:45.360 --> 00:03:46.880]  你會抑鬱的
[00:03:46.880 --> 00:03:50.480]  我也分享過我自己過往做生意的經歷
[00:03:50.480 --> 00:03:52.720]  今天不再多說了
[00:03:52.720 --> 00:03:53.680]  這些是上課的
[00:03:53.680 --> 00:03:55.840]  如果你真的聽完都不明白
[00:03:55.840 --> 00:03:59.440]  你上網再聽上星期的一個
[00:03:59.440 --> 00:04:01.200]  第三個提醒
[00:04:01.200 --> 00:04:02.800]  就是當我們知道
[00:04:02.800 --> 00:04:05.600]  realize我們勞苦擔重擔
[00:04:05.600 --> 00:04:08.880]  我們也知道我們勞苦重擔的來源
[00:04:08.880 --> 00:04:13.280]  是來自那些discrepancy的時候
[00:04:13.280 --> 00:04:16.240]  我們的出路是甚麼
[00:04:16.240 --> 00:04:18.800]  到我這裏來
[00:04:18.800 --> 00:04:21.680]  這個就是上次的message
[00:04:21.680 --> 00:04:22.800]  我很想問你
[00:04:22.800 --> 00:04:25.840]  如果你看完第28節
[00:04:25.840 --> 00:04:30.160]  假設,我猜不是那麼多人會背第29、30節
[00:04:30.160 --> 00:04:35.920]  你猜一下你期望第29節說甚麼
[00:04:35.920 --> 00:04:36.880]  你明不明白我的意思
[00:04:36.880 --> 00:04:38.880]  28節就在這裏
[00:04:38.880 --> 00:04:40.400]  到我這裏來的
[00:04:40.400 --> 00:04:43.120]  到我這裏來的煩惱負擔重擔的人
