
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹午安
[00:00:02.000 --> 00:00:06.000]  不知道大家有沒有印象
[00:00:06.000 --> 00:00:13.000]  知不知道汽車的倒後鏡是何時發明的
[00:00:13.000 --> 00:00:15.000]  車你可能知道
[00:00:15.000 --> 00:00:18.000]  不過倒後鏡我猜你應該不知道
[00:00:18.000 --> 00:00:24.000]  第一輛四輪的有內燃機的汽車
[00:00:24.000 --> 00:00:30.000]  其實是在1886年已經出現
[00:00:30.000 --> 00:00:34.000]  大家從這張照片都可以看到
[00:00:34.000 --> 00:00:39.000]  這輛車不單止沒有倒後鏡
[00:00:39.000 --> 00:00:45.000]  連車頭的擋風玻璃都沒有
[00:00:45.000 --> 00:00:53.000]  及後到不同汽車的部件陸續出現之後
[00:00:53.000 --> 00:00:58.000]  就開始有擋風玻璃
[00:00:58.000 --> 00:01:07.000]  這是被譽為司機的另一雙眼睛的倒後鏡
[00:01:07.000 --> 00:01:13.000]  其實在這輛車出現差不多一百年之後
[00:01:13.000 --> 00:01:16.000]  有一個英國的女賽車手
[00:01:16.000 --> 00:01:23.000]  她的名字叫多羅西奈維Dorothy Leavitt
[00:01:23.000 --> 00:01:27.000]  她在1906年寫了一本書
[00:01:27.000 --> 00:01:29.000]  叫做The Woman and the Car
[00:01:29.000 --> 00:01:31.000]  裏面提過
[00:01:31.000 --> 00:01:34.000]  她有這個發明
[00:01:34.000 --> 00:01:36.000]  因為她是女賽車手
[00:01:36.000 --> 00:01:43.000]  所以這個部件最初只是用在賽車道上
[00:01:43.000 --> 00:01:48.000]  直至再過十多年
[00:01:48.000 --> 00:01:54.000]  1921年有人將這個發明申請專利
[00:01:54.000 --> 00:01:59.000]  於是便可以大量投產
[00:01:59.000 --> 00:02:02.000]  變得普及化
[00:02:02.000 --> 00:02:05.000]  但我不知道大家有沒有想過
[00:02:05.000 --> 00:02:10.000]  為何倒後鏡的玻璃面積
[00:02:10.000 --> 00:02:14.000]  比擋風玻璃小這麼多
[00:02:14.000 --> 00:02:16.000]  有沒有想過
[00:02:16.000 --> 00:02:20.000]  其實道理很簡單
[00:02:20.000 --> 00:02:25.000]  因為你要看清楚前面道路的情況
[00:02:25.000 --> 00:02:32.000]  比你要看後面發生甚麼事重要很多
[00:02:32.000 --> 00:02:34.000]  一般來說
[00:02:34.000 --> 00:02:36.000]  擺放在前面的東西
[00:02:36.000 --> 00:02:40.000]  比擺放在旁邊的東西
[00:02:40.000 --> 00:02:42.000]  是重要的
[00:02:42.000 --> 00:02:49.000]  我相信這是一個普遍的邏輯和理解
[00:02:49.000 --> 00:02:54.000]  其實聖經裏面的教導都是這樣的
[00:02:54.000 --> 00:02:57.000]  在大衛所寫的詩篇
[00:02:57.000 --> 00:03:02.000]  剛才大家都讀過那段聖經裏的其中一節
[00:03:02.000 --> 00:03:07.000]  那裏這樣說「我將瑤華常擺在我面前
[00:03:07.000 --> 00:03:09.000]  因它在我右邊
[00:03:09.000 --> 00:03:12.000]  我便不自搖動」
[00:03:12.000 --> 00:03:17.000]  到底瑤華在我面前有多重要呢
[00:03:17.000 --> 00:03:21.000]  這樣說其實是甚麼意思呢
[00:03:21.000 --> 00:03:25.000]  願意我們今天透過三摩爾記下第五章
