
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹平安
[00:00:02.000 --> 00:00:06.500]  相信大家都知道今天是母親節
[00:00:06.500 --> 00:00:09.500]  今天是母親節
[00:00:09.500 --> 00:00:19.000]  所以很多地方都來慶祝母親節的氣氛
[00:00:19.000 --> 00:00:21.500]  大家知不知道明天是什麼呢?
[00:00:21.500 --> 00:00:27.500]  明天是聯合國所定的國際家庭日
[00:00:28.500 --> 00:00:33.500]  每年的五月十五日就是國際家庭日
[00:00:33.500 --> 00:00:39.500]  母親可以說是家庭的建立者
[00:00:39.500 --> 00:00:41.500]  也是守護者
[00:00:41.500 --> 00:00:46.500]  母親和家庭是密不可分的
[00:00:46.500 --> 00:00:51.500]  今天我們在母親節的時候就思想一下
[00:00:51.500 --> 00:00:56.500]  母親最心繫的地方就是家庭
[00:00:56.500 --> 00:01:00.500]  也是我們生活和成長最重要的地方
[00:01:00.500 --> 00:01:02.500]  就是家庭
[00:01:02.500 --> 00:01:03.500]  我們一起祈禱
[00:01:03.500 --> 00:01:07.500]  親愛的主求祢賜恩幫助我們
[00:01:07.500 --> 00:01:14.500]  在我們一起過母親節的日子
[00:01:14.500 --> 00:01:16.500]  當我們打開聖經思想
[00:01:16.500 --> 00:01:19.500]  耶穌基督童年的生活片段的時候
[00:01:19.500 --> 00:01:22.500]  我們知道家庭的重要
[00:01:22.500 --> 00:01:23.500]  也幫助我們
[00:01:23.500 --> 00:01:27.500]  在家庭上我們能夠有所付出
[00:01:27.500 --> 00:01:29.500]  我們這樣祈禱
[00:01:29.500 --> 00:01:31.500]  奉耶穌基督的名
[00:01:31.500 --> 00:01:33.500]  誠心所願
[00:01:33.500 --> 00:01:42.500]  我們從小到大覺得家庭是很理所當然的
[00:01:42.500 --> 00:01:44.500]  因為我們出生在一個家庭
[00:01:44.500 --> 00:01:46.500]  我們成長在一個家庭
[00:01:46.500 --> 00:01:50.500]  而對很多成年人來說
[00:01:50.500 --> 00:01:52.500]  我們又有自己的家庭
[00:01:53.500 --> 00:01:55.500]  但是現在有一個趨勢
[00:01:55.500 --> 00:01:59.500]  叫做去家庭的趨勢
[00:01:59.500 --> 00:02:01.500]  不要家庭
[00:02:01.500 --> 00:02:05.500]  最近我收到一個WhatsApp
[00:02:05.500 --> 00:02:07.500]  轉給我一個信息
[00:02:07.500 --> 00:02:10.500]  就是加拿大有一間小學
[00:02:10.500 --> 00:02:13.500]  發了一封信給家長
[00:02:13.500 --> 00:02:17.500]  他說我們的學校是不會慶祝母親節的
[00:02:17.500 --> 00:02:20.500]  也不會慶祝父親節
[00:02:21.500 --> 00:02:24.500]  因為有很多孩子是沒有母親的
[00:02:24.500 --> 00:02:28.500]  很多孩子是沒有父親的
[00:02:28.500 --> 00:02:31.500]  我們也不會慶祝家庭日
[00:02:31.500 --> 00:02:33.500]  因為很多孩子是沒有家庭的
[00:02:33.500 --> 00:02:36.500]  我們不想我們的學校的活動
[00:02:36.500 --> 00:02:38.500]  令到一些小朋友
[00:02:38.500 --> 00:02:42.500]  觸動他的難過
[00:02:42.500 --> 00:02:44.500]  是真的
[00:02:44.500 --> 00:02:50.500]  這裡反映了什麼呢?
[00:02:51.500 --> 00:02:54.500]  我們對家庭的價值
[00:02:54.500 --> 00:02:56.500]  或者家庭的功能
[00:02:56.500 --> 00:02:59.500]  其實正在消退
[00:02:59.500 --> 00:03:01.500]  二十多年前
[00:03:01.500 --> 00:03:04.500]  我有一次講座聽蔡元雲醫生說
[00:03:04.500 --> 00:03:10.500]  這個信息在我的心裡
[00:03:10.500 --> 00:03:13.500]  一直都沒有被抹去
[00:03:13.500 --> 00:03:14.500]  蔡醫當時說
[00:03:14.500 --> 00:03:16.500]  他說我們這一代
[00:03:16.500 --> 00:03:17.500]  或者你們這一代
[00:03:17.500 --> 00:03:18.500]  即是主要是我們
[00:03:18.500 --> 00:03:21.500]  之後可能就沒有家庭了
[00:03:21.500 --> 00:03:24.500]  二十多年前
[00:03:24.500 --> 00:03:27.500]  我當時是很詫異
[00:03:27.500 --> 00:03:28.500]  也不能夠接受
[00:03:28.500 --> 00:03:29.500]  怎麼可能
[00:03:29.500 --> 00:03:31.500]  家庭是一個這麼基本的單元
[00:03:31.500 --> 00:03:34.500]  怎麼可能我們這一代或者下一代就沒有呢?
[00:03:34.500 --> 00:03:38.500]  現在我慢慢覺得這個趨勢
[00:03:38.500 --> 00:03:40.500]  是可能會出現的
[00:03:40.500 --> 00:03:42.500]  就是我們沒有家庭
[00:03:42.500 --> 00:03:44.500]  或者家庭會弱化到一個階段
[00:03:44.500 --> 00:03:47.500]  已經不再產生特別的功能
[00:03:47.500 --> 00:03:49.500]  這麼可怕
[00:03:49.500 --> 00:03:53.500]  家庭將會消失
[00:03:53.500 --> 00:03:57.500]  不是每個人都有家庭的
[00:03:57.500 --> 00:04:01.500]  不是每個人都有家庭
[00:04:01.500 --> 00:04:03.500]  在俠義來說
[00:04:03.500 --> 00:04:06.500]  有些孤兒沒有家庭
[00:04:06.500 --> 00:04:08.500]  無家者
[00:04:08.500 --> 00:04:11.500]  也不是每個人都可以建立家庭
[00:04:11.500 --> 00:04:13.500]  有些說我都沒有結婚
[00:04:13.500 --> 00:04:15.500]  或者你說一個家庭的定義
[00:04:15.500 --> 00:04:18.500]  一般來看家庭就是一男一女
[00:04:18.500 --> 00:04:20.500]  有兩個小朋友
[00:04:20.500 --> 00:04:22.500]  我們叫做一個家庭
[00:04:22.500 --> 00:04:24.500]  有很多現在我們的家庭就是
[00:04:24.500 --> 00:04:26.500]  兩夫妻
[00:04:26.500 --> 00:04:30.500]  這是一個現實的情況
[00:04:30.500 --> 00:04:34.500]  我們怎麼去看家庭呢?
[00:04:34.500 --> 00:04:36.500]  以前我們會覺得
[00:04:36.500 --> 00:04:38.500]  有些事是理所當然
[00:04:38.500 --> 00:04:41.500]  有句說話這麼說
[00:04:41.500 --> 00:04:43.500]  他說媽媽是女人
[00:04:43.500 --> 00:04:45.500]  聽過沒有?
[00:04:45.500 --> 00:04:47.500]  媽媽是女人
[00:04:47.500 --> 00:04:49.500]  誰說的?
