
[00:00:00.000 --> 00:00:04.000]  有一位很優秀的空軍飛行員
[00:00:04.000 --> 00:00:11.280]  有一天他邀請他的女朋友來看他的飛行表演
[00:00:11.280 --> 00:00:16.400]  那天他駕駛的是一架F-16戰機
[00:00:16.400 --> 00:00:20.800]  他的女朋友和他一起坐在駕駛艙上
[00:00:20.800 --> 00:00:23.200]  飛上天空
[00:00:23.200 --> 00:00:27.200]  這個機師就開始表演了
[00:00:27.200 --> 00:00:34.560]  急速的俯衝 迅速的爬升 又很快的旋轉
[00:00:34.560 --> 00:00:36.960]  他的表演非常精彩
[00:00:36.960 --> 00:00:42.880]  當他降落之後 他很滿意自己的表現
[00:00:42.880 --> 00:00:46.160]  但這個時候他的女朋友走過來抱著他
[00:00:46.160 --> 00:00:54.000]  跟他說「不要緊 下一次你會做得更加好」
[00:00:54.000 --> 00:00:58.800]  「到時你一定可以飛到直線」
[00:00:58.800 --> 00:01:03.440]  這個飛行員當時真是啼笑皆非
[00:01:03.440 --> 00:01:06.880]  原來這個女朋友她根本不太知道
[00:01:06.880 --> 00:01:11.760]  他要來看的是甚麼表演
[00:01:11.760 --> 00:01:16.640]  這樣的情況會不會都發生在我們的身上呢?
[00:01:16.640 --> 00:01:21.280]  我們會不會不知道我們的人生目標是甚麼
[00:01:21.280 --> 00:01:24.800]  就這樣過了一世呢?
[00:01:24.800 --> 00:01:26.720]  我們作為基督徒
[00:01:26.720 --> 00:01:31.200]  我們又知不知道上帝給我們的呼召是甚麼呢?
[00:01:31.200 --> 00:01:38.320]  今天我想和大家從耶穌呼召門徒的幾段經文中
[00:01:38.320 --> 00:01:45.760]  來看看我們尋求上帝呼召時要注意甚麼
[00:01:45.760 --> 00:01:50.320]  我想問一下大家 耶穌有多少個門徒?
[00:01:50.320 --> 00:01:52.480]  十二個
[00:01:52.480 --> 00:01:56.080]  我們剛才讀的兩段經文
[00:01:56.080 --> 00:01:57.440]  主席讀的兩段經文
[00:01:57.440 --> 00:02:02.480]  大家數不數出現了多少個?
[00:02:02.480 --> 00:02:07.120]  安德烈 彼得 安德烈
[00:02:07.120 --> 00:02:08.640]  他們是兄弟
[00:02:08.640 --> 00:02:12.800]  還有約翰 瓦國 也是兄弟
[00:02:12.800 --> 00:02:16.080]  還有馬太 出現了五個
[00:02:16.080 --> 00:02:17.680]  今天我會說六個
[00:02:17.680 --> 00:02:20.480]  因為十二個門徒裏面有六個
[00:02:20.480 --> 00:02:23.920]  聖經有說到耶穌怎樣去呼召他們
[00:02:23.920 --> 00:02:25.840]  第六個我稍後再說
[00:02:25.840 --> 00:02:33.120]  其實還有一個叫做肥力的
[00:02:33.120 --> 00:02:36.960]  馬太的經文沒有描述他
[00:02:36.960 --> 00:02:39.120]  約翰福音那裏有描述
[00:02:39.120 --> 00:02:41.600]  我們稍後也會看
[00:02:41.600 --> 00:02:43.360]  今天我們就看這六個
[00:02:43.360 --> 00:02:48.160]  其實聖經還有一個叫做拿彈葉的
[00:02:48.160 --> 00:02:52.560]  有人說拿彈葉就是門徒巴多羅馬
[00:02:52.560 --> 00:02:55.520]  但其實聖經沒有很清楚地描述
[00:02:55.520 --> 00:02:57.280]  所以我們也不知道是不是同一個人
[00:02:57.280 --> 00:02:59.040]  我們今天先不計算他
[00:02:59.040 --> 00:03:00.720]  我們今天說六個
[00:03:00.720 --> 00:03:04.880]  看看耶穌怎樣去呼召他們
[00:03:04.880 --> 00:03:07.120]  其實這幾個月
[00:03:07.120 --> 00:03:10.240]  接下來我們也會看馬太福音
[00:03:10.240 --> 00:03:13.200]  我們會從馬太福音那裏去看
[00:03:13.200 --> 00:03:15.920]  我們怎樣去培養我們的生命素質
[00:03:15.920 --> 00:03:20.880]  以致我們能夠去回應教會的四大使命
[00:03:20.880 --> 00:03:26.640]  特別會把焦點放在「優化屬靈土壤」裏
[00:03:26.640 --> 00:03:30.480]  大家知不知道這個圓圓圓的是甚麼來的
[00:03:30.480 --> 00:03:33.200]  這是我們教會的標誌
[00:03:33.200 --> 00:03:35.600]  平時你們看的那個是沒有顏色的
[00:03:35.600 --> 00:03:38.160]  其實真正的就有這個顏色在裏面
[00:03:38.160 --> 00:03:39.520]  你去辦公室看看
[00:03:39.520 --> 00:03:42.160]  我們就有這個招牌在裏面
[00:03:42.160 --> 00:03:44.640]  我們首先來看一下
[00:03:44.640 --> 00:03:49.120]  耶穌呼召彼得 安德烈 雅各和約翰的經文
[00:03:49.120 --> 00:03:51.760]  其實四卷福音書都有記載
[00:03:51.760 --> 00:03:55.040]  不過各自的描述都有點不同
[00:03:55.040 --> 00:03:57.040]  我們看福音書的時候
[00:03:57.040 --> 00:04:00.400]  因為有些經文好像重覆一樣
[00:04:00.400 --> 00:04:03.360]  其實是要互相對照來看的
[00:04:03.360 --> 00:04:05.760]  所以今天會看多一點的經文
[00:04:05.760 --> 00:04:08.400]  這一段經文我們一起來讀
[00:04:08.400 --> 00:04:13.360]  「再次日 約翰同兩個門徒站在那裏
[00:04:13.360 --> 00:04:16.400]  他見耶穌行走 就說
