
[00:00:00.000 --> 00:00:02.000]  今天我要講的題目是
[00:00:02.000 --> 00:00:06.000]  在耶穌裡向下砸根 向上結果
[00:00:06.000 --> 00:00:08.000]  那我想每一個基督徒
[00:00:08.000 --> 00:00:12.000]  在我們的每一年的一個目標
[00:00:12.000 --> 00:00:14.000]  就是要讓我們深深的
[00:00:14.000 --> 00:00:16.000]  在主耶穌的話語的裡面
[00:00:16.000 --> 00:00:19.000]  我們能夠深深的砸下我們的根基
[00:00:19.000 --> 00:00:23.000]  然後呢 結出美好的果子
[00:00:23.000 --> 00:00:24.000]  我想這是每一個基督徒
[00:00:24.000 --> 00:00:26.000]  在靈命成長的過程當中
[00:00:26.000 --> 00:00:29.000]  每一年都要朝向的這個目標
[00:00:29.000 --> 00:00:33.000]  那前一陣子下雨 下得很大
[00:00:33.000 --> 00:00:36.000]  我就走在我們家公園旁邊
[00:00:36.000 --> 00:00:38.000]  就看到有一個家庭的一棵大樹
[00:00:38.000 --> 00:00:40.000]  這麼大 倒下來了
[00:00:40.000 --> 00:00:43.000]  壓到它的樹枝
[00:00:43.000 --> 00:00:46.000]  那我一看這個樹怎麼會倒下來
[00:00:46.000 --> 00:00:50.000]  原來它的這個樹就種在它家的前院
[00:00:50.000 --> 00:00:52.000]  前院都是草皮對不對
[00:00:52.000 --> 00:00:53.000]  所以它澆水的話
[00:00:53.000 --> 00:00:55.000]  常常它的草皮是很綠的這樣
[00:00:55.000 --> 00:00:57.000]  但是它的草皮就澆得
[00:00:57.000 --> 00:00:59.000]  大概只能澆這麼深嘛
[00:00:59.000 --> 00:01:00.000]  對不對 那個草
[00:01:00.000 --> 00:01:03.000]  所以它的樹根大概也就是這麼深這樣
[00:01:03.000 --> 00:01:05.000]  所以那個風一吹
[00:01:05.000 --> 00:01:07.000]  哇 下雨又下大
[00:01:07.000 --> 00:01:08.000]  它那個樹就倒下來
[00:01:08.000 --> 00:01:09.000]  因為它的根
[00:01:09.000 --> 00:01:10.000]  樹雖然很大
[00:01:10.000 --> 00:01:12.000]  但是它的根不深
[00:01:12.000 --> 00:01:13.000]  所以一刮風
[00:01:13.000 --> 00:01:15.000]  哇 那就很危險了這樣
[00:01:15.000 --> 00:01:19.000]  所以今天從馬可福音第四章
[00:01:19.000 --> 00:01:21.000]  主耶穌教導我們
[00:01:21.000 --> 00:01:25.000]  如何結出美好的果子這樣
[00:01:25.000 --> 00:01:30.000]  我們一起來看一下幾個這個圖片
[00:01:30.000 --> 00:01:36.000]  這是我從Google的這個image
[00:01:36.000 --> 00:01:38.000]  download下來幾個照片
[00:01:38.000 --> 00:01:41.000]  你們可以看到這個人在撒腫對不對
[00:01:41.000 --> 00:01:43.000]  撒腫
[00:01:43.000 --> 00:01:46.000]  但是當我看到這幅圖片的時候
[00:01:46.000 --> 00:01:50.000]  我注意到的是
[00:01:50.000 --> 00:01:51.000]  你們看到這幅圖片
[00:01:51.000 --> 00:01:52.000]  你們第一個注意到
[00:01:52.000 --> 00:01:54.000]  當然是這個撒腫的人
[00:01:54.000 --> 00:01:57.000]  但是你們看到幾隻飛鳥在旁邊
[00:01:57.000 --> 00:01:58.000]  有沒有
[00:01:58.000 --> 00:02:00.000]  他們在準備怎麼樣
[00:02:00.000 --> 00:02:01.000]  走著一撒下去
[00:02:01.000 --> 00:02:04.000]  它就馬上下來了這樣
[00:02:04.000 --> 00:02:05.000]  哇 就從遠方
[00:02:05.000 --> 00:02:08.000]  這樣一隻一隻的飛過來這樣
[00:02:08.000 --> 00:02:10.000]  這個圖片很有意思喔
[00:02:10.000 --> 00:02:14.000]  這個人
[00:02:14.000 --> 00:02:15.000]  你看到這個圖片
[00:02:15.000 --> 00:02:17.000]  有沒有什麼感受這樣
[00:02:17.000 --> 00:02:19.000]  這個土是黑的這樣
[00:02:19.000 --> 00:02:20.000]  非常好的土
[00:02:20.000 --> 00:02:23.000]  我相信他一定花了很多的時間
