
[00:00:00.000 --> 00:00:02.360]  各位姐妹平安,一齊讀聖經
[00:00:02.360 --> 00:00:05.800]  生命樹和大家看聖經人、聖經事業
[00:00:05.800 --> 00:00:08.680]  看聖經的神是怎樣工作
[00:00:08.680 --> 00:00:14.400]  「仁慈的波亞斯,遇見努力的路德」
[00:00:14.400 --> 00:00:18.200]  一看便知道不是聖經的字
[00:00:18.200 --> 00:00:19.640]  是我作的
[00:00:19.640 --> 00:00:24.080]  我看到波亞斯顯示了他的仁慈
[00:00:24.080 --> 00:00:26.840]  而路德很努力
[00:00:26.840 --> 00:00:31.760]  「仁慈的波亞斯,遇見努力的路德」
[00:00:31.760 --> 00:00:33.280]  路德記第二章
[00:00:33.280 --> 00:00:37.400]  跟大家讀讀聖經人、聖經的故事
[00:00:37.400 --> 00:00:41.160]  「遇見波亞斯」
[00:00:41.160 --> 00:00:42.760]  二章第一字
[00:00:42.760 --> 00:00:45.800]  「那訛米的丈夫
[00:00:45.800 --> 00:00:51.920]  以利米納的親族中有一個人名叫波亞斯
[00:00:51.920 --> 00:00:55.240]  是個大財主」
[00:00:55.240 --> 00:00:57.680]  有很多字的顏色不同
[00:00:57.680 --> 00:01:00.000]  我怕大家眼睛混亂了
[00:01:00.000 --> 00:01:11.640]  「那訛米的丈夫以利米納的親族中有一個人名叫波亞斯
[00:01:11.640 --> 00:01:15.000]  是個大財主」
[00:01:15.000 --> 00:01:17.800]  當然要看這些字
[00:01:17.800 --> 00:01:19.640]  「那訛米」
[00:01:19.640 --> 00:01:23.400]  怕大家忘記他的名字是甚麼意思
[00:01:23.880 --> 00:01:26.760]  「那訛米」英文通常是「Laomi」
[00:01:26.760 --> 00:01:31.360]  「那訛米」是「路吾伊」
[00:01:31.360 --> 00:01:33.280]  「路吾伊」
[00:01:33.280 --> 00:01:35.480]  有一撇重音
[00:01:35.480 --> 00:01:36.400]  「路吾伊」
[00:01:36.400 --> 00:01:40.800]  「路吾伊」是「我的喜悅」
[00:01:40.800 --> 00:01:43.280]  「開心」
[00:01:43.280 --> 00:01:46.800]  很有可能,因為改名當然不是那個人自己改
[00:01:46.800 --> 00:01:47.920]  是父母改
[00:01:47.920 --> 00:01:50.720]  可能一出生就看到
[00:01:51.160 --> 00:01:54.760]  很開心,令我很開心,我的喜悅
[00:01:54.760 --> 00:01:56.600]  「路吾伊」
[00:01:56.600 --> 00:01:57.960]  「路吾伊」
[00:01:57.960 --> 00:02:00.200]  「丈夫以利米納」
[00:02:00.200 --> 00:02:03.760]  「我的神是王」
[00:02:03.760 --> 00:02:08.040]  「我的神是王」是「以利米納」
[00:02:08.040 --> 00:02:11.200]  就是這個名字的意思
