
[00:00:00.000 --> 00:00:05.000]  時詩在天主教的聖經譯本裏面是文獎
[00:00:05.000 --> 00:00:09.000]  意思就是當時百姓當中的領袖
[00:00:09.000 --> 00:00:14.000]  我們很多時候以為時詩是一些又愛主又敬畏神
[00:00:14.000 --> 00:00:17.000]  又肯去聽從神旨的人
[00:00:17.000 --> 00:00:20.000]  特別是希伯來書第十一章三十二字的書
[00:00:20.000 --> 00:00:23.000]  將忌奠、巴拉、參宣、耶律他
[00:00:23.000 --> 00:00:27.000]  這幾個時詩都列在信心為人的榜裏面
[00:00:27.000 --> 00:00:30.000]  於是很自然我們就會聯想到
[00:00:30.000 --> 00:00:35.000]  這些時詩都是那些敬畏神、被神所重用的信心為人
[00:00:35.000 --> 00:00:37.000]  但當我們讀聖經的時候
[00:00:37.000 --> 00:00:40.000]  我們就會發現在時詩裏面所記載的時詩
[00:00:40.000 --> 00:00:43.000]  很多時候都有人性的軟弱的地方
[00:00:43.000 --> 00:00:45.000]  它能夠成為時詩
[00:00:45.000 --> 00:00:47.000]  更多時候是因為神對他們的憐憫
[00:00:47.000 --> 00:00:50.000]  神給他們的恩典、神重用他們
[00:00:50.000 --> 00:00:53.000]  神透過他們去成就神的大事
[00:00:53.000 --> 00:00:55.000]  這一切都是神的恩典和憐憫
[00:00:55.000 --> 00:00:57.000]  而今天我們所讀的這個時詩
[00:00:57.000 --> 00:00:59.000]  它的名字叫參宣
[00:00:59.000 --> 00:01:01.000]  我經常都這樣說
[00:01:01.000 --> 00:01:03.000]  無論從希伯來文的字音
[00:01:03.000 --> 00:01:05.000]  文字的發音裏面
[00:01:05.000 --> 00:01:07.000]  或者是英文的發音裏面
[00:01:07.000 --> 00:01:10.000]  很難將S這個字發音做參宣的
[00:01:10.000 --> 00:01:13.000]  後來我有機會查一本中文字典的時候
[00:01:13.000 --> 00:01:15.000]  那本字典是這樣說的
[00:01:15.000 --> 00:01:19.000]  它說這個參宣的參字和人心的心字其實是相通的
[00:01:19.000 --> 00:01:22.000]  所以很多時候我就將它讀做心宣
[00:01:22.000 --> 00:01:23.000]  可能好一點
[00:01:23.000 --> 00:01:25.000]  因為看他的人生
[00:01:25.000 --> 00:01:28.000]  我們看見這個人生帶給我們真是心酸
[00:01:28.000 --> 00:01:30.000]  他原本有很美好的條件
[00:01:30.000 --> 00:01:34.000]  但後來墮落成為了被敵人所欺少的小丑
[00:01:34.000 --> 00:01:36.000]  當我們看他人生的時候
[00:01:36.000 --> 00:01:39.000]  我們真是心裏面感到心酸
[00:01:39.000 --> 00:01:41.000]  參宣是一個悲劇的人物
[00:01:41.000 --> 00:01:43.000]  他一生都是一個獨來獨往的時詩
[00:01:43.000 --> 00:01:45.000]  他從來沒有跟過任何人
[00:01:45.000 --> 00:01:47.000]  也都沒有任何人跟過他
[00:01:47.000 --> 00:01:49.000]  他沒有僕人侍從
[00:01:49.000 --> 00:01:50.000]  他沒有兵器
[00:01:50.000 --> 00:01:55.000]  他甚至不會差遣軍兵列陣打仗
[00:01:55.000 --> 00:01:57.000]  他只是憑一己之勇
[00:01:57.000 --> 00:01:58.000]  獨來獨往
[00:01:58.000 --> 00:02:01.000]  殺敗當時欺壓百姓的敵人
[00:02:01.000 --> 00:02:02.000]  聖經說他死的時候
[00:02:02.000 --> 00:02:04.000]  他所殺的敵人
[00:02:04.000 --> 00:02:07.000]  比他在生的日子所殺的更多
[00:02:07.000 --> 00:02:09.000]  他生出來就是一個拿世爾人
[00:02:09.000 --> 00:02:13.000]  一種分別為姓屬於神歸神的人
[00:02:13.000 --> 00:02:16.000]  他應該在神面前過一個聖潔人生
[00:02:16.000 --> 00:02:21.000]  但他很隨意去接觸不潔的物
[00:02:21.000 --> 00:02:23.000]  也都鍾情女色
[00:02:23.000 --> 00:02:26.000]  一生沉迷在紅顏的溫柔窩裏面
[00:02:26.000 --> 00:02:28.000]  最後也都因為女色的緣故
[00:02:28.000 --> 00:02:29.000]  被敵人所騙
[00:02:29.000 --> 00:02:32.000]  被本來懼怕他的非利士人所擒
[00:02:32.000 --> 00:02:35.000]  他雙眼被敵人所挖出來
[00:02:35.000 --> 00:02:37.000]  成為了一位推磨的下人
[00:02:37.000 --> 00:02:41.000]  甚至成為了被敵人所嬉笑的小丑
[00:02:41.000 --> 00:02:42.000]  為甚麼會這樣呢
[00:02:42.000 --> 00:02:43.000]  為甚麼他的人生
[00:02:43.000 --> 00:02:46.000]  由本來出生就被選為一個拿世爾人
[00:02:46.000 --> 00:02:49.000]  最終會有如此的收場呢
[00:02:49.000 --> 00:02:52.000]  今天我們想從事先參算的人生當中
[00:02:52.000 --> 00:02:54.000]  學一些教訓
[00:02:54.000 --> 00:02:58.000]  而我今天講題是小丑事先參算
[00:02:58.000 --> 00:03:02.000]  讓我先在神面前有個簡單的圖稿
[00:03:02.000 --> 00:03:05.000]  天父我們求你臨在我們當中
[00:03:05.000 --> 00:03:07.000]  聖靈教導我們
