
[00:00:00.000 --> 00:00:03.000]  我們有個禱告繼續仰望著
[00:00:03.000 --> 00:00:05.000]  天父我們感恩的
[00:00:05.000 --> 00:00:08.000]  弟兄姊妹今晚能夠一起相聚
[00:00:08.000 --> 00:00:10.000]  繼續敬拜您
[00:00:10.000 --> 00:00:13.000]  我們在這個時間求您幫助我們打我們的心
[00:00:13.000 --> 00:00:15.000]  當我們看您的說話的時候
[00:00:15.000 --> 00:00:18.000]  求您的聖靈都在我們心裡同樣的工作
[00:00:18.000 --> 00:00:21.000]  幫助我們不單止明白
[00:00:21.000 --> 00:00:24.000]  更加是給自己的話語觸動我們的心
[00:00:24.000 --> 00:00:28.000]  我們願意在您面前謙卑地繼續尋求
[00:00:28.000 --> 00:00:31.000]  敬拜 奉主耶穌的名禱 阿們
[00:00:31.000 --> 00:00:34.000]  大家還記不記得
[00:00:34.000 --> 00:00:37.000]  我兩個禮拜前就和大家分享
[00:00:37.000 --> 00:00:40.000]  哲學來加前書第四章
[00:00:40.000 --> 00:00:42.000]  不知道大家還有沒有印象
[00:00:42.000 --> 00:00:44.000]  我和大家分享到
[00:00:44.000 --> 00:00:47.000]  哲學來加教會有一個很特別的
[00:00:47.000 --> 00:00:49.000]  他們有一個特質
[00:00:49.000 --> 00:00:52.000]  有三方面的 大家還記不記得
[00:00:52.000 --> 00:00:56.000]  當我們看哲學來加前後書的時候
[00:00:56.000 --> 00:00:59.000]  我們發現到這個教會有三方面
[00:00:59.000 --> 00:01:02.000]  我們可以去學習
[00:01:02.000 --> 00:01:05.000]  第一 我們看到哲學來加教會是怎樣
[00:01:05.000 --> 00:01:09.000]  他們是在苦難當中信主
[00:01:09.000 --> 00:01:11.000]  他們信了主之後
[00:01:11.000 --> 00:01:13.000]  他們不是一帆風順
[00:01:13.000 --> 00:01:16.000]  周圍的環境他們仍然要面對困難
[00:01:16.000 --> 00:01:18.000]  但是在困難當中
[00:01:18.000 --> 00:01:20.000]  在受外來逼迫的當中
[00:01:20.000 --> 00:01:22.000]  他們過著基督徒的生活
[00:01:22.000 --> 00:01:24.000]  一直在這裡成長 此其一
[00:01:24.000 --> 00:01:26.000]  第二 我們看到
[00:01:26.000 --> 00:01:29.000]  特別是前書
[00:01:29.000 --> 00:01:31.000]  每一章書裡面
[00:01:31.000 --> 00:01:37.000]  差不多都提到他們學習怎樣去愛
[00:01:37.000 --> 00:01:39.000]  怎樣去信靠
[00:01:39.000 --> 00:01:42.000]  以及怎樣懷著盼望
[00:01:42.000 --> 00:01:45.000]  是一個信望愛的教會
[00:01:45.000 --> 00:01:47.000]  是一個很明顯的 很清楚的
[00:01:47.000 --> 00:01:50.000]  第三 這個教會
[00:01:50.000 --> 00:01:54.000]  也是保羅特別每一章書都提到他們
[00:01:54.000 --> 00:01:56.000]  他們盼望甚麼?
[00:01:56.000 --> 00:01:59.000]  盼望主回來
[00:01:59.000 --> 00:02:01.000]  所以哲學來加教會
[00:02:01.000 --> 00:02:02.000]  我形容它
[00:02:02.000 --> 00:02:06.000]  這個教會是一個在苦難當中成長
[00:02:06.000 --> 00:02:15.000]  以及信望愛當中仰望主再回來的教會
[00:02:15.000 --> 00:02:19.000]  我們看今天五章這段經文
[00:02:19.000 --> 00:02:20.000]  大家留意
[00:02:20.000 --> 00:02:22.000]  保羅對這群弟兄姊妹
[00:02:22.000 --> 00:02:25.000]  說了一個特別的問題
[00:02:25.000 --> 00:02:26.000]  是甚麼問題呢?
[00:02:26.000 --> 00:02:28.000]  他說 論到時後和日期
[00:02:28.000 --> 00:02:30.000]  都不用寫給你們知道
[00:02:30.000 --> 00:02:32.000]  因為你們都知道了
[00:02:32.000 --> 00:02:36.000]  當作他們知道了 知道甚麼?
[00:02:36.000 --> 00:02:39.000]  知道主會回來的日子
