
[00:00:00.000 --> 00:00:02.000]  有位太太問丈夫
[00:00:02.000 --> 00:00:05.000]  你愛不愛我?
[00:00:05.000 --> 00:00:09.000]  你問他吧
[00:00:09.000 --> 00:00:12.000]  丈夫如何回答呢?
[00:00:12.000 --> 00:00:16.000]  丈夫說:我已經愛了你三次了
[00:00:16.000 --> 00:00:19.000]  收不收貨?太太
[00:00:19.000 --> 00:00:20.000]  不收貨
[00:00:20.000 --> 00:00:22.000]  太太認為這是愛嗎?
[00:00:22.000 --> 00:00:27.000]  同樣寬恕也不能用次數來衡量
[00:00:28.000 --> 00:00:30.000]  丈夫請求太太寬恕
[00:00:30.000 --> 00:00:35.000]  妻子說:我已經寬恕了你三次了
[00:00:35.000 --> 00:00:40.000]  丈夫認為這是否寬恕呢?
[00:00:40.000 --> 00:00:46.000]  寬恕是牽涉到彼此的關係
[00:00:46.000 --> 00:00:49.000]  一種心靈的狀態
[00:00:49.000 --> 00:00:52.000]  彼此需要一種堅定的愛
[00:00:52.000 --> 00:00:55.000]  不是說忍受的時間到了
[00:00:55.000 --> 00:00:57.000]  我們可以採取行動
[00:00:58.000 --> 00:01:01.000]  所以今天和大家繼續看
[00:01:01.000 --> 00:01:05.000]  耶穌基督在馬太福音十八章的教導
[00:01:05.000 --> 00:01:08.000]  上次和大家分享的題目是
[00:01:08.000 --> 00:01:10.000]  衝突的轉化
[00:01:10.000 --> 00:01:12.000]  不知道大家記不記得是甚麼之道
[00:01:12.000 --> 00:01:14.000]  就是調解之道
[00:01:14.000 --> 00:01:19.000]  今天就講到寬恕之道
[00:01:19.000 --> 00:01:23.000]  寬恕之道我想和大家看到
[00:01:23.000 --> 00:01:26.000]  經文教導我們信徒之間
[00:01:26.000 --> 00:01:28.000]  去化解衝突
[00:01:28.000 --> 00:01:31.000]  最好的方法莫過於是寬恕
[00:01:31.000 --> 00:01:34.000]  甚至是無限的去寬恕
[00:01:34.000 --> 00:01:36.000]  另一方面提醒我們
[00:01:36.000 --> 00:01:39.000]  任何已經經歷過神寬恕的人
[00:01:39.000 --> 00:01:41.000]  我們這班神的兒女
[00:01:41.000 --> 00:01:45.000]  同樣都要寬恕我們的弟兄
[00:01:45.000 --> 00:01:50.000]  尤其是群體中的小姐們
[00:01:50.000 --> 00:01:53.000]  所以馬太福音十八章
[00:01:53.000 --> 00:01:56.000]  一直都講一些關於
[00:01:56.000 --> 00:01:58.000]  耶穌教導我們在教會裏面
[00:01:58.000 --> 00:02:00.000]  一種互相彼此的關係
[00:02:00.000 --> 00:02:01.000]  相處之道
[00:02:01.000 --> 00:02:02.000]  我上次講過
[00:02:02.000 --> 00:02:05.000]  這個都是一個教會的規則
[00:02:05.000 --> 00:02:07.000]  這章裏面
[00:02:07.000 --> 00:02:09.000]  耶穌提及不同的寬恕的方法
[00:02:09.000 --> 00:02:13.000]  提及不同的解決衝突的方法
[00:02:13.000 --> 00:02:15.000]  最後提到的是一種寬恕
[00:02:15.000 --> 00:02:19.000]  我相信也是整篇經文裏面
[00:02:19.000 --> 00:02:21.000]  最高潮的地方
[00:02:21.000 --> 00:02:23.000]  所以第一方面我想講
[00:02:23.000 --> 00:02:27.000]  是用寬恕去化解衝突
[00:02:27.000 --> 00:02:29.000]  再看回二十一、二十二節
[00:02:29.000 --> 00:02:32.000]  那時候彼得對耶穌說
[00:02:32.000 --> 00:02:34.000]  我弟兄得罪我
[00:02:34.000 --> 00:02:36.000]  那我去饒恕他幾次呢
[00:02:36.000 --> 00:02:38.000]  七次夠了嗎
[00:02:38.000 --> 00:02:41.000]  其實彼得是自問自答的
[00:02:41.000 --> 00:02:44.000]  他自己也有一個答案
[00:02:44.000 --> 00:02:46.000]  他也覺得這個答案是可以的
[00:02:46.000 --> 00:02:48.000]  但是耶穌說不是
[00:02:48.000 --> 00:02:50.000]  不是到七次
[00:02:50.000 --> 00:02:52.000]  是到七十個七次
[00:02:52.000 --> 00:02:55.000]  比他所想的多了這麼多倍
[00:02:55.000 --> 00:02:57.000]  七十倍這麼多
[00:02:57.000 --> 00:03:01.000]  當然彼得去問這個情況
[00:03:01.000 --> 00:03:03.000]  他想講他自己
[00:03:03.000 --> 00:03:05.000]  我嘗試這樣做
[00:03:05.000 --> 00:03:07.000]  我覺得我這樣講
[00:03:07.000 --> 00:03:10.000]  七次的寬恕是很大方的
[00:03:10.000 --> 00:03:13.000]  因為當時猶太人的習慣裏面
[00:03:13.000 --> 00:03:14.000]  一般來說
[00:03:14.000 --> 00:03:17.000]  我寬恕你兩三次就受夠了
[00:03:17.000 --> 00:03:19.000]  現在我有七次這麼多
[00:03:19.000 --> 00:03:21.000]  耶穌一定會讚我
[00:03:21.000 --> 00:03:24.000]  已經超過了當時的標準
[00:03:24.000 --> 00:03:27.000]  在裏面超過了要求
[00:03:27.000 --> 00:03:29.000]  但是耶穌卻不是這樣說
[00:03:29.000 --> 00:03:33.000]  七十個七次當然不是在數字上
[00:03:33.000 --> 00:03:37.000]  是在一種無限的寬恕裏面
[00:03:37.000 --> 00:03:41.000]  當然彼得也未必說一定是數字上
[00:03:41.000 --> 00:03:43.000]  因為七次大家知道
