
[00:00:00.000 --> 00:00:05.000]  好,天氣涼了,大家穿多件衣服保重
[00:00:05.000 --> 00:00:10.000]  我們今天就要上戰場打仗
[00:00:10.000 --> 00:00:13.000]  不知道大家感覺如何
[00:00:13.000 --> 00:00:15.000]  當我們講述連真戰的時候
[00:00:15.000 --> 00:00:18.000]  會不會經常覺得我們都是截截敗退的呢
[00:00:18.000 --> 00:00:22.000]  好像軍人那樣,真的躺在那裏,沒辦法了
[00:00:22.000 --> 00:00:25.000]  不知道是在擠肚子還是在嘆息
[00:00:28.000 --> 00:00:33.000]  在這段時間,我很想和我們議員分享祈禱
[00:00:33.000 --> 00:00:37.000]  如果還記得在上個月,我也用了一個題目
[00:00:37.000 --> 00:00:40.000]  爲什麼我們的祈禱不可行呢
[00:00:40.000 --> 00:00:43.000]  如果還記得,我們要搞清楚我們祈禱的對象
[00:00:43.000 --> 00:00:45.000]  我們祈禱的對象是誰呢
[00:00:45.000 --> 00:00:48.000]  我們在天上的父啊,他是怎麼樣的
[00:00:48.000 --> 00:00:51.000]  他非常樂意聆聽和回應我們的禱告
[00:00:51.000 --> 00:00:55.000]  祈禱其實是和天父建立着關係
[00:00:55.000 --> 00:00:59.000]  他更加要將最大的禮物,聖靈,賜給我們
[00:00:59.000 --> 00:01:01.000]  和我們建立一個最深的關係
[00:01:01.000 --> 00:01:07.000]  祈禱不是在乎用什麼形式,或者討聞,或者長短時間
[00:01:07.000 --> 00:01:09.000]  當然這些都很重要
[00:01:09.000 --> 00:01:11.000]  但更加重要的是我們祈禱的信心
[00:01:11.000 --> 00:01:16.000]  祈禱不是要改變天父的旨意
[00:01:16.000 --> 00:01:21.000]  而是我們要在祈禱當中和神建立關係
[00:01:21.000 --> 00:01:25.000]  我們知道上帝會將我們真正的需要給我們
[00:01:25.000 --> 00:01:29.000]  而在祈禱當中要改變的,就是我們自己
[00:01:29.000 --> 00:01:32.000]  今天我們還有另外一個題目
[00:01:32.000 --> 00:01:38.000]  就是爲何我們總在屬靈真戰中失敗呢
[00:01:38.000 --> 00:01:44.000]  不知道大家對這個題目有什麼感受
[00:01:44.000 --> 00:01:46.000]  我們爲什麼會失敗
[00:01:46.000 --> 00:01:48.000]  可能最簡單的原因就是
[00:01:48.000 --> 00:01:52.000]  我們連屬靈真正的敵人都搞錯了
[00:01:52.000 --> 00:01:57.000]  今天你會聽到我們真正的仇敵是誰
[00:01:57.000 --> 00:02:00.000]  在今天的講道里我更加希望我們知道
[00:02:00.000 --> 00:02:04.000]  如何用方法才能夠抵擋屬靈的真戰
[00:02:04.000 --> 00:02:08.000]  我們用什麼武器,或者用什麼方法反敗爲勝
[00:02:08.000 --> 00:02:11.000]  以及什麼爲之勝呢
[00:02:11.000 --> 00:02:15.000]  是要打敗敵人頭冰血辣
[00:02:15.000 --> 00:02:19.000]  纔是真正的德性,還是怎麼樣呢
[00:02:19.000 --> 00:02:24.000]  在剛纔,謝謝炳紅執事幫我們讀了今天的經文
[00:02:24.000 --> 00:02:26.000]  幸好今天的經文很多
[00:02:26.000 --> 00:02:31.000]  但其實呢,剛剛,如果你記得,在前兩個月
[00:02:31.000 --> 00:02:38.000]  神學主日,梁博士都講過《以復所書》六章十字到二十字
[00:02:38.000 --> 00:02:40.000]  在這裏我想再重提
[00:02:40.000 --> 00:02:45.000]  因爲我很想讓大家在這裏思想一下什麼是屬靈真戰
[00:02:45.000 --> 00:02:50.000]  以及在當中,我們屬靈真戰的敵人是誰
