
[00:00:00.000 --> 00:00:02.940]  各位朋友 姐妹 早安
[00:00:02.940 --> 00:00:06.540]  不知今天有多少人呢
[00:00:06.540 --> 00:00:10.040]  我數一二三 大家一起拍手 一二三
[00:00:10.040 --> 00:00:12.700]  你聽到多少人
[00:00:12.700 --> 00:00:15.720]  再來 一二三
[00:00:15.720 --> 00:00:19.380]  我都聽不到有多少人
[00:00:19.380 --> 00:00:25.040]  今天分享這個題目叫 愛到極致
[00:00:25.040 --> 00:00:27.060]  知不知道甚麼是極致
[00:00:28.540 --> 00:00:30.520]  即是愛到極致
[00:00:30.520 --> 00:00:34.680]  現在有些廣告叫 甚麼要去到極致
[00:00:34.680 --> 00:00:38.220]  旅行要去到極致 因為機票很便宜
[00:00:38.220 --> 00:00:40.960]  你今天見 有些人見不到他回舊戶
[00:00:40.960 --> 00:00:44.640]  他逼到一些很便宜的機票 飛了
[00:00:44.640 --> 00:00:46.380]  愛到極致
[00:00:46.380 --> 00:00:50.680]  我們人要愛到極致
[00:00:50.680 --> 00:00:53.600]  會有時候 你想想
[00:00:53.600 --> 00:00:56.540]  你這世人有幾時你喜歡一樣東西
[00:00:56.540 --> 00:00:59.320]  或者愛某一樣東西
[00:00:59.320 --> 00:01:02.460]  甚至愛一個人 愛到極致
[00:01:02.460 --> 00:01:10.440]  嘩 愛到極致有甚麼形容詞來形容
[00:01:10.440 --> 00:01:16.100]  天方地老 海枯石爛
[00:01:16.100 --> 00:01:18.860]  愛到他發狂
[00:01:18.860 --> 00:01:23.560]  即是愛一樣東西 投入到很瘋狂
[00:01:23.560 --> 00:01:26.360]  我以前很喜歡踢球
[00:01:26.360 --> 00:01:29.400]  足球是我愛的生命
[00:01:29.400 --> 00:01:33.140]  以前未懂戀愛 喜歡打球 喜歡玩
[00:01:33.140 --> 00:01:35.140]  愛到極致
[00:01:35.140 --> 00:01:39.800]  愛到甚至 去到一個地步
[00:01:39.800 --> 00:01:42.040]  甚至代表甚麼意思
[00:01:42.040 --> 00:01:46.160]  之前是愛到盡
[00:01:46.160 --> 00:01:49.400]  要先關掉無線咪
[00:01:49.400 --> 00:01:51.600]  因為它 啪啪啪
[00:01:51.600 --> 00:01:54.260]  在哪裏 關掉了
[00:01:55.600 --> 00:01:57.780]  愛到甚至代表甚麼
[00:01:57.780 --> 00:02:03.120]  你試過愛一樣東西 投入一樣東西
[00:02:03.120 --> 00:02:05.880]  愛到甚至 即是代表甚麼
[00:02:05.880 --> 00:02:09.860]  去到一個地步 犧牲
[00:02:09.860 --> 00:02:13.480]  即是我寧願犧牲自己一些東西
[00:02:13.480 --> 00:02:17.080]  我甚至 我記得拍拖時
[00:02:17.080 --> 00:02:19.080]  說說愛的經歷
[00:02:19.080 --> 00:02:22.580]  我追求Y.Y.是在廣華醫院門口開始
[00:02:22.580 --> 00:02:25.760]  (笑聲)
[00:02:25.760 --> 00:02:29.120]  真是 在醫院門口 因為他是護士
[00:02:29.120 --> 00:02:33.020]  我那時多慶幸 他住在屯門的小秀村
[00:02:33.020 --> 00:02:35.560]  我去過一次 送他回家
[00:02:35.560 --> 00:02:38.900]  乘車到大窩口 我就嘔吐
[00:02:38.900 --> 00:02:40.900]  一落車就嘔吐
[00:02:40.900 --> 00:02:43.700]  因為在荃灣 青山公路那些彎
[00:02:43.700 --> 00:02:45.280]  不斷繞來繞去
[00:02:45.280 --> 00:02:48.280]  我一落車就衝到垃圾桶裏 嘔吐
[00:02:48.280 --> 00:02:52.700]  我說 拍拖那麼久 只是送他回去兩次
[00:02:52.700 --> 00:02:55.780]  幸好他住在廣華醫院的護士宿舍
[00:02:55.780 --> 00:02:59.480]  愛到盡 我還是送他回廣華醫院
[00:02:59.480 --> 00:03:02.100]  旺角油麻地
[00:03:02.100 --> 00:03:05.260]  但我甚至 你知道他回早班
[00:03:05.260 --> 00:03:06.540]  我當然沒那麼早
[00:03:06.540 --> 00:03:10.320]  他回下午班 十一點 十點九
[00:03:10.320 --> 00:03:12.320]  就離開病房 十一點
[00:03:12.320 --> 00:03:15.100]  我就等他吃東西 吃宵夜
[00:03:15.100 --> 00:03:17.320]  十二點鐘 四點多
[00:03:17.320 --> 00:03:20.040]  我才在廣華醫院離開
[00:03:20.040 --> 00:03:22.040]  我覺得已經愛到很甚至
[00:03:22.040 --> 00:03:26.300]  晚點睡 但年輕人還可以
[00:03:26.300 --> 00:03:30.460]  今天我想說 在「懇親主日」
[00:03:30.460 --> 00:03:34.520]  只有在真正幸福的家裏
[00:03:34.520 --> 00:03:39.240]  你才會見到愛到極致 愛到甚至
[00:03:39.240 --> 00:03:44.460]  有些什麼 你會去到甚至犧牲自己
[00:03:44.460 --> 00:03:46.460]  愛到很盡
[00:03:46.460 --> 00:03:49.160]  差不多在世界上 除了對家人
[00:03:49.160 --> 00:03:51.940]  我們不會這樣做
[00:03:51.940 --> 00:03:55.920]  但怎樣我們可以做到這件事呢
[00:03:55.920 --> 00:03:57.920]  在我的引言裏寫了
[00:03:57.920 --> 00:04:02.400]  幸福的生命的人生 有四個很重要的
[00:04:02.400 --> 00:04:04.400]  四個感
[00:04:04.400 --> 00:04:07.320]  第一個叫歸屬感
[00:04:07.320 --> 00:04:10.280]  你對家裏有沒有歸屬感呢
[00:04:10.280 --> 00:04:13.040]  我知道有些人不喜歡回家
[00:04:13.040 --> 00:04:15.640]  大家那麼熟 我又不知道你是誰
[00:04:15.640 --> 00:04:21.920]  年輕的時候 你不喜歡留在家裏
[00:04:21.920 --> 00:04:25.200]  喜歡到處去 很晚才回家
[00:04:25.200 --> 00:04:27.200]  總之不喜歡留在家裏
[00:04:27.200 --> 00:04:29.200]  現在你應該可以了
[00:04:29.200 --> 00:04:32.580]  你夠膽表露你的身份
[00:04:32.580 --> 00:04:36.580]  如果你是這樣的 你拍手一二三
[00:04:36.580 --> 00:04:42.480]  那些不敢拍的 擔心今晚回不了家
[00:04:42.480 --> 00:04:45.560]  很多人對家裏沒有歸屬感
[00:04:45.560 --> 00:04:47.560]  你有沒有呢
[00:04:47.560 --> 00:04:51.120]  好像剛才 三姊妹
[00:04:51.120 --> 00:04:53.120]  他們很有歸屬感
[00:04:53.120 --> 00:04:56.640]  我知道Peyoni前年結婚
[00:04:56.640 --> 00:04:58.640]  我知道她不捨得
[00:04:58.640 --> 00:05:00.640]  應該家裏還有個床位
[00:05:00.640 --> 00:05:02.640]  我猜到
[00:05:02.640 --> 00:05:04.640]  我有空回來睡一下
[00:05:04.640 --> 00:05:06.640]  這些叫歸屬感
[00:05:06.640 --> 00:05:08.640]  第二個叫親切感
[00:05:08.640 --> 00:05:14.640]  你在家裏 你會有人愛惜你
[00:05:14.640 --> 00:05:16.640]  這樣才是親切感
[00:05:16.640 --> 00:05:18.640]  不只是這樣
[00:05:18.640 --> 00:05:20.640]  不只是有人愛惜你 你開心
[00:05:20.640 --> 00:05:22.640]  你都有付出 你有份付出
[00:05:22.640 --> 00:05:26.640]  你都可以愛 你都可以付出
[00:05:26.640 --> 00:05:29.640]  你可以倚靠對方 對方都可以倚靠你
[00:05:29.640 --> 00:05:31.640]  這個叫親切感
[00:05:31.640 --> 00:05:33.640]  你會接納對方
[00:05:33.640 --> 00:05:35.640]  你亦會被對方接納
[00:05:35.640 --> 00:05:37.640]  這個很重要
[00:05:37.640 --> 00:05:39.640]  家裏沒有親切感
[00:05:39.640 --> 00:05:41.640]  很冷冰冰
[00:05:41.640 --> 00:05:45.640]  第三個叫安全感
[00:05:45.640 --> 00:05:47.640]  這個更加重要
[00:05:47.640 --> 00:05:49.640]  你有沒有在家裏睡覺
[00:05:49.640 --> 00:05:51.640]  覺得不安全
[00:05:51.640 --> 00:05:54.640]  雖然現在香港甚麼都要發生
[00:05:54.640 --> 00:05:58.640]  最近令你沒有安全感的
[00:05:58.640 --> 00:06:00.640]  是不是搭電梯
[00:06:00.640 --> 00:06:02.640]  上星期新聞說
[00:06:02.640 --> 00:06:04.640]  政府建議將全香港
[00:06:04.640 --> 00:06:07.640]  幾多成的電梯說未合最高規格
[00:06:07.640 --> 00:06:11.640]  我上星期說八成
[00:06:11.640 --> 00:06:15.640]  叫政府資助大廈 屋苑
[00:06:15.640 --> 00:06:18.640]  換了八成的電梯
[00:06:18.640 --> 00:06:20.640]  不是最理想
[00:06:20.640 --> 00:06:24.640]  八成的電梯都不安全
[00:06:24.640 --> 00:06:26.640]  你知道我搭電梯 我不害怕
[00:06:26.640 --> 00:06:28.640]  因為我都不知道那是甚麼電梯
[00:06:28.640 --> 00:06:30.640]  我看不到東西
[00:06:30.640 --> 00:06:33.640]  有時電梯沒有報站
[00:06:33.640 --> 00:06:35.640]  沒有報樓層
[00:06:35.640 --> 00:06:38.640]  好像現在E座樓的電梯
[00:06:38.640 --> 00:06:39.640]  不會發出聲音
[00:06:39.640 --> 00:06:41.640]  到了我就站出門口大聲叫
[00:06:41.640 --> 00:06:43.640]  是不是地下
[00:06:43.640 --> 00:06:45.640]  有些保安會回應我
[00:06:45.640 --> 00:06:47.640]  有時沒有人回應我
[00:06:47.640 --> 00:06:49.640]  我就回去 按錯了
[00:06:49.640 --> 00:06:53.640]  安全感是很重要的
[00:06:53.640 --> 00:06:55.640]  今天甚麼會令你有安全感
[00:06:55.640 --> 00:06:57.640]  如果是錢
[00:06:57.640 --> 00:06:59.640]  是不足夠的
[00:06:59.640 --> 00:07:01.640]  有些人沒有手機在身邊
[00:07:01.640 --> 00:07:03.640]  都沒有安全感
[00:07:03.640 --> 00:07:05.640]  你出街沒有帶手機
[00:07:05.640 --> 00:07:06.640]  會不會很混亂
[00:07:06.640 --> 00:07:08.640]  有的拍一下手
[00:07:08.640 --> 00:07:11.640]  這些更多
[00:07:11.640 --> 00:07:13.640]  戶口沒有錢的沒有安全感
[00:07:13.640 --> 00:07:14.640]  拍一下手
[00:07:14.640 --> 00:07:15.640]  你知道嗎
[00:07:15.640 --> 00:07:18.640]  有手機緊要過無錢
[00:07:18.640 --> 00:07:20.640]  沒有現金 它有八達通
[00:07:20.640 --> 00:07:24.640]  安全感在生活是很重要
[00:07:24.640 --> 00:07:26.640]  有時我們都說不到
[00:07:26.640 --> 00:07:28.640]  為甚麼我沒有安全感
[00:07:28.640 --> 00:07:30.640]  因為經常有些東西
[00:07:30.640 --> 00:07:32.640]  我們控制不到
[00:07:32.640 --> 00:07:34.640]  我今天很安全
[00:07:34.640 --> 00:07:36.640]  明天會不會很不安全
[00:07:36.640 --> 00:07:39.640]  接下來有些人計劃去旅行
[00:07:39.640 --> 00:07:42.640]  現在美國航空
[00:07:42.640 --> 00:07:44.640]  你們對美國航空有沒有安全感
[00:07:44.640 --> 00:07:46.640]  我認識的朋友
[00:07:46.640 --> 00:07:50.640]  幾大都搭其他航空公司
[00:07:50.640 --> 00:07:53.640]  長榮 去美國經台灣去
[00:07:53.640 --> 00:07:55.640]  經日本去 經南韓去
[00:07:55.640 --> 00:07:57.640]  都不在香港直飛
[00:07:57.640 --> 00:07:59.640]  因為見到美國航空
[00:07:59.640 --> 00:08:01.640]  他會怕恐怖襲擊
[00:08:01.640 --> 00:08:04.640]  安全感不單止是現在
[00:08:04.640 --> 00:08:06.640]  有些未來會發生的事
[00:08:06.640 --> 00:08:08.640]  你都怕的
[00:08:08.640 --> 00:08:09.640]  保險
[00:08:09.640 --> 00:08:11.640]  保險其中一樣
[00:08:11.640 --> 00:08:13.640]  但我想問你買了保險
[00:08:13.640 --> 00:08:16.640]  會不會令你安全感多了
[00:08:16.640 --> 00:08:17.640]  沒有
[00:08:17.640 --> 00:08:20.640]  是受益人的安全感多了
[00:08:20.640 --> 00:08:23.640]  你那份保險沒有寫我的名字嗎
[00:08:23.640 --> 00:08:26.640]  你都不增加我的安全感
[00:08:26.640 --> 00:08:29.640]  還有第四個叫榮辱感
