
[00:00:00.000 --> 00:00:02.500]  依修女妹 中午好
[00:00:02.500 --> 00:00:10.100]  在上個星期收到這個定額的Time雜誌
[00:00:10.100 --> 00:00:12.800]  我一看怎麼這麼多數目
[00:00:12.800 --> 00:00:17.900]  再看一下 原來是現在美國負債
[00:00:17.900 --> 00:00:22.400]  美國負債有13.9 Trillion
[00:00:22.400 --> 00:00:26.800]  那 哇 現在美國的債務很多
[00:00:26.800 --> 00:00:29.100]  所以說平均每一個人
[00:00:29.100 --> 00:00:34.100]  要負擔四萬兩千九百九十八塊錢
[00:00:34.100 --> 00:00:38.100]  今天早上我在我的教會講這個題目的時候
[00:00:38.100 --> 00:00:40.100]  有一些剛剛做父母親的
[00:00:40.100 --> 00:00:43.100]  我就恭喜他們 哇 你們這麼一個小baby這樣
[00:00:43.100 --> 00:00:47.100]  小女兒 小兒子這樣 恭喜你們
[00:00:47.100 --> 00:00:49.600]  但是你們那個小baby一出生
[00:00:49.600 --> 00:00:52.600]  就分攤這個美國的所有的負債
[00:00:52.600 --> 00:00:58.600]  一出生就負債四萬兩千九百多塊錢
[00:00:58.600 --> 00:01:02.600]  那好像大家都欠債
[00:01:02.600 --> 00:01:05.600]  但是注意 我再注意看這個Time雜誌
[00:01:05.600 --> 00:01:08.600]  怎麼把我的名字都打在上面這樣
[00:01:08.600 --> 00:01:12.600]  很忙的一天這樣 別瘋了
[00:01:12.600 --> 00:01:16.100]  當然這個美國負債跟我無所謂這樣
[00:01:16.100 --> 00:01:18.100]  但是把我的名字都放在上面
[00:01:18.100 --> 00:01:19.600]  覺得那可不行了
[00:01:19.600 --> 00:01:23.600]  怎麼說我負債這樣
[00:01:23.600 --> 00:01:27.100]  所以那就跟我有關係了 對不對
[00:01:27.100 --> 00:01:29.600]  不只是跟美國有關係 現在跟我有關係
[00:01:29.600 --> 00:01:34.600]  怎麼說我負債四萬多塊錢這樣
[00:01:34.600 --> 00:01:37.600]  那我再去網上查一下
[00:01:37.600 --> 00:01:41.600]  到底美國現在實際存在多少
[00:01:41.600 --> 00:01:45.100]  那美國一個國家的網路上這樣
[00:01:45.100 --> 00:01:50.100]  我們剛才說是13 trillion對不對
[00:01:50.100 --> 00:01:54.100]  現在怎麼跳到這個19 trillion這樣
[00:01:54.100 --> 00:01:57.100]  我們隔一個禮拜已經漲了這麼多了這樣
[00:01:57.100 --> 00:02:04.100]  所以每一個人平均要負擔的是五萬九千多塊錢
[00:02:04.100 --> 00:02:08.100]  你們每一個人都負債五萬九千多塊錢這樣
[00:02:08.100 --> 00:02:10.100]  那我就想想
[00:02:10.100 --> 00:02:15.100]  那這些債權的這些國家到底是哪一些
[00:02:15.100 --> 00:02:16.100]  我就上網查一下
[00:02:16.100 --> 00:02:25.100]  哇 中國買了美國的這個1.25 trillion
[00:02:25.100 --> 00:02:29.100]  1.25 trillion這樣
[00:02:29.100 --> 00:02:32.100]  我問你 假如是一個billion的話
[00:02:32.100 --> 00:02:35.100]  我們翻譯是多少億啊
[00:02:35.100 --> 00:02:38.100]  十億喔 十億喔
[00:02:38.100 --> 00:02:47.100]  一個trillion的話是多少兆
[00:02:47.100 --> 00:02:49.100]  trillion是十兆
[00:02:49.100 --> 00:02:53.100]  所以他說1.25 trillion
