
[00:00:00.000 --> 00:00:04.200]  梁:梁化紀念禮拜堂的弟兄姊妹平安
[00:00:04.200 --> 00:00:06.200]  主持人:梁化紀念禮拜堂的弟兄姊妹平安
[00:00:06.200 --> 00:00:11.800]  梁:感謝神讓我有這樣的一個機會能夠在這裏來分享
[00:00:11.800 --> 00:00:14.200]  主持人:感謝神讓我有機會今天在這裏和大家分享
[00:00:14.200 --> 00:00:18.000]  梁:今天我要用一個題目
[00:00:18.000 --> 00:00:19.400]  主持人:今天我想用一個題目
[00:00:19.400 --> 00:00:21.800]  梁:跟隨耶穌九四狂
[00:00:21.800 --> 00:00:24.000]  主持人:跟隨耶穌九四狂
[00:00:24.000 --> 00:00:25.600]  梁:這個九四狂
[00:00:25.600 --> 00:00:27.000]  主持人:這個九四狂呢
[00:00:27.000 --> 00:00:31.400]  梁:是臺灣的年輕人很常用的一個用詞
[00:00:31.400 --> 00:00:34.000]  主持人:是臺灣現在年輕人很常用的一個用語來的
[00:00:34.000 --> 00:00:36.000]  梁:意思是說很厲害的
[00:00:36.000 --> 00:00:37.600]  主持人:就是很厲害很厲害很厲害的意思
[00:00:37.600 --> 00:00:38.600]  梁:很棒的
[00:00:38.600 --> 00:00:39.800]  主持人:很厲害的
[00:00:39.800 --> 00:00:44.000]  梁:那他們可能常常是在玩線上online的遊戲
[00:00:44.000 --> 00:00:46.600]  主持人:他們可能常常在玩線上的online遊戲
[00:00:46.600 --> 00:00:48.800]  梁:會說你九四狂
[00:00:48.800 --> 00:00:51.000]  主持人:哇你就是九四狂了
[00:00:51.000 --> 00:00:54.600]  梁:但是我今天要用這樣一個另類的題目
[00:00:54.600 --> 00:00:56.200]  主持人:今天想用這麼另類的題目
[00:00:56.200 --> 00:01:00.000]  主持人:來分享跟隨耶穌怎麼樣厲害
[00:01:00.000 --> 00:01:02.400]  梁:來分享跟隨耶穌怎麼樣厲害
[00:01:02.400 --> 00:01:04.600]  主持人:好那個投影片可以往下
[00:01:04.600 --> 00:01:06.000]  梁:我們可以看下接下來的影片
[00:01:06.000 --> 00:01:08.400]  主持人:我要先來分享一件事情
[00:01:08.400 --> 00:01:10.800]  梁:所以你先想分享一件事情
[00:01:10.800 --> 00:01:12.600]  主持人:在我年輕的時候
[00:01:12.600 --> 00:01:13.800]  梁:在我年輕的時候呢
[00:01:13.800 --> 00:01:17.400]  主持人:其實我從小是在教會長大的
[00:01:17.400 --> 00:01:20.000]  梁:其實我從小就在教會長大的
[00:01:20.000 --> 00:01:22.000]  主持人:我們家道我是第五代的基督徒
[00:01:22.000 --> 00:01:24.200]  梁:對我來說是第五代的基督徒
[00:01:24.200 --> 00:01:27.200]  主持人:有一個宣教士叫馬街
[00:01:27.200 --> 00:01:29.600]  梁:在臺灣有一個宣教士叫馬街
[00:01:29.600 --> 00:01:31.600]  主持人:我的曾曾祖父是他的學生
[00:01:31.600 --> 00:01:34.200]  梁:我曾曾祖父是馬街的學生
[00:01:34.200 --> 00:01:37.000]  主持人:他是臺灣第一個客家的傳道人
[00:01:37.000 --> 00:01:39.800]  梁:我曾曾祖父是第一個客家的傳道人
[00:01:39.800 --> 00:01:41.400]  主持人:你就知道我從小是在教會長大的
[00:01:41.400 --> 00:01:43.400]  梁:你知道我從小就在教會長大的
[00:01:43.400 --> 00:01:46.600]  主持人:但是你知道年輕人都有一個叛逆的時期
[00:01:46.600 --> 00:01:48.800]  梁:你知道年輕人都有叛逆的時期
[00:01:48.800 --> 00:01:50.600]  主持人:我的叛逆時期很早
[00:01:50.600 --> 00:01:52.400]  梁:我的叛逆時期很早發生
[00:01:52.400 --> 00:01:55.600]  我從我國小六年級,小學六年級就開始叛逆
[00:01:55.600 --> 00:01:57.600]  主持人:小學六年級就開始叛逆了
[00:01:57.600 --> 00:01:58.600]  梁:爲什麼叛逆呢?
[00:01:58.600 --> 00:01:59.800]  主持人:爲什麼叛逆呢?
[00:01:59.800 --> 00:02:02.400]  梁:因爲每一個主日的早上
[00:02:02.400 --> 00:02:04.400]  主持人:因爲每一個主日的早上
[00:02:04.400 --> 00:02:06.800]  梁:我需要在鋼琴上面坐着
[00:02:06.800 --> 00:02:08.800]  主持人:我要在鋼琴前面坐着
[00:02:08.800 --> 00:02:10.000]  梁:我需要詩情
[00:02:10.000 --> 00:02:11.200]  主持人:要做詩琴
[00:02:11.200 --> 00:02:13.800]  梁:但是詩情是很好的服侍
[00:02:13.800 --> 00:02:15.000]  主持人:詩琴是很好的服侍
[00:02:15.000 --> 00:02:17.600]  梁:那個時候爲什麼我會覺得很叛逆
[00:02:17.600 --> 00:02:19.200]  主持人:爲什麼那個時候你會覺得很叛逆呢?
[00:02:19.200 --> 00:02:23.000]  主持人:因爲牧師常常都是禮拜天早上八點告訴我
[00:02:23.000 --> 00:02:24.400]  主持人:今天要唱什麼聖詩
[00:02:24.400 --> 00:02:26.200]  梁:牧師常常都是早上星期天
[00:02:26.200 --> 00:02:28.200]  梁:早上八點才告訴我今天要唱什麼歌
[00:02:28.200 --> 00:02:29.600]  主持人:在座有沒有詩情的?
[00:02:29.600 --> 00:02:30.400]  梁:這裏有沒有詩情的?
[00:02:30.400 --> 00:02:32.000]  梁:有啊,海傑啊,是啊
[00:02:32.000 --> 00:02:34.600]  主持人:如果今天牧師早上才告訴你
[00:02:34.600 --> 00:02:34.600]  主持人:如果今天牧師早上才告訴你
[00:02:34.600 --> 00:02:36.000]  主持人:我們今天要唱什麼
[00:02:36.000 --> 00:02:37.600]  梁:如果今天早上一早才告訴你
[00:02:37.600 --> 00:02:38.800]  梁:今天下午唱什麼呢?
[00:02:38.800 --> 00:02:40.000]  主持人:你可能會暈倒
[00:02:40.000 --> 00:02:41.800]  梁:可能你會暈倒
[00:02:41.800 --> 00:02:43.000]  主持人:一次沒關係
[00:02:43.000 --> 00:02:49.800]  梁:一次沒關係,兩次三次我覺得我常常是被剝削的
[00:02:49.800 --> 00:02:52.400]  主持人:我覺得我經常都被人剝削的
[00:02:52.400 --> 00:02:54.800]  梁:那我開始想要逃離教會
