
[00:00:00.000 --> 00:00:02.920]  大英智慧早晨
[00:00:02.920 --> 00:00:05.560]  很好的一個日子
[00:00:05.560 --> 00:00:09.200]  我們現在叫做主日
[00:00:09.200 --> 00:00:11.800]  但是聖經說到安息日
[00:00:11.800 --> 00:00:14.240]  究竟和主日有什麼關係呢
[00:00:14.240 --> 00:00:15.240]  我們都知道
[00:00:15.240 --> 00:00:17.240]  安息日是救約的時候
[00:00:17.240 --> 00:00:20.320]  猶太人甚至現在猶太教的信徒
[00:00:20.320 --> 00:00:23.840]  都會是守這個安息日
[00:00:23.840 --> 00:00:26.800]  安息日和我們現在
[00:00:26.800 --> 00:00:31.120]  在這個時代的基督徒有什麼關係呢
[00:00:31.120 --> 00:00:34.680]  這個題目就
[00:00:34.680 --> 00:00:36.800]  有些人會很怕要說
[00:00:36.800 --> 00:00:38.240]  我們要休息
[00:00:38.240 --> 00:00:40.640]  但是有些人通常都很喜歡休息
[00:00:40.640 --> 00:00:42.280]  因為休息就是放假
[00:00:42.280 --> 00:00:45.480]  但是安息日又不只是放假
[00:00:45.480 --> 00:00:46.440]  所以我們都是
[00:00:46.440 --> 00:00:48.240]  真的要好好的了解
[00:00:48.240 --> 00:00:50.840]  聖經這裡說安息日是什麼
[00:00:50.840 --> 00:00:52.480]  和我們現在有什麼關係
[00:00:52.480 --> 00:00:54.920]  為什麼今天要說安息日
[00:00:54.920 --> 00:00:56.360]  我們一起揭討
[00:00:56.360 --> 00:00:57.640]  多謝我們的主
[00:00:57.640 --> 00:01:00.280]  祢創造這個奇妙的世界
[00:01:00.280 --> 00:01:02.880]  但是祢在這個世界宇宙
[00:01:02.880 --> 00:01:08.800]  甚至在祢自己創造的過程
[00:01:08.800 --> 00:01:13.560]  設立了這個安息的日子定為聖日
[00:01:13.560 --> 00:01:15.360]  我們今天要學習
[00:01:15.360 --> 00:01:18.280]  怎樣去守這個聖日
[00:01:18.280 --> 00:01:21.280]  怎樣去享受這個聖日
[00:01:21.280 --> 00:01:27.160]  怎樣讓祢所創造的聖日的意義
[00:01:27.160 --> 00:01:30.600]  能夠在我們現代的信徒
[00:01:30.600 --> 00:01:34.960]  我們每一位祢的兒女的身上
[00:01:34.960 --> 00:01:37.320]  可以顯露
[00:01:37.320 --> 00:01:39.200]  可以參與
[00:01:39.200 --> 00:01:41.360]  可以享受
[00:01:41.360 --> 00:01:42.960]  求聖靈教導我們
[00:01:42.960 --> 00:01:46.200]  讓我們有一個敬畏祢
[00:01:46.200 --> 00:01:48.320]  敬拜祢的心
[00:01:48.320 --> 00:01:52.880]  祈禱奉耶穌的名 下門
[00:01:52.880 --> 00:01:55.160]  其實我說到動有時靜有時
[00:01:55.160 --> 00:01:58.800]  都是在過去這一個多月裡面
[00:01:58.800 --> 00:02:02.880]  我們都是有這些思想的
[00:02:02.880 --> 00:02:05.040]  大家還會記得一點點
[00:02:05.040 --> 00:02:08.400]  希望9月25日有一個重要的日子
[00:02:08.400 --> 00:02:10.560]  我們教會的35週年
[00:02:10.560 --> 00:02:14.320]  有三語的聯合崇拜
[00:02:14.320 --> 00:02:18.360]  很難得可以三個不同的語言
[00:02:18.360 --> 00:02:22.520]  所有的會眾聚在一起崇拜
[00:02:22.520 --> 00:02:27.520]  也有很好的團契交通的機會
[00:02:27.520 --> 00:02:30.040]  在那一天我就邀請大家
[00:02:30.040 --> 00:02:34.000]  一起去望來望去
[00:02:34.000 --> 00:02:36.000]  還記不記得我們要望後面
[00:02:36.000 --> 00:02:37.720]  又要望前面
[00:02:37.720 --> 00:02:40.520]  又要東張西望
[00:02:40.520 --> 00:02:43.360]  然後還要向上望
[00:02:43.360 --> 00:02:48.040]  不斷地打開我們心裡面的眼睛
[00:02:48.040 --> 00:02:50.240]  到處去望
[00:02:50.240 --> 00:02:53.360]  其實還有第五個方向我們要望
[00:02:53.360 --> 00:02:56.080]  因為當天時間很短
[00:02:56.080 --> 00:02:58.520]  其實崇拜好像很長
[00:02:58.520 --> 00:03:00.560]  一個多兩個小時
[00:03:00.560 --> 00:03:02.960]  但其實講到那段時間
[00:03:02.960 --> 00:03:04.680]  大約45分鐘
[00:03:04.680 --> 00:03:07.880]  而45分鐘有三種語言
[00:03:07.880 --> 00:03:11.320]  所以我那天講到大約是14分鐘
[00:03:11.320 --> 00:03:13.320]  我們雖然覺得很長
[00:03:13.320 --> 00:03:15.880]  為何牧師那麼長氣
[00:03:15.880 --> 00:03:18.480]  但其實我那天已經很短氣
[00:03:18.480 --> 00:03:21.680]  所以第五個方向是很重要的
[00:03:21.680 --> 00:03:23.520]  我們繼續要學習
[00:03:23.520 --> 00:03:27.160]  而在十月的講道裡面
[00:03:27.160 --> 00:03:29.160]  我已經指向了這一點
[00:03:29.160 --> 00:03:32.120]  因為從以利亞的身上我們看見
[00:03:32.120 --> 00:03:38.040]  他似乎有一點不太平衡望的方向
[00:03:38.040 --> 00:03:39.360]  他缺乏了甚麼呢
[00:03:39.360 --> 00:03:42.560]  他缺乏了一個向內望
[00:03:42.560 --> 00:03:45.880]  這就是我們要學習的第五個方向
[00:03:45.880 --> 00:03:48.160]  我們向後望回顧
[00:03:48.160 --> 00:03:50.800]  然後向前望要計劃
[00:03:50.800 --> 00:03:51.960]  要東張西望
[00:03:51.960 --> 00:03:54.320]  到處望見到弟兄姊妹
[00:03:54.320 --> 00:03:55.600]  見到教會
[00:03:55.600 --> 00:03:58.800]  向上望跟從神
[00:03:58.800 --> 00:04:00.920]  跟從神還有一個方向望
[00:04:00.920 --> 00:04:02.920]  是向裡面望
[00:04:02.920 --> 00:04:04.960]  向裡面望其實有兩樣東西
[00:04:04.960 --> 00:04:08.440]  第一樣就是聖靈住在我們的生命裡面
[00:04:08.440 --> 00:04:10.840]  所以我們要望神的時候
[00:04:10.840 --> 00:04:14.880]  除了我們平時所講的仰望神之外
[00:04:14.880 --> 00:04:17.000]  我們也要向內望
[00:04:17.000 --> 00:04:20.960]  去看到聖靈是住在我們的生命裡面
[00:04:20.960 --> 00:04:24.240]  因為很多時候我們就忘記了
[00:04:24.240 --> 00:04:29.440]  原來聖靈就是三位一體神的其中一位
[00:04:29.440 --> 00:04:32.120]  祂也是神
[00:04:32.120 --> 00:04:35.800]  這個我們明年才會再講多一些聖靈
[00:04:35.800 --> 00:04:39.440]  或者其他有關的課題
[00:04:39.440 --> 00:04:42.960]  但向裡面望有兩樣東西
[00:04:42.960 --> 00:04:44.960]  第一樣就是看到聖靈
[00:04:44.960 --> 00:04:47.640]  內住在我們的生命裡面
[00:04:47.640 --> 00:04:52.240]  第二樣其實我們也要望自己的內心
[00:04:52.240 --> 00:04:55.200]  究竟我是一個怎樣的人
[00:04:55.200 --> 00:04:57.480]  很多時崇拜的時候就提醒大家
[00:04:57.480 --> 00:05:02.800]  我們也要省察自己
[00:05:02.800 --> 00:05:05.560]  要知罪要認罪
[00:05:05.560 --> 00:05:07.600]  然後耶穌赦罪
[00:05:07.600 --> 00:05:10.760]  我們也要向內望看回自己的生命
