
[00:00:00.000 --> 00:00:06.000]  好,代言姐妹早晨,在開始的時候先請我們先一齊低頭祈禱。
[00:00:06.000 --> 00:00:12.000]  七天父,我們很感謝你,因為你將生命氣息,將健康,來賜給我們。
[00:00:12.000 --> 00:00:17.000]  讓我們可以在主日的早上,我們一齊圍聚,來敬拜你。
[00:00:17.000 --> 00:00:26.000]  再求你幫助我們,藉著你的話語,去提醒我們,在我們人生的過程裏面,我們要學習的事情。
[00:00:26.000 --> 00:00:32.000]  亦都求你親自的,加你給講的這個人,亦都求你賜福給每一位留心聽的。
[00:00:32.000 --> 00:00:37.000]  再願你自己的話,在我們每一個人的心靈裏面,去工作。
[00:00:37.000 --> 00:00:46.000]  我們將到以下講到的時間,去恭敬交上,求主帶領,祈禱奉耶穌基督的聖名,阿們。
[00:00:46.000 --> 00:00:53.000]  不知道大家還記不記得,我上次講到的那個講題是什麼?
[00:00:53.000 --> 00:00:59.000]  上次我講到的時候,我的講題就是「求你叫我曉得我生之中」,對不對?
[00:00:59.000 --> 00:01:03.000]  那次講完之後,有個姐妹來跟我講。
[00:01:03.000 --> 00:01:10.000]  她說,當然我們一個人,人生,去面對死亡是一件很不容易的事。
[00:01:10.000 --> 00:01:20.000]  但是她說更加不容易的,就是當我們面對身體日漸衰殘的時候,其實在那個過程就更加不容易去面對。
[00:01:20.000 --> 00:01:26.000]  她說,可不可以在下一次講到的時候,跟我們講一下這個題目呢?
[00:01:26.000 --> 00:01:31.000]  那我也很同意這位弟兄姊妹她的體會。
[00:01:31.000 --> 00:01:38.000]  因為即使我們有信仰,我們清楚信主,我們知道自己有永生。
[00:01:38.000 --> 00:01:46.000]  但是在那個衰殘的過程,身體一路衰弱的過程裏面,實在是很不容易去接受。
[00:01:46.000 --> 00:01:52.000]  最近天氣開始轉冷了,我不知道大家的身體如何。
[00:01:52.000 --> 00:02:02.000]  其實在老人院裏面,天氣轉冷是對一些身體有明顯疾病的老人家是一個挑戰。
[00:02:02.000 --> 00:02:09.000]  即使有時候沒什麼大問題,我也很發現其實很多長者睡的時間是越來越多。
[00:02:09.000 --> 00:02:14.000]  因為有點冷,最好就是留在被窩裏面,對不對?
[00:02:14.000 --> 00:02:22.000]  但是我們會去看有一件事,就是人的身體會隨著年紀的變化而有改變。
[00:02:22.000 --> 00:02:25.000]  這個是我們避免不了的。
[00:02:25.000 --> 00:02:34.000]  但是當我們多一點去想一想這個過程,讓我們頭腦上首先去理解多一點,
[00:02:34.000 --> 00:02:42.000]  讓我們的心有一點準備的時候,再去面對這個情況,我會覺得是來得比較容易的。
[00:02:42.000 --> 00:02:46.000]  所以今天我跟大家去看詩篇第七十一篇。
[00:02:46.000 --> 00:02:54.000]  在我們手上的聖經,我們不是很清楚知道究竟這篇詩篇的作者是誰。
[00:02:54.000 --> 00:03:04.000]  但是在一些古代的抄本裏面,它是把七十一篇連同七十篇合成一篇的。
[00:03:04.000 --> 00:03:12.000]  所以當我們去看詩篇第七十篇的時候,我們就知道這一篇是大衛的詩。
[00:03:12.000 --> 00:03:16.000]  所以可能七十一篇的作者也是大衛。
[00:03:16.000 --> 00:03:22.000]  整篇的詩篇七十一篇一共有二十四節。
[00:03:22.000 --> 00:03:27.000]  但是可以很簡單地分第一節到第十三節。
[00:03:27.000 --> 00:03:37.000]  第一節到第十三節就是在困境之中,私人如何向神呼求。
[00:03:37.000 --> 00:03:45.000]  而在第十四節到第二十四節,就是如何由呼求轉移到向神發出的讚美。
[00:03:45.000 --> 00:03:51.000]  而今天我跟大家去看就是第一節到第九節,以及第十八節。
[00:03:51.000 --> 00:03:57.000]  今天我會分成三個部分。
[00:03:57.000 --> 00:04:04.000]  第一部分就是第一節到第三節,就是作者如何呼求神的幫助。
[00:04:04.000 --> 00:04:11.000]  第四節到第八節就是神對他一生的扶持,以致成為他禱告的信心。
[00:04:11.000 --> 00:04:21.000]  第九節到第十八節就是這位長者的心願。
[00:04:21.000 --> 00:04:31.000]  我們特別在第九節到第十八節的時候,
[00:04:31.000 --> 00:04:41.000]  我們會看因為這兩節的經文。
[00:04:41.000 --> 00:04:51.000]  神說我年老的時候,求你不要丟棄我。
[00:04:51.000 --> 00:04:57.000]  神說我力氣衰弱的時候,求你不要離棄我。
[00:04:57.000 --> 00:05:02.000]  所以因為這兩節的經文的時候,有些人會推測,
[00:05:02.000 --> 00:05:06.000]  可能是這位私人在年老的時候所寫的。
[00:05:06.000 --> 00:05:11.000]  所以這個祈禱也是稱為長者的禱告。
[00:05:11.000 --> 00:05:22.000]  我們首先去看看第一個部分,就是作者在年老的時候向神呼求。
[00:05:22.000 --> 00:05:29.000]  在第一節到第三節,他說耶和華,我投靠你,求你不要叫我羞愧。
[00:05:29.000 --> 00:05:35.000]  求你憑你的公義答救我,救拔我,則以聽我,請救我。
[00:05:35.000 --> 00:05:44.000]  求你作我常駐的盆石,你已經命令要救我,因為你是我的岩石,我的山寨。
[00:05:44.000 --> 00:05:48.000]  在這篇詩篇裡面,這位私人向神祈禱。
[00:05:48.000 --> 00:05:52.000]  而這個禱告是一個很個人的禱告。
[00:05:52.000 --> 00:06:00.000]  所以我們會發覺在這篇詩篇裡面,其實有很多「你」、「我」這些字眼出現。
[00:06:00.000 --> 00:06:06.000]  也看到有一件事,當私人遇到困難的時候,他向神呼求。
[00:06:06.000 --> 00:06:09.000]  因為這是他對神的信心。
[00:06:09.000 --> 00:06:15.000]  他很清楚知道,當他有困難的時候,他就去到神的面前祈禱。
[00:06:15.000 --> 00:06:19.000]  他很祈求神對他的保護和拯救。
[00:06:19.000 --> 00:06:24.000]  因為私人他知道,神是永遠都不會叫他羞愧。
[00:06:24.000 --> 00:06:31.000]  而且神就是因為神祭他的岩石,他的山寨。
[00:06:31.000 --> 00:06:39.000]  今天在這篇詩篇裡面,我們會發現私人遇到一些困難,有人,有些敵人來挑戰他。
[00:06:39.000 --> 00:06:45.000]  還有今天有一節的經文,我們還沒讀,沒讀到第二十節。
[00:06:45.000 --> 00:06:51.000]  原來在那一節的經文裡面,我們也發現,私人可能遇到一些困難。
[00:06:51.000 --> 00:06:56.000]  我經常說,我經常覺得能力和困難是相對的。
[00:06:56.000 --> 00:07:03.000]  當一個人能力越大的時候,相對去面對,他就覺得困難是小的。
[00:07:03.000 --> 00:07:11.000]  但是當一個人的能力變得小的時候,弱的時候,很多的問題對他來說就變得很大。
[00:07:11.000 --> 00:07:17.000]  所以當這位私人他面對他自己,可能已經踏入年老了,
[00:07:17.000 --> 00:07:23.000]  他自己的力氣,力量慢慢越來越微小的時候,越來越弱的時候,
[00:07:23.000 --> 00:07:30.000]  所以那些敵人對他的挑戰,那個急難的力度,他所面對的困難,那個挑戰就更大。
[00:07:30.000 --> 00:07:33.000]  甚至可能去面對一個生命的威脅。
