
[00:00:00.000 --> 00:00:02.300]  今天我們要來分享一個題目
[00:00:02.300 --> 00:00:07.300]  是聖靈九果裡面的多結和平的果子
[00:00:07.300 --> 00:00:12.800]  我們先來讀一下加拉太書五章22到23節這節的經文
[00:00:12.800 --> 00:00:15.700]  希望大家讀了九次之後可以背掛
[00:00:15.700 --> 00:00:16.700]  一 二
[00:00:16.700 --> 00:00:23.600]  聖靈所結的果子就是仁愛 喜樂 和平 忍耐
[00:00:23.600 --> 00:00:28.900]  恩慈 良善 信實 溫柔 節制
[00:00:28.900 --> 00:00:32.600]  這樣的事沒有律法禁止
[00:00:32.600 --> 00:00:35.200]  想問大家一個問題
[00:00:35.200 --> 00:00:37.500]  和平到底容易不容易呢
[00:00:37.500 --> 00:00:40.100]  有人說不容易
[00:00:40.100 --> 00:00:44.700]  和平會不會在這樣紛亂的世代當中
[00:00:44.700 --> 00:00:47.600]  是不能夠發生的一件事呢
[00:00:47.600 --> 00:00:50.000]  也不是 對嗎
[00:00:50.000 --> 00:00:52.600]  和平不是一件容易的事情
[00:00:52.600 --> 00:00:57.100]  但是和平也是一件可能發生的事情
[00:00:57.100 --> 00:01:00.500]  那我們先來看一下
[00:01:00.500 --> 00:01:03.600]  我想先看一下和平的定義好了
[00:01:03.600 --> 00:01:07.500]  和平到底是什麼呢
[00:01:07.500 --> 00:01:10.300]  當我想到和平的時候
[00:01:10.300 --> 00:01:13.700]  我想到第一個就是戰爭與和平
[00:01:13.700 --> 00:01:15.200]  對嗎
[00:01:15.200 --> 00:01:18.700]  第二個就是人與人之間的和平
[00:01:18.700 --> 00:01:20.900]  今天我著重的
[00:01:20.900 --> 00:01:22.900]  因為戰爭離我太遠了
[00:01:22.900 --> 00:01:27.700]  今天我著重的來解決的是我們人與人之間的和平
[00:01:27.700 --> 00:01:31.200]  人與人之間怎樣結出和平的果子
[00:01:31.200 --> 00:01:34.100]  那麼人與人之間的和平是什麼呢
[00:01:34.100 --> 00:01:36.500]  首先我們要給和平下一個定義
[00:01:36.500 --> 00:01:40.400]  人與人之間的和平是妥協嗎
[00:01:40.400 --> 00:01:42.100]  妥協的意思就是
[00:01:42.100 --> 00:01:47.200]  雙方用讓步的方法避免衝突或者是爭執
[00:01:47.200 --> 00:01:51.900]  中國人有一句話叫退一步海闊天空
[00:01:51.900 --> 00:01:55.300]  其實我也許跟你秉持著不同的意見
[00:01:55.300 --> 00:01:57.900]  也許這件事情我有不同的看法
[00:01:57.900 --> 00:02:00.700]  但是為了維持我們之間的和平
[00:02:00.700 --> 00:02:03.400]  或者為了保持我跟你之間的關係
[00:02:03.400 --> 00:02:05.000]  我願意退一步
[00:02:05.000 --> 00:02:08.400]  我願意妥協退一步海闊天空
[00:02:08.400 --> 00:02:12.300]  那這個是真正的和平嗎
[00:02:12.300 --> 00:02:15.100]  就像好了好了算了算了就這樣吧
[00:02:15.100 --> 00:02:17.900]  也許我們會有一個和平在當中
[00:02:17.900 --> 00:02:22.200]  但是可能心裡面在唧唧咕嚕唧唧咕嚕在講一些的事情
[00:02:22.200 --> 00:02:26.100]  所以我今天所講的和平不是妥協
[00:02:26.100 --> 00:02:30.000]  那麼和平是表面和平嗎
[00:02:30.000 --> 00:02:32.000]  當我要講這個題目的時候
[00:02:32.000 --> 00:02:33.200]  我問一個姊妹
[00:02:33.200 --> 00:02:34.800]  我說什麼是和平
[00:02:34.800 --> 00:02:37.100]  她說那你就要講什麼是真和平
[00:02:37.100 --> 00:02:38.400]  什麼是假和平
[00:02:38.400 --> 00:02:40.200]  我問她什麼是假和平
[00:02:40.200 --> 00:02:44.100]  她說假和平就是表面和和氣氣
[00:02:44.100 --> 00:02:45.900]  你好我好大家好
[00:02:45.900 --> 00:02:50.700]  但是背地裡想捅你一刀
[00:02:50.700 --> 00:02:56.000]  那麼和平是不是第三種交換條件呢
[00:02:56.000 --> 00:02:59.400]  在這裡我就想到以前在學歷史的時候
[00:02:59.400 --> 00:03:02.200]  在講到一些的不平等條約
[00:03:02.200 --> 00:03:04.700]  為了達至兩國之間的和平
[00:03:04.700 --> 00:03:08.900]  我們簽訂一些的或者平等或者不平等的條約
[00:03:08.900 --> 00:03:11.900]  在當中有一些的交換的條件
[00:03:11.900 --> 00:03:15.400]  為了達至這些的也是一種表面的和平
[00:03:15.400 --> 00:03:18.300]  但是當雙方的那個天平的那個秤
[00:03:18.300 --> 00:03:20.800]  利益的衝突有一些的變化
[00:03:20.800 --> 00:03:23.900]  國與國之間的勢力的那個重量
[00:03:23.900 --> 00:03:25.900]  有一個重新分配的時候
[00:03:25.900 --> 00:03:28.600]  這個和平就不容易達至
[00:03:28.600 --> 00:03:32.200]  條約立刻就不再生效
[00:03:32.200 --> 00:03:33.800]  談到交換條件
[00:03:33.800 --> 00:03:39.300]  我還想到就是父母親對於小孩子的獎勵制度
[00:03:39.300 --> 00:03:41.400]  就是當我們對於小孩子的學習
[00:03:41.400 --> 00:03:44.000]  怎麼跟他傾都傾不定手
[00:03:44.000 --> 00:03:46.100]  就是跟他搞不定的時候
[00:03:46.100 --> 00:03:48.600]  就要跟他簽訂一個交換條件
[00:03:48.600 --> 00:03:50.600]  就是當你這個學期末
[00:03:50.600 --> 00:03:52.600]  如果可以考到95分
[00:03:52.600 --> 00:03:56.700]  那麼我就給你買一個電動的這個車
[00:03:56.700 --> 00:03:59.000]  或者是類似於這樣的東西
[00:03:59.000 --> 00:04:01.300]  就是一種的交換的條件
[00:04:01.300 --> 00:04:03.400]  那我們今天所講的和平
[00:04:03.400 --> 00:04:06.600]  也不是這樣的一種的交換條件
[00:04:06.600 --> 00:04:10.200]  那麼和平到底是什麼呢
[00:04:10.200 --> 00:04:15.700]  我們人與人之間為什麼會很難出現和平呢
[00:04:15.700 --> 00:04:18.300]  那和平的秘訣又是什麼呢
[00:04:18.300 --> 00:04:19.700]  我們再來讀一下
[00:04:19.700 --> 00:04:24.000]  我選了雅各書的一節的一段的經文
[00:04:24.000 --> 00:04:27.900]  記載在雅各書三章十三到十八節
[00:04:27.900 --> 00:04:30.500]  其中講到跟智慧有關係
[00:04:30.500 --> 00:04:31.900]  我們一起來讀一下
[00:04:31.900 --> 00:04:33.300]  一二
[00:04:33.300 --> 00:04:37.700]  你們中間誰是有智慧有見識的呢
[00:04:37.700 --> 00:04:41.100]  他就當在智慧的溫柔上
[00:04:41.100 --> 00:04:44.100]  顯出他的善行來
[00:04:44.100 --> 00:04:49.300]  你們心裡若懷著苦讀的嫉妒和紛爭
[00:04:49.300 --> 00:04:51.400]  就不可自誇
[00:04:51.400 --> 00:04:55.400]  也不可說謊話抵擋真道
[00:04:55.400 --> 00:04:59.200]  這樣的智慧不是從上面來的
[00:04:59.200 --> 00:05:01.200]  乃是屬地的
[00:05:01.200 --> 00:05:02.800]  屬情慾的
[00:05:02.800 --> 00:05:04.600]  屬鬼魔的
[00:05:04.600 --> 00:05:07.900]  在何處有嫉妒紛爭
[00:05:07.900 --> 00:05:13.300]  就在何處有擾亂和各樣的壞事
[00:05:13.300 --> 00:05:16.500]  唯獨從上頭而來的智慧
[00:05:16.500 --> 00:05:18.500]  先是清潔
[00:05:18.500 --> 00:05:20.400]  後是和平
[00:05:20.400 --> 00:05:22.200]  溫良柔順
[00:05:22.200 --> 00:05:24.000]  滿有憐憫
[00:05:24.000 --> 00:05:25.900]  多潔善果
[00:05:25.900 --> 00:05:27.700]  沒有偏見
[00:05:27.700 --> 00:05:29.700]  沒有假冒
[00:05:29.700 --> 00:05:32.400]  並且使人和平的
[00:05:32.400 --> 00:05:37.500]  是那用和平所栽種的異果
[00:05:37.500 --> 00:05:38.500]  好
[00:05:38.500 --> 00:05:42.000]  和平這個詞在舊約是shalom
[00:05:42.000 --> 00:05:43.500]  平安的意思
[00:05:43.500 --> 00:05:47.200]  出處呢在世詩記六章二十四節
[00:05:47.200 --> 00:05:50.500]  那個時候姬甸就看到耶和華的使者
[00:05:50.500 --> 00:05:51.500]  就說
[00:05:51.500 --> 00:05:53.300]  哀哉主耶和華了
[00:05:53.300 --> 00:05:54.400]  我不好了
[00:05:54.400 --> 00:05:55.400]  因為我
[00:05:55.400 --> 00:05:59.200]  因為我寂面看到了耶和華的使者
[00:05:59.200 --> 00:06:01.100]  耶和華對他說
[00:06:01.100 --> 00:06:02.500]  你放心
[00:06:02.500 --> 00:06:03.800]  不要懼怕
[00:06:03.800 --> 00:06:05.400]  你必不致死
[00:06:05.400 --> 00:06:06.500]  於是姬甸呢
[00:06:06.500 --> 00:06:09.100]  就跟耶和華在那裡築了一座壇
[00:06:09.100 --> 00:06:11.700]  叫做耶和華沙龍
[00:06:11.700 --> 00:06:14.400]  就是耶和華是平安的神
[00:06:14.400 --> 00:06:15.800]  這樣的意思
[00:06:15.800 --> 00:06:17.500]  所以舊約在
[00:06:17.500 --> 00:06:18.800]  舊約裡面
[00:06:18.800 --> 00:06:21.400]  和平這個詞主要是shalom的意思
[00:06:21.400 --> 00:06:22.400]  就是平安
[00:06:22.400 --> 00:06:24.400]  那以色列人見面的時候
[00:06:24.400 --> 00:06:26.000]  相互問安也會說
[00:06:26.000 --> 00:06:27.100]  shalom shalom
