
[00:00:00.000 --> 00:00:01.880]  在領受神的說話之間
[00:00:01.880 --> 00:00:04.080]  我們同心再一次仰望神
[00:00:04.080 --> 00:00:08.080]  我們禱告
[00:00:08.080 --> 00:00:11.080]  我們的主,我們感謝祢
[00:00:11.080 --> 00:00:13.680]  因為今晚我們一起去敬拜的時候
[00:00:13.680 --> 00:00:15.980]  我們更感受到
[00:00:15.980 --> 00:00:18.780]  我們每一個星期能夠來到祢的殿中
[00:00:18.780 --> 00:00:21.480]  一起共聚、一起敬拜祢
[00:00:21.480 --> 00:00:23.780]  都是寶貴的恩典
[00:00:23.780 --> 00:00:27.380]  求主帶領我們在崇拜的生活裡面
[00:00:27.380 --> 00:00:30.880]  向上傳感恩和敬畏的心
[00:00:30.880 --> 00:00:32.380]  特別在今天
[00:00:32.380 --> 00:00:34.680]  我們要藉著祢的話語
[00:00:34.680 --> 00:00:36.480]  我們一起去學習
[00:00:36.480 --> 00:00:39.480]  怎樣在我們崇拜的生活裡面
[00:00:39.480 --> 00:00:42.980]  我們一起不斷有成長
[00:00:42.980 --> 00:00:45.880]  更加知道主祢自己的心意
[00:00:45.880 --> 00:00:47.780]  去討祢的喜悅
[00:00:47.780 --> 00:00:49.880]  求主去說領我們
[00:00:49.880 --> 00:00:52.280]  以祢的聖靈幫助我們
[00:00:52.280 --> 00:00:54.380]  去明白祢的真理
[00:00:54.380 --> 00:00:56.980]  而且樂意去進行
[00:00:56.980 --> 00:00:58.080]  同心的祈禱
[00:00:58.080 --> 00:01:04.080]  仰望奉耶穌基督的名字
[00:01:04.080 --> 00:01:05.580]  有一個故事這樣說
[00:01:05.580 --> 00:01:09.280]  有一個人跟上帝聊天
[00:01:09.280 --> 00:01:11.280]  這個人跟上帝說
[00:01:11.280 --> 00:01:14.280]  神啊,祢真是偉大無限
[00:01:14.280 --> 00:01:18.080]  祢是不是看千年如一日
[00:01:18.080 --> 00:01:20.580]  一日如千年呢?
[00:01:20.580 --> 00:01:22.580]  你發覺他有讀聖經的
[00:01:22.580 --> 00:01:24.680]  他也知道那句經文說什麼
[00:01:24.680 --> 00:01:27.080]  他問上帝
[00:01:27.080 --> 00:01:28.280]  上帝回答說
[00:01:28.280 --> 00:01:30.580]  是啊,一點也沒有錯
[00:01:30.580 --> 00:01:32.980]  他跟著問,當然是有方向
[00:01:32.980 --> 00:01:35.880]  他說,上帝,祢是偉大無限的
[00:01:35.880 --> 00:01:40.080]  所以祢是不是看我們千萬元
[00:01:40.080 --> 00:01:43.480]  就好像一元一樣呢?
[00:01:43.480 --> 00:01:47.780]  即是一千萬元只看成一元那麼少呢?
[00:01:47.780 --> 00:01:52.080]  那明顯是一種選擇性的應用
