
[00:00:00.000 --> 00:00:05.000]  今天是傳統基督教會所定的五秦節主日
[00:00:05.000 --> 00:00:11.000]  一秦就是十日 所以五秦就是五十日
[00:00:11.000 --> 00:00:20.000]  本來五秦節是一個猶太人的節日
[00:00:20.000 --> 00:00:31.000]  上個禮拜太正長老也說過猶太人有三個傳統比較大的節日
[00:00:31.000 --> 00:00:36.000]  是要去到耶路撒冷聖殿去獻祭的
[00:00:36.000 --> 00:00:42.000]  五秦節這個字本身在舊約聖經是沒有出現的
[00:00:42.000 --> 00:00:48.000]  不過和這個節日有關的就是出埃及記有提到修葛節
[00:00:48.000 --> 00:00:52.000]  特別是他們修葛之後所謂的first fruit
[00:00:52.000 --> 00:00:58.000]  即是首先第一批果子就要拿去聖殿當中獻祭
[00:00:58.000 --> 00:01:04.000]  另外一個在文數記二十八章就叫做七七初熟節
[00:01:04.000 --> 00:01:11.000]  七七四十九 剛剛五十日就去聖殿當中奉獻
[00:01:11.000 --> 00:01:21.000]  到了耶穌的時代 五秦節對猶太人來說就變成了紀念感謝神賜下律法
[00:01:21.000 --> 00:01:26.000]  律法書對猶太人來說是很重要的
[00:01:26.000 --> 00:01:31.000]  其他地方都不用看了 只看律法書就夠了
[00:01:31.000 --> 00:01:34.000]  所以律法書是很重要的
[00:01:34.000 --> 00:01:42.000]  他們就在那一天紀念神賜下律法書 讓他們能夠遵行守神的律法
[00:01:42.000 --> 00:01:45.000]  那就成為神的子民
[00:01:45.000 --> 00:01:51.000]  剛剛大家都很有耐性讀了很多不同的地方的名字
[00:01:51.000 --> 00:01:58.000]  其實簡單一點就用地圖來表達就比較方便一點
[00:01:58.000 --> 00:02:05.000]  那個時代有很多猶太人已經因為在耶路撒冷受到羅馬政府的壓力
[00:02:05.000 --> 00:02:09.000]  他們就搬到其他地方移民
[00:02:09.000 --> 00:02:14.000]  看看這個地圖 這裡是耶路撒冷 以色列
[00:02:14.000 --> 00:02:17.000]  剛剛提到很多地方的名字
[00:02:17.000 --> 00:02:21.000]  有些就是從土耳其這邊去
[00:02:21.000 --> 00:02:24.000]  有些就是希臘這邊
[00:02:24.000 --> 00:02:28.000]  又會去到耶路撒冷
[00:02:28.000 --> 00:02:33.000]  甚至遠到去意大利羅馬那邊也有人去
