
[00:00:00.000 --> 00:00:04.840]  我們暑假的時候全家就一起去泛舟
[00:00:04.840 --> 00:00:07.920]  我們暑假的時候全家一起去泛舟
[00:00:07.920 --> 00:00:09.600]  對,然後我又多了幾個小孩
[00:00:09.600 --> 00:00:10.720]  多了幾個小孩
[00:00:10.720 --> 00:00:12.960]  對,就是教會的年輕人
[00:00:12.960 --> 00:00:15.000]  就是教會的年輕人
[00:00:15.000 --> 00:00:18.680]  然後其實我們在泛舟的時候
[00:00:18.680 --> 00:00:21.560]  就讓我想到我們在教養小孩的時候
[00:00:21.560 --> 00:00:22.960]  就好像在泛舟一樣
[00:00:22.960 --> 00:00:24.520]  其實我們在泛船的時候
[00:00:24.520 --> 00:00:27.800]  我們就想起教養小朋友就好像在泛船一樣
[00:00:27.800 --> 00:00:30.440]  對,你一旦上了船,你下不了船
[00:00:30.440 --> 00:00:32.120]  你上了船,你又下不回來了
[00:00:32.120 --> 00:00:33.480]  你要走到完
[00:00:33.480 --> 00:00:34.800]  你一定要走到尾
[00:00:34.800 --> 00:00:36.840]  不管風浪多大
[00:00:36.840 --> 00:00:38.240]  不管風浪多大
[00:00:38.240 --> 00:00:40.000]  你就是要一個一個的破
[00:00:40.000 --> 00:00:41.600]  你就一個一個的克服
[00:00:41.600 --> 00:00:43.040]  對,浪一來呢
[00:00:43.040 --> 00:00:44.040]  浪一來呢
[00:00:44.040 --> 00:00:45.040]  只能往前
[00:00:45.040 --> 00:00:45.880]  只能夠往前
[00:00:45.880 --> 00:00:46.920]  沒辦法往後
[00:00:46.920 --> 00:00:48.160]  沒辦法退後了
[00:00:48.160 --> 00:00:49.640]  但是過了浪呢
[00:00:49.640 --> 00:00:51.040]  但是過了浪之後呢
[00:00:51.040 --> 00:00:51.880]  就很開心
[00:00:51.880 --> 00:00:52.880]  就很開心
[00:00:52.880 --> 00:00:56.120]  對,我們這個新的講道系列呢
[00:00:56.120 --> 00:00:58.920]  要透過智慧書
[00:00:58.920 --> 00:01:02.080]  我們這個新的講道系列要透過智慧書
[00:01:02.080 --> 00:01:04.280]  有《真言》、《雅歌》、《詩篇》
[00:01:04.280 --> 00:01:05.400]  有《傳道書》
[00:01:05.400 --> 00:01:07.680]  有《真言》、《雅歌》、《詩篇》、《傳道書》
[00:01:07.680 --> 00:01:08.920]  要來講
[00:01:08.920 --> 00:01:12.000]  講怎麼樣建立家庭的智慧
[00:01:12.000 --> 00:01:14.960]  要講怎麼樣去建立家庭的智慧
[00:01:14.960 --> 00:01:17.760]  對,我呢就負責講《真言》
[00:01:17.760 --> 00:01:20.440]  對,我阿巴薩是負責講《真言》
[00:01:20.440 --> 00:01:21.880]  那我們講《真言》之前
[00:01:21.880 --> 00:01:23.160]  讓我們一起禱告
[00:01:23.160 --> 00:01:24.280]  讓我們講《真言》之前
[00:01:24.280 --> 00:01:25.360]  讓我們一起祈禱
[00:01:25.360 --> 00:01:27.760]  讓我們安靜我們的心來到神的面前
[00:01:27.760 --> 00:01:29.480]  我們安靜我們的心來到上帝面前
[00:01:29.480 --> 00:01:30.640]  親愛的天父
[00:01:30.640 --> 00:01:31.480]  親愛的天父
[00:01:31.480 --> 00:01:33.640]  我們感謝你是有恩典的神
[00:01:33.640 --> 00:01:35.480]  感謝你是一位有恩典的上帝
[00:01:35.480 --> 00:01:37.600]  每一個孩子都是你特別的禮物
[00:01:37.600 --> 00:01:39.600]  每一個孩子都是你特別的禮物
[00:01:39.600 --> 00:01:41.000]  我們的孩子屬於你
[00:01:41.000 --> 00:01:42.440]  我們的孩子是屬於你的
[00:01:42.440 --> 00:01:44.440]  求你的聖靈來教導我們
[00:01:44.440 --> 00:01:46.080]  求你的聖靈來教導我們
[00:01:46.080 --> 00:01:47.320]  叫我們做父母的
[00:01:47.320 --> 00:01:48.320]  做叔叔阿姨的
[00:01:48.320 --> 00:01:49.720]  做屬靈長者的
