
[00:00:00.000 --> 00:00:04.260]  我們今天分享的題目是「一脈相承」
[00:00:04.260 --> 00:00:11.280]  其實這裏提到提摩太太那個屬靈的遺產
[00:00:11.280 --> 00:00:14.620]  由祂祖母傳給祂的祖母
[00:00:14.620 --> 00:00:19.120]  再由祂的祖母傳給祂
[00:00:19.120 --> 00:00:22.060]  或許你們也不知道
[00:00:22.060 --> 00:00:27.500]  其實我有一個英國的外祖母
[00:00:27.500 --> 00:00:30.980]  她是我真真正正的外祖母
[00:00:30.980 --> 00:00:32.840]  你可能會問
[00:00:32.840 --> 00:00:36.480]  Pastor Tim你一點都不像英國人
[00:00:36.480 --> 00:00:39.260]  爲什麼會有一個英國的外祖母出來呢
[00:00:39.260 --> 00:00:41.640]  讓我介紹一下她
[00:00:41.640 --> 00:00:46.080]  她的名字叫Mildred Deaton
[00:00:46.080 --> 00:00:50.280]  她是1905年出生的
[00:00:50.280 --> 00:00:52.600]  她在1930年的時代
[00:00:52.600 --> 00:00:56.200]  1930年初去了香港
[00:00:56.200 --> 00:01:03.080]  她打算在香港做一些傳道的功夫
[00:01:03.080 --> 00:01:04.900]  做一個宣教士
[00:01:04.900 --> 00:01:06.460]  因爲神呼召了她
[00:01:06.460 --> 00:01:11.940]  其實她自己本身很有藝術方面的才華
[00:01:11.940 --> 00:01:18.340]  她也想成爲一個教藝術的老師
[00:01:18.340 --> 00:01:19.640]  但神呼召了她
[00:01:19.640 --> 00:01:23.160]  她就去了香港
[00:01:23.160 --> 00:01:25.340]  1930年初去了香港
[00:01:25.340 --> 00:01:31.540]  但不幸她染上了弱疾症
[00:01:31.540 --> 00:01:33.740]  差點連命都沒了
[00:01:33.740 --> 00:01:37.600]  回到英國休養了一段時間
[00:01:37.600 --> 00:01:41.200]  神繼續將這個感動放在她的心裏
[00:01:41.200 --> 00:01:44.660]  她大概在1935年
[00:01:44.660 --> 00:01:47.740]  1935年中期那段時間
[00:01:47.740 --> 00:01:51.280]  就回到香港
[00:01:51.280 --> 00:01:57.300]  在香港她見到很多被遺棄的小朋友
[00:01:57.300 --> 00:01:59.720]  就在街邊
[00:01:59.720 --> 00:02:03.380]  被遺棄的很多都是女嬰
[00:02:03.380 --> 00:02:04.700]  很少男孩子
[00:02:04.700 --> 00:02:05.740]  因爲當時
[00:02:05.740 --> 00:02:09.380]  你知道中國人都是重男輕女
[00:02:09.380 --> 00:02:11.900]  男孩子一定會有人養
[00:02:11.900 --> 00:02:14.220]  女孩子就很不幸
[00:02:14.220 --> 00:02:16.260]  就扔在街上
[00:02:16.260 --> 00:02:19.420]  由她自生自滅
[00:02:19.420 --> 00:02:23.140]  我的外祖母
[00:02:23.140 --> 00:02:29.260]  她見到一批這麼可憐的小女孩
[00:02:29.260 --> 00:02:32.660]  都在街上自生自滅
[00:02:32.660 --> 00:02:34.360]  如果她不做些事
[00:02:34.360 --> 00:02:40.040]  這些女嬰就會死
[00:02:40.040 --> 00:02:41.380]  怎麼辦呢
[00:02:41.380 --> 00:02:42.260]  她祈禱
[00:02:42.260 --> 00:02:44.300]  神給她一個感動
[00:02:44.300 --> 00:02:51.260]  她就在粉嶺開了一間孤兒院
[00:02:51.260 --> 00:02:55.940]  在粉嶺開始領養孤兒
[00:02:55.940 --> 00:03:01.260]  和照顧他們的需要的孤兒院
[00:03:01.260 --> 00:03:05.020]  而我母親
[00:03:05.020 --> 00:03:12.940]  是其中一個被她領養的女嬰
[00:03:12.940 --> 00:03:17.100]  她很有信心
[00:03:17.100 --> 00:03:21.980]  她對神很有信心
[00:03:21.980 --> 00:03:26.420]  就是相信神的那種供應和預備
[00:03:26.420 --> 00:03:34.020]  因爲她一個人照顧這麼多的孤兒
[00:03:34.020 --> 00:03:36.540]  又無財又無勢
[00:03:36.540 --> 00:03:40.220]  怎麼辦呢
[00:03:40.220 --> 00:03:41.780]  上一代你知道
[00:03:41.780 --> 00:03:47.900]  大概在1930年代末期
[00:03:47.900 --> 00:03:49.860]  1940年初開始的時候
[00:03:49.860 --> 00:03:54.780]  日本就佔領了香港
[00:03:54.780 --> 00:03:59.540]  我們稱之爲「八年」
[00:03:59.540 --> 00:04:03.660]  那些歲月真的不簡單
[00:04:03.660 --> 00:04:05.460]  佔領了香港之後
[00:04:05.460 --> 00:04:12.900]  我外祖母被拉進了日軍的集中營
[00:04:12.900 --> 00:04:18.460]  她就和那些日軍的軍官討論
[00:04:18.460 --> 00:04:19.700]  要放我出去
[00:04:19.700 --> 00:04:26.340]  否則我的孤兒院裏的孤兒會全部死
[00:04:26.340 --> 00:04:29.300]  當時有一個日本兵
[00:04:29.300 --> 00:04:32.180]  不斷拿着槍頭
[00:04:32.180 --> 00:04:35.140]  槍柄就這樣打下去
[00:04:35.140 --> 00:04:40.580]  但是我外祖母仍然沒有放棄
[00:04:40.580 --> 00:04:42.300]  她懇求這些日本兵
[00:04:42.300 --> 00:04:46.380]  放她回去粉領的孤兒院
[00:04:46.380 --> 00:04:52.500]  讓她有機會繼續照顧這羣孤兒
[00:04:52.500 --> 00:04:56.940]  神也感動了另一個軍官
[00:04:56.940 --> 00:04:59.100]  放她回去
[00:04:59.100 --> 00:05:02.780]  在孤兒院裏也經歷了很多磨練
[00:05:02.780 --> 00:05:06.900]  有些日本兵就進去了
[00:05:06.900 --> 00:05:18.220]  就抓了一個其中照顧小孩的工作人員
[00:05:18.220 --> 00:05:19.540]  是女的
[00:05:19.540 --> 00:05:21.860]  就強姦了她
[00:05:21.860 --> 00:05:24.260]  不僅在那段時間
[00:05:24.260 --> 00:05:31.620]  也在混亂當中踩死了另一個女嬰
[00:05:31.620 --> 00:05:36.660]  我外祖母在這麼困難的環境裏
[00:05:36.660 --> 00:05:41.540]  她仍然深信神給了她一個使命
[00:05:41.540 --> 00:05:46.420]  就是要救這羣孤兒
[00:05:46.420 --> 00:05:49.700]  在香港大概有三十多年的時間
[00:05:49.700 --> 00:05:54.060]  由1930年中到1960年中期
[00:05:54.060 --> 00:05:58.780]  她總共領養了三百個孤兒
[00:05:58.780 --> 00:06:00.820]  其中一個是母親
[00:06:00.820 --> 00:06:03.140]  今天我母親也坐在這裏
[00:06:03.140 --> 00:06:07.060]  她可以作爲一個見證
[00:06:07.060 --> 00:06:08.300]  我媽媽經常跟我說
[00:06:08.300 --> 00:06:10.820]  我這個外祖母很有信心
[00:06:10.820 --> 00:06:13.940]  她很喜歡禱告
[00:06:13.940 --> 00:06:18.700]  她信靠神的供應
[00:06:18.700 --> 00:06:20.460]  我母親跟我說過一個故事
[00:06:20.460 --> 00:06:21.700]  就是有一次
[00:06:21.700 --> 00:06:23.380]  早上喫完早餐
[00:06:23.380 --> 00:06:27.780]  我的外祖母就和一羣孤兒和工作人員說
[00:06:27.780 --> 00:06:30.980]  這一餐是你們最後一餐
[00:06:30.980 --> 00:06:33.180]  午餐沒有着落
[00:06:33.180 --> 00:06:34.540]  晚餐也沒有着落
[00:06:34.540 --> 00:06:36.500]  你們要祈禱
[00:06:36.500 --> 00:06:39.980]  祈禱求神供應
[00:06:39.980 --> 00:06:45.020]  就在大概午飯的時間有人敲門
[00:06:45.020 --> 00:06:48.660]  原來是那些蓋小販的隊
[00:06:48.660 --> 00:06:51.420]  他們也知道在這個地方有一個孤兒院
[00:06:51.420 --> 00:06:54.140]  他們就來敲門
[00:06:54.140 --> 00:06:56.060]  那些工作人員應門
[00:06:56.060 --> 00:07:00.380]  「我們蓋了一些小販
[00:07:00.380 --> 00:07:02.260]  有些食物在這裏
[00:07:02.260 --> 00:07:03.500]  知道這裏是孤兒院
[00:07:03.500 --> 00:07:04.620]  你們要不要啊?」
[00:07:04.620 --> 00:07:06.500]  「那當然要啦」
[00:07:06.500 --> 00:07:12.700]  那天的午餐晚餐也有着落
[00:07:12.700 --> 00:07:16.220]  就是這樣一天覆一天的
[00:07:16.220 --> 00:07:24.420]  我這個外祖母把信心放在上帝那裏
[00:07:24.420 --> 00:07:28.860]  養大了三百多個孤兒
[00:07:28.860 --> 00:07:34.620]  她在1960年中期那段時間又回到英國
[00:07:34.620 --> 00:07:47.700]  她也帶了幾十個孤兒和她一起回到英國
[00:07:47.700 --> 00:07:57.260]  她大概在1987年那段時間就過世了
[00:07:57.260 --> 00:07:58.740]  我今天回頭看
[00:07:58.740 --> 00:08:01.580]  我今天能夠站在這裏
[00:08:01.580 --> 00:08:05.420]  是因爲我這位外祖母
[00:08:05.420 --> 00:08:09.140]  如果不是因爲她
[00:08:09.140 --> 00:08:13.140]  我媽媽今天不會在這裏
[00:08:13.140 --> 00:08:18.900]  我媽媽不在的時候我今天也不會在這裏
[00:08:18.900 --> 00:08:22.780]  其實我還有一些印象是記得她的
[00:08:22.780 --> 00:08:25.980]  就是我很小的時候
[00:08:25.980 --> 00:08:31.260]  我妹妹準備要出生
[00:08:31.260 --> 00:08:33.140]  媽媽身體不太好
[00:08:33.140 --> 00:08:34.900]  沒辦法照顧兩個人
[00:08:34.900 --> 00:08:39.820]  就放我在外祖母那間孤兒院
[00:08:39.820 --> 00:08:43.180]  那時候她不在粉嶺去了沙田
[00:08:43.180 --> 00:08:46.420]  照顧了一段時間
[00:08:46.420 --> 00:08:51.380]  我還記得每天我爬在窗戶那裏看火車來
[00:08:51.380 --> 00:08:53.380]  那些工作那些
[00:08:53.380 --> 00:08:56.620]  那些嬰兒照顧那些人
[00:08:56.620 --> 00:08:57.980]  就會經常跟我說
[00:08:57.980 --> 00:09:01.220]  「恩賜你不用怕了」
[00:09:01.220 --> 00:09:03.220]  「你爹地媽咪你爸爸媽媽就會來接你」
[00:09:03.220 --> 00:09:05.340]  「你看看那個火車來」
[00:09:05.340 --> 00:09:08.860]  我還記得每天步在窗戶那裏看着
[00:09:08.860 --> 00:09:14.940]  我隱約還記得我外婆是怎樣的樣子
[00:09:14.940 --> 00:09:18.820]  當她知道我媽媽和我爸爸要結婚了
[00:09:18.820 --> 00:09:21.140]  因爲我爸爸是牧師是傳道人
[00:09:21.140 --> 00:09:24.940]  她非常高興
[00:09:24.940 --> 00:09:30.340]  特意也叫了我的父親和她見面
[00:09:30.340 --> 00:09:34.420]  其實是一個面試
[00:09:34.420 --> 00:09:37.060]  當然外祖母非常高興
[00:09:37.060 --> 00:09:41.380]  因爲她自己本身也是一個宣教士
[00:09:41.380 --> 00:09:43.380]  我想想
[00:09:43.380 --> 00:09:47.340]  沒有了這個屬靈的遺產
[00:09:47.340 --> 00:09:49.900]  今天就沒有了我站在這裏
