
[00:00:00.000 --> 00:00:02.440]  好想同大家一齊思想
[00:00:02.440 --> 00:00:04.120]  點樣去面對
[00:00:04.120 --> 00:00:06.120]  今天社會嘅危機
[00:00:06.120 --> 00:00:08.080]  喺今日社會裏面
[00:00:08.080 --> 00:00:10.240]  面對好多唔同嘅危機
[00:00:10.240 --> 00:00:11.960]  有政治嘅危機
[00:00:11.960 --> 00:00:13.640]  有經濟嘅危機
[00:00:13.640 --> 00:00:15.160]  有領袖嘅危機
[00:00:15.160 --> 00:00:16.680]  有生活嘅危機
[00:00:16.680 --> 00:00:19.120]  有人性嘅危機
[00:00:19.120 --> 00:00:22.200]  今日我好想同大家直著
[00:00:22.200 --> 00:00:25.400]  提摩太后書第三章
[00:00:25.400 --> 00:00:26.840]  第十節
[00:00:26.840 --> 00:00:29.000]  去到第十七節
[00:00:29.240 --> 00:00:31.600]  我哋嚟到作為一個基督徒
[00:00:31.600 --> 00:00:33.760]  點樣去回應
[00:00:33.760 --> 00:00:38.400]  今日喺我哋人生裏面
[00:00:38.400 --> 00:00:40.880]  面對一啲嘅危機
[00:00:40.880 --> 00:00:44.400]  特別喺呢段聖經講到一個末世嘅危機
[00:00:44.400 --> 00:00:47.560]  我哋點樣去面對末世嘅危機呢
[00:00:47.560 --> 00:00:51.400]  我哋試下從呢段聖經嚟到去睇
[00:00:51.400 --> 00:00:53.360]  我哋嚟到去
[00:00:53.360 --> 00:00:57.880]  去面對呢個危機
[00:00:57.880 --> 00:01:02.520]  我哋打開提摩太后書三章
[00:01:02.520 --> 00:01:10.160]  我哋一齊由第十節讀到第十七節
[00:01:10.160 --> 00:01:21.920]  我哋可以睇PowerPoint
[00:01:21.920 --> 00:01:27.120]  如果可以自己有聖經嘅亦都可以睇聖經
[00:01:27.120 --> 00:01:31.080]  我哋試下嚟到一齊讀出呢段聖經
[00:01:57.440 --> 00:02:01.040]  「不但如此,凡立志在基督耶穌裏
[00:02:01.040 --> 00:02:04.840]  敬虔道逸的也都要受逼迫
[00:02:04.840 --> 00:02:07.840]  只是作惡的和迷惑人的
[00:02:07.840 --> 00:02:09.640]  必越久越惡
[00:02:09.640 --> 00:02:13.120]  他欺控人也被人欺控
[00:02:13.120 --> 00:02:16.600]  但你所學習的、所確信的
[00:02:16.600 --> 00:02:18.720]  要存在心裏
[00:02:18.720 --> 00:02:23.560]  因為你知道是跟誰的、學的
[00:02:23.560 --> 00:02:27.720]  並且知道你是從小明白聖經
[00:02:27.720 --> 00:02:33.080]  這聖經能使你因順基督耶穌有得救的智慧
[00:02:33.080 --> 00:02:35.920]  聖經都是神所默示的
[00:02:35.920 --> 00:02:39.320]  於教訓督責使人歸正
[00:02:39.320 --> 00:02:42.960]  教導人學義都是有益的
[00:02:42.960 --> 00:02:49.080]  叫屬神的人得以完全預備行各樣的善事」
[00:02:49.080 --> 00:02:51.960]  請我哋一齊低頭同心的祈禱
[00:02:51.960 --> 00:02:55.840]  親愛的天父,多謝祢讓我們能夠敬拜祢
[00:02:55.840 --> 00:02:58.280]  求祢藉著祢的話語
[00:02:58.280 --> 00:03:04.480]  幫助我們去了解我們在末世裏面
[00:03:04.480 --> 00:03:08.240]  我們怎樣作祢的無瑕疵的兒女
[00:03:08.240 --> 00:03:10.320]  怎樣在末世裏面
[00:03:10.320 --> 00:03:13.280]  怎樣能夠藉著祢的說話
[00:03:13.280 --> 00:03:15.400]  可以知道怎樣去生活
[00:03:15.400 --> 00:03:17.800]  怎樣去面對挑戰
[00:03:17.800 --> 00:03:21.160]  求祢來到去幫助我們
[00:03:21.160 --> 00:03:24.960]  給力量我們去將祢的話語實踐
[00:03:24.960 --> 00:03:27.000]  我們這樣祈禱
[00:03:27.000 --> 00:03:28.840]  奉耶穌聖名祈禱
[00:03:28.840 --> 00:03:29.840]  阿們
[00:03:29.840 --> 00:03:34.400]  甚麼叫做末世呢?
[00:03:34.400 --> 00:03:40.680]  很多時候有人將末世和末日混在一起來說
[00:03:40.680 --> 00:03:47.160]  末日其實是說到耶穌基督要回來的時間
[00:03:47.160 --> 00:03:48.520]  末世是甚麼呢?
[00:03:48.520 --> 00:03:50.680]  末世在聖經裏面的意思
[00:03:50.680 --> 00:03:53.400]  就是耶穌第一次來的時候
[00:03:53.400 --> 00:03:56.080]  去到耶穌第二次來的時候
[00:03:56.080 --> 00:03:58.880]  這個都是叫做末世
[00:03:58.880 --> 00:04:04.480]  所以從耶穌開始就進入末世
[00:04:04.480 --> 00:04:06.480]  所以在白萊書第一章第二節
[00:04:06.480 --> 00:04:11.240]  「就在這末世藉由他兒子曉喻我們」
[00:04:11.240 --> 00:04:13.760]  耶穌來臨的時候
[00:04:13.760 --> 00:04:16.040]  就是我們進入末世
[00:04:16.040 --> 00:04:20.560]  到今天我們都在這個末世裏面
[00:04:20.560 --> 00:04:23.640]  末世究竟有甚麼危機呢?
[00:04:23.640 --> 00:04:26.240]  在兩星期之前
[00:04:26.240 --> 00:04:28.080]  張老姑娘提醒我們
[00:04:28.080 --> 00:04:32.680]  末世有三個特徵
[00:04:32.680 --> 00:04:35.120]  第一個特徵就是沒有神
[00:04:35.120 --> 00:04:36.640]  當一個人沒有神
[00:04:36.640 --> 00:04:39.120]  人就是去貪愛錢財
[00:04:39.120 --> 00:04:41.560]  自誇狂傲等等的東西
[00:04:41.560 --> 00:04:43.640]  人就來愛自己
[00:04:43.640 --> 00:04:45.640]  以自己為中心
[00:04:45.640 --> 00:04:48.840]  第二樣東西無力
[00:04:48.840 --> 00:04:53.320]  我們沒有那個力量去表達我們的信仰
[00:04:53.320 --> 00:04:57.640]  信仰很多時候只有敬虔的外貌
[00:04:57.640 --> 00:04:59.240]  沒有敬虔的實質
[00:04:59.240 --> 00:05:03.080]  更加在末世裏面我們沒有真理
[00:05:03.080 --> 00:05:06.440]  末世裏面人廢棄真道
