
[00:00:00.000 --> 00:00:02.080]  今天是父親節的崇拜
[00:00:02.080 --> 00:00:03.580]  所以今天分享的題目
[00:00:03.580 --> 00:00:05.600]  是最好的禮物
[00:00:05.600 --> 00:00:07.480]  不知道父親節的時候
[00:00:07.480 --> 00:00:09.440]  你通常聽到父親講什麼呢?
[00:00:09.440 --> 00:00:12.020]  通常我聽到很多父親這樣講的
[00:00:12.020 --> 00:00:16.720]  他說總覺得母親節好像比父親節重要
[00:00:16.720 --> 00:00:21.180]  在很久以前美國有一個未經證實的調查
[00:00:21.180 --> 00:00:22.520]  他說在美國
[00:00:22.520 --> 00:00:27.660]  母親節是全國那天打得最多電話的日子
[00:00:27.660 --> 00:00:30.960]  因為在美國很多人未必能夠跟父母一起住
[00:00:30.960 --> 00:00:32.040]  所以在國內
[00:00:32.040 --> 00:00:36.380]  他就會打電話給媽媽祝福他母親節快樂
[00:00:36.380 --> 00:00:38.960]  有人說那父親節呢?
[00:00:38.960 --> 00:00:41.820]  原來父親節也是打得最多電話的
[00:00:41.820 --> 00:00:44.040]  但是打得最多哪一種電話呢?
[00:00:44.040 --> 00:00:48.520]  打得最多要求對方給錢的電話
[00:00:48.520 --> 00:00:51.300]  大家知道外國打電話要給錢的
[00:00:51.300 --> 00:00:54.280]  以前在外國打電話有一種叫Collect Call
[00:00:54.280 --> 00:00:57.900]  打電話來首先答應電話是由你自己給的
[00:00:57.900 --> 00:00:59.920]  然後他就給你通話
[00:00:59.920 --> 00:01:03.080]  他說原來父親節是打得最多Collect Call的一天
[00:01:03.080 --> 00:01:07.580]  就是說很多人都想打電話祝父親節快樂
[00:01:07.580 --> 00:01:08.860]  但是爸爸
[00:01:08.860 --> 00:01:11.560]  請你首先給錢吧
[00:01:11.560 --> 00:01:16.280]  我不知道大家在父親節會送什麼禮物給爸爸
[00:01:16.280 --> 00:01:18.800]  在我年輕的時候
[00:01:18.800 --> 00:01:21.840]  我就會自彈自唱
[00:01:21.840 --> 00:01:24.380]  大家知道我很喜歡Beyond
[00:01:24.380 --> 00:01:26.000]  所以我就會自彈自唱
[00:01:26.000 --> 00:01:28.540]  我會自彈自唱「真的愛你」
[00:01:28.540 --> 00:01:29.960]  送給我的媽媽
[00:01:29.960 --> 00:01:32.700]  那些人就說你自彈自唱「真的愛你」
[00:01:32.700 --> 00:01:34.880]  那父親節呢?
[00:01:34.880 --> 00:01:35.840]  感謝主人
[00:01:35.840 --> 00:01:39.240]  因為原來Beyond也作了一首歌送給爸爸
[00:01:39.240 --> 00:01:40.660]  不知道大家有沒有聽過
[00:01:40.660 --> 00:01:43.140]  那首歌叫做「報答一生」
[00:01:43.140 --> 00:01:44.560]  那首歌是這樣唱的
[00:01:44.560 --> 00:01:47.920]  從前說話未願接受
[00:01:47.920 --> 00:01:51.180]  從來不懂關心與否
[00:01:51.180 --> 00:01:54.380]  耐心總是埋怨
[00:01:54.380 --> 00:01:57.500]  束縛我自由
[00:01:57.500 --> 00:01:59.040]  我不唱下去了
[00:01:59.040 --> 00:02:01.080]  我怕大家以為我唱到十點半
[00:02:01.080 --> 00:02:04.940]  但是其實它是歌頌爸爸的愛
[00:02:04.940 --> 00:02:07.940]  所以我以前也曾經跟我弟弟
[00:02:07.940 --> 00:02:09.340]  一個人拿著結他
[00:02:09.340 --> 00:02:11.020]  一個人拿著低音結他
[00:02:11.020 --> 00:02:13.720]  錄了這首歌給爸爸
[00:02:13.720 --> 00:02:17.020]  爸爸說幸好原來Beyond也作了一首給爸爸
[00:02:17.020 --> 00:02:19.400]  那麼說起禮物
[00:02:19.400 --> 00:02:21.940]  我不知道大家會送什麼禮物
