
[00:00:00.000 --> 00:00:02.000]  兩位姐妹早晨
[00:00:02.000 --> 00:00:04.880]  在我們今天未領受整個話語之先
[00:00:04.880 --> 00:00:06.880]  讓我們首先低頭一個禱告
[00:00:06.880 --> 00:00:10.360]  親愛的姐妹 我們願意你節制現在一段時間
[00:00:10.360 --> 00:00:13.180]  向每一夥向你敞開的心靈講說話
[00:00:13.180 --> 00:00:15.180]  我們今天的禱告是奉主明求
[00:00:15.180 --> 00:00:25.160]  這位弟兄每年都要支付一個兒子去美國讀書
[00:00:25.160 --> 00:00:28.540]  大約是二十三萬四千五百六十三塊
[00:00:28.540 --> 00:00:30.540]  我有兩個兒子
[00:00:30.540 --> 00:00:34.640]  所以他每一年都要支付四十六萬九千一百二十六塊
[00:00:34.640 --> 00:00:36.640]  給他兩個兒子去外國留學
[00:00:36.640 --> 00:00:40.260]  有一次我打笑地跟他說
[00:00:40.260 --> 00:00:45.840]  每年都要用這麼多錢給你兩個兒子去外國留學
[00:00:45.840 --> 00:00:47.840]  你舍不捨得呢
[00:00:47.840 --> 00:00:50.840]  我打笑地跟他說 但他很認真地回答我
[00:00:50.840 --> 00:00:52.840]  有一天我心裏在想
[00:00:52.840 --> 00:00:54.840]  我已經年過半百了
[00:00:54.840 --> 00:00:59.820]  如果有一天我百年歸老的話
[00:00:59.820 --> 00:01:01.820]  我要留些什麼給我兩個兒子呢
[00:01:01.820 --> 00:01:03.820]  我想了很久
[00:01:03.820 --> 00:01:05.820]  我一直在想
[00:01:05.820 --> 00:01:07.820]  我可以留很多錢給他
[00:01:07.820 --> 00:01:09.820]  不過我做生意的我心裏有數
[00:01:09.820 --> 00:01:11.820]  一個錯誤的決定
[00:01:11.820 --> 00:01:13.820]  一個天災
[00:01:13.820 --> 00:01:15.820]  一個政治因素的改變
[00:01:15.820 --> 00:01:17.820]  幾百萬 幾千萬 甚至幾億的身家
[00:01:17.820 --> 00:01:21.820]  都可以在幾個星期 幾天 甚至幾個小時之內
[00:01:21.820 --> 00:01:23.820]  就全部沒了
[00:01:23.820 --> 00:01:25.820]  但是一個人的學識就不同了
[00:01:25.820 --> 00:01:27.820]  無論發生什麼事
[00:01:27.820 --> 00:01:31.820]  無論這個環境有多大的轉變也好
[00:01:31.820 --> 00:01:33.820]  一個人的學識將會一生一世
[00:01:33.820 --> 00:01:35.820]  這樣去陪伴着這個人
[00:01:35.820 --> 00:01:37.820]  想到這裏的時候
[00:01:37.820 --> 00:01:39.820]  我就作出了最後的決定
[00:01:39.820 --> 00:01:41.820]  無論要多少錢也好
[00:01:41.820 --> 00:01:45.820]  只要我能夠 能力可以支持得到的話
[00:01:45.820 --> 00:01:47.820]  我都要給我這兩個兒子
[00:01:47.820 --> 00:01:49.820]  接受最好 最高深的教育
[00:01:49.820 --> 00:01:51.820]  沒錯
[00:01:51.820 --> 00:01:53.820]  學識 智慧
[00:01:53.820 --> 00:01:55.820]  在這個世界上
[00:01:55.820 --> 00:01:57.820]  好像多少都不夠
[00:01:57.820 --> 00:02:01.820]  究竟我們如何才能得到更多的智慧
