
[00:00:00.000 --> 00:00:03.640]  今天想和大家講的題目不是很傳統的題目
[00:00:03.640 --> 00:00:05.840]  叫做不合理的基督信仰
[00:00:05.840 --> 00:00:10.500]  其實基督教的信仰內容可以很簡單也很複雜
[00:00:10.500 --> 00:00:15.440]  而一些很核心的信仰內容究竟是合理還是不合理呢
[00:00:15.440 --> 00:00:19.580]  今天有三個其實不是很合理的基督信仰內容和大家分享
[00:00:19.580 --> 00:00:23.520]  有時候人類都好像認為自己很理性
[00:00:23.520 --> 00:00:26.220]  去做一些理性的抉擇或者考慮
[00:00:26.220 --> 00:00:28.640]  不過這麼多年當同人傳福音的時候
[00:00:28.640 --> 00:00:31.440]  有些人說你的信仰都不是很合理
[00:00:31.440 --> 00:00:34.620]  是不是所有科學家都會信耶穌自然 又不是
[00:00:34.620 --> 00:00:37.360]  因為有些人覺得不合理 有些人覺得很合理
[00:00:37.360 --> 00:00:45.500]  究竟信仰或者我們做的決定是不是真的這麼理性呢
[00:00:45.500 --> 00:00:48.900]  近日香港有很多事情的發生
[00:00:48.900 --> 00:00:56.780]  都令人很緊張
[00:00:56.780 --> 00:00:59.460]  其實是否坐甚麼鐵的時候有甚麼意外
[00:00:59.460 --> 00:01:03.280]  或者是超時 我那天看著那些飛龍 印蓉在巴士上
[00:01:03.280 --> 00:01:04.980]  不斷說我遲來 我遲來
[00:01:04.980 --> 00:01:06.580]  整個巴士都聽到他說話
[00:01:06.580 --> 00:01:08.500]  我要在學校看著小朋友
[00:01:08.500 --> 00:01:11.380]  我現在在哪裏兜車 怎樣來
[00:01:11.380 --> 00:01:15.160]  這個是香港一些關心的事情或者一出N9
[00:01:15.160 --> 00:01:17.500]  但是全世界發生很大的事情
[00:01:17.500 --> 00:01:20.680]  是曼德拉這個前總統的過身
[00:01:20.680 --> 00:01:22.060]  在今年特別很有意義
[00:01:22.060 --> 00:01:26.060]  因為馬丁·路德·金在50年前說過我有一個夢
[00:01:26.060 --> 00:01:30.260]  這些這樣的民主的巨人
[00:01:30.260 --> 00:01:34.780]  他們對世界的影響是無與倫比
[00:01:34.780 --> 00:01:36.700]  不過相對而言在這個世界
[00:01:36.700 --> 00:01:38.060]  也有些有權有為的人
[00:01:38.060 --> 00:01:43.020]  也都令人覺得很可笑或者很奇特
[00:01:43.020 --> 00:01:46.100]  這幅相我相信可以幫我播出來
[00:01:46.100 --> 00:01:48.180]  大家都認識這幾個人
[00:01:48.180 --> 00:01:50.540]  奧巴馬英國的首相卡梅倫
[00:01:50.540 --> 00:01:52.460]  和丹麥的首相斯密特
[00:01:52.460 --> 00:01:56.580]  在南非前總統曼德拉的遭到會上玩自拍
[00:01:56.580 --> 00:01:58.740]  接著被人拍了他們
[00:01:58.740 --> 00:02:02.220]  這個都不奇怪 其實自拍是很普遍
[00:02:02.220 --> 00:02:03.900]  今天大家都有手機
[00:02:03.900 --> 00:02:07.620]  但是我想有另一個調查令我們覺得更加特別的
[00:02:07.620 --> 00:02:12.100]  就是一個最沒有影響力的人物的選舉
[00:02:12.100 --> 00:02:16.140]  最沒有影響力 即是它其實沒甚麼作用的
[00:02:16.140 --> 00:02:18.100]  奧巴馬是入選
[00:02:18.100 --> 00:02:22.380]  在這個時尚雜誌GQ評為一事無成裏面
[00:02:22.380 --> 00:02:25.140]  第17個人物
[00:02:25.140 --> 00:02:27.140]  裏面的人物都是一些花花公子
[00:02:27.140 --> 00:02:30.540]  一些影壇某些人或者球員
[00:02:30.540 --> 00:02:32.540]  在這裏經常玩 瘋狂這樣的人
[00:02:32.540 --> 00:02:36.340]  但是奧巴馬被評為第17個一事無成的人
[00:02:36.340 --> 00:02:39.340]  因為這個雜誌的觀察
[00:02:39.340 --> 00:02:41.900]  說看了奧巴馬很多個月裏面
[00:02:41.900 --> 00:02:43.940]  每當發生一些事情的時候
[00:02:43.940 --> 00:02:47.220]  他總是很深思熟慮地在演說的會中
[00:02:47.220 --> 00:02:52.860]  說一些承諾永遠不會再發生這些事情的
[00:02:52.860 --> 00:02:55.340]  永遠不會再讓這些事情再一次出現
[00:02:55.340 --> 00:02:57.340]  但是結果是一事無成
[00:02:57.340 --> 00:02:59.980]  他說的話其實說了就算了
[00:02:59.980 --> 00:03:01.820]  說完就是這樣
[00:03:01.820 --> 00:03:04.540]  所以他被評為一個這樣的人選
[00:03:04.540 --> 00:03:06.420]  但是今天我們在這個聖誕日子
[00:03:06.420 --> 00:03:09.540]  我們要去到我們的主角就是耶穌基督
[00:03:09.540 --> 00:03:13.420]  祂是全世界給這些總統手上
[00:03:13.420 --> 00:03:17.740]  給曼德拉環繞的影響力的一個救主
[00:03:17.740 --> 00:03:22.300]  是對我們生命裏面絕對有影響性的一個神
[00:03:22.300 --> 00:03:25.020]  今天有三點 其實今天講到不會很長
[00:03:25.020 --> 00:03:28.580]  大家可以回去 如果你下午沒甚麼特別的話
[00:03:28.580 --> 00:03:31.380]  你可以很早回去過冬
[00:03:31.380 --> 00:03:34.780]  不過我相信大家會來看鎮禮的
[00:03:34.780 --> 00:03:37.220]  第一點是以賽亞書第九章六節
[00:03:37.220 --> 00:03:41.300]  講到一個很不合理的基督信仰是道成肉身
[00:03:41.300 --> 00:03:43.900]  請大家跟我一起讀出第九章第六節
[00:03:43.900 --> 00:03:45.020]  好 請讀
[00:03:45.020 --> 00:03:48.060]  因有一英孩為我們而生
[00:03:48.060 --> 00:03:50.060]  有一子賜給我們
[00:03:50.060 --> 00:03:53.100]  政權必擔在他的肩頭上
[00:03:53.100 --> 00:03:55.100]  他的名稱為廟
[00:03:55.100 --> 00:03:57.220]  冊是全能的神
[00:03:57.220 --> 00:04:02.100]  永在的父和平的君
[00:04:02.100 --> 00:04:03.540]  這一節的經文
[00:04:03.540 --> 00:04:08.340]  是以賽亞書裏面其中一句很難解釋的一句話
[00:04:08.340 --> 00:04:12.460]  大家都知道以賽亞書是充滿著審判和救恩的訊息
[00:04:12.460 --> 00:04:15.220]  當一個國家陷入一個危機的裏面
[00:04:15.220 --> 00:04:16.500]  最需要的是甚麼呢
[00:04:16.500 --> 00:04:17.820]  是一些軍事的力量
[00:04:17.820 --> 00:04:19.660]  是一些很強大的資源
[00:04:19.660 --> 00:04:24.340]  可能是糧食 或者是一些很大的武裝 很大的軍兵
[00:04:24.340 --> 00:04:26.860]  但是聖經的英許是講到
[00:04:26.860 --> 00:04:29.780]  有一個英孩為他們而生
[00:04:29.780 --> 00:04:32.340]  其實在戰亂裏面最麻煩是生小朋友
[00:04:32.340 --> 00:04:35.820]  無論懷孕或者生了小朋友出來都很難去照顧
[00:04:35.820 --> 00:04:37.660]  但是這個英許卻是很奇特
[00:04:37.660 --> 00:04:40.900]  這個英許好像是講到有一個嬰兒的出生
[00:04:40.900 --> 00:04:42.660]  成為了一個很大的能力
[00:04:42.660 --> 00:04:45.340]  將來的政權擔在他的肩頭上
[00:04:45.340 --> 00:04:46.660]  這個都不奇怪
[00:04:46.660 --> 00:04:49.420]  更加奇怪的是他成為全能的神
[00:04:49.420 --> 00:04:51.420]  永在的父和平的君
[00:04:51.420 --> 00:04:56.140]  這些的形容是一個全能的上帝的一種形容
[00:04:56.140 --> 00:04:59.060]  怎麼會從一個嬰兒又成為一個全能的上帝
[00:04:59.060 --> 00:05:01.300]  究竟這個是在講甚麼呢
[00:05:01.300 --> 00:05:03.620]  是理性完全不能夠通過
[00:05:03.620 --> 00:05:06.300]  今天我們所接受這些信仰的內容
[00:05:06.300 --> 00:05:10.460]  其實經過了幾百年早期歷史很多的辯論很多的討論
[00:05:10.460 --> 00:05:12.820]  有些人被判為異端
[00:05:12.820 --> 00:05:17.020]  有些人甚至可能因為這樣失去他的生命
[00:05:17.020 --> 00:05:19.180]  這個道理一點都不容易明白
[00:05:19.180 --> 00:05:21.340]  並且是不合理
