
[00:00:00.000 --> 00:00:02.040]  在《斯林傳》來到第十章
[00:00:02.040 --> 00:00:03.640]  上一次威威斯姆
[00:00:03.640 --> 00:00:06.080]  有講到一到二十三節
[00:00:06.080 --> 00:00:10.640]  講到神撮合一個愛邦人
[00:00:10.640 --> 00:00:11.920]  一個敬畏神
[00:00:11.920 --> 00:00:13.440]  又洲際窮人
[00:00:13.440 --> 00:00:17.600]  又會每天都禱告的愛邦人
[00:00:17.600 --> 00:00:18.920]  叫做哥尼劉
[00:00:18.920 --> 00:00:21.280]  他是該塞尼亞一個
[00:00:21.280 --> 00:00:26.760]  當時由大省或者現在叫巴勒斯坦地方的行政中心
[00:00:26.760 --> 00:00:28.720]  他是一個白夫長
[00:00:28.720 --> 00:00:31.440]  是個羅馬籍的軍官
[00:00:31.440 --> 00:00:36.600]  他講到他在會堂有敬拜神
[00:00:36.600 --> 00:00:38.480]  雖然他沒有正式進入猶太教
[00:00:38.480 --> 00:00:41.160]  但是他對猶太人的好明星
[00:00:41.160 --> 00:00:43.080]  以及他身邊很多人
[00:00:43.080 --> 00:00:46.920]  是敬奉猶太人所信的耶和華上帝
[00:00:46.920 --> 00:00:48.520]  所以稱為敬乾
[00:00:48.520 --> 00:00:50.200]  一個敬畏神的人
[00:00:50.200 --> 00:00:51.800]  他又樂以洲際窮人
[00:00:51.800 --> 00:00:52.880]  每天禱告
[00:00:52.880 --> 00:00:56.640]  聖經說他的禱告被神所閱納
[00:00:56.640 --> 00:00:59.080]  有天使向他顯現
[00:00:59.080 --> 00:01:02.920]  我們說整個《小行傳》來到第十章和十一章
[00:01:02.920 --> 00:01:04.880]  你留意到有一個很特別的
[00:01:04.880 --> 00:01:09.240]  路加作為作者
[00:01:09.240 --> 00:01:10.600]  在《小行傳》裏面
[00:01:10.600 --> 00:01:16.640]  保羅信主的技術是重覆過兩次三次
[00:01:16.640 --> 00:01:20.240]  哥尼劉信主也重覆過兩三次
[00:01:20.240 --> 00:01:23.400]  重覆是反映重要
[00:01:23.400 --> 00:01:27.680]  就是由猶太人的福音傳到猶太人
[00:01:27.680 --> 00:01:31.560]  如何由猶太人的福音傳到外邦人
[00:01:31.560 --> 00:01:33.840]  都可以得到福音信仰呢?
[00:01:33.840 --> 00:01:36.720]  所以由司提反第七章開始
[00:01:36.720 --> 00:01:40.600]  到第十章和十一章
[00:01:40.600 --> 00:01:43.680]  就是講到福音如何由耶路撒冷
[00:01:43.680 --> 00:01:45.680]  猶太傳遞
[00:01:45.680 --> 00:01:49.240]  而去到一個最關鍵的時刻
[00:01:49.240 --> 00:01:52.000]  就是由外邦人信耶穌
[00:01:52.000 --> 00:01:53.800]  聖靈降臨在他們身上
[00:01:53.800 --> 00:01:59.000]  由猶太人信主
[00:01:59.000 --> 00:02:00.600]  聖靈降臨在他們身上
[00:02:00.600 --> 00:02:01.600]  來到這裏
[00:02:01.600 --> 00:02:04.000]  撒瑪利亞直到地極
[00:02:04.000 --> 00:02:06.320]  原來外邦人都可以得到
[00:02:06.320 --> 00:02:08.520]  一樣聖靈的充滿
