
[00:00:00.000 --> 00:00:07.500]  這世界有些事很令人嚮往和深刻
[00:00:07.500 --> 00:00:14.860]  話說我和我太太十年前多點去紐西蘭旅行
[00:00:14.860 --> 00:00:20.000]  第一站去Queenstown皇后鎮
[00:00:20.000 --> 00:00:24.360]  沒有什麼預期之下就坐飛機
[00:00:24.360 --> 00:00:28.780]  但我一走出機艙就很震撼
[00:00:28.780 --> 00:00:34.200]  原來是先到停機坪的
[00:00:34.200 --> 00:00:38.660]  要在停機坪行去客運大樓
[00:00:38.660 --> 00:00:40.660]  是一個很小的機場
[00:00:40.660 --> 00:00:43.340]  但一路行的時候
[00:00:43.340 --> 00:00:47.800]  周圍包圍的不是高樓大廈
[00:00:47.800 --> 00:00:52.000]  是一個翠綠一高一低一高一低的山
[00:00:52.000 --> 00:00:56.000]  一路包圍著你,270度包圍著你
[00:00:56.000 --> 00:01:01.460]  天空藍藍一片,一塊雲也沒有
[00:01:01.460 --> 00:01:07.260]  一路行的時候覺得好像去了世外桃源一樣
[00:01:07.260 --> 00:01:16.380]  有些人說去旅行有些地方是要特意去的
[00:01:16.380 --> 00:01:20.300]  他們給個名字,叫做朝聖
[00:01:20.300 --> 00:01:23.520]  自稱是朝聖者
[00:01:23.520 --> 00:01:27.540]  你有沒有試過去這些地方呢?
[00:01:27.540 --> 00:01:33.100]  吃壽司,一定要去築地
[00:01:33.100 --> 00:01:38.940]  看音樂劇,一定要去紐約Broadway
[00:01:38.940 --> 00:01:44.680]  拍照,怎麼也要走一趟西藏吧
[00:01:44.680 --> 00:01:49.300]  行山,當然是要去黃山
[00:01:50.480 --> 00:01:54.560]  聽音樂,怎麼也要去維也納
[00:01:54.560 --> 00:02:00.640]  買手袋,當然是意大利米蘭吧
[00:02:00.640 --> 00:02:02.640]  我見到有些人嘴硬硬的
[00:02:02.640 --> 00:02:05.260]  我不知道,只是聽別人這樣說
[00:02:05.260 --> 00:02:09.200]  其實我們基督徒也是一群朝聖者
[00:02:09.200 --> 00:02:13.600]  不過我們的目標不是那些很好吃的東西
[00:02:13.600 --> 00:02:15.600]  很美的景色
[00:02:15.600 --> 00:02:18.980]  或者是很好聽的音樂
[00:02:18.980 --> 00:02:23.700]  而是那位創天造地的永恆主
[00:02:23.700 --> 00:02:27.920]  這位創造天地萬物的永恆主
[00:02:27.920 --> 00:02:29.920]  在耶穌再回來之前
[00:02:29.920 --> 00:02:36.060]  我們仍然繼續追求、認識祂的豐富和偉大
[00:02:36.060 --> 00:02:38.060]  而且在我們的生活裡
[00:02:38.060 --> 00:02:44.500]  具體地去實踐祂所留下給我們的真理和教導
[00:02:44.500 --> 00:02:48.480]  不過就好像有些結婚多年的夫妻這樣說
[00:02:48.480 --> 00:02:53.280]  有時兩夫妻的關係不盡則退
[00:02:53.280 --> 00:02:55.280]  一直來來下下
[00:02:55.280 --> 00:02:57.280]  如果沒有繼續盡心的話
[00:02:57.280 --> 00:02:59.280]  有時也會慢慢慢慢變得疏離
[00:02:59.280 --> 00:03:02.960]  所以今天想和大家去看一個
[00:03:02.960 --> 00:03:04.960]  你應該很熟悉的聖經故事
[00:03:04.960 --> 00:03:09.360]  東方博士的朝聖之旅
[00:03:09.360 --> 00:03:11.360]  透過這個故事
[00:03:11.360 --> 00:03:13.360]  我們再看看
[00:03:13.360 --> 00:03:15.360]  如果我們遇到這樣的情況的時候
[00:03:15.360 --> 00:03:19.340]  我們可以怎樣去突破和神的關係
[00:03:19.340 --> 00:03:25.100]  今天和大家分享的題目叫做「朝聖者之旅」
[00:03:25.100 --> 00:03:30.380]  經文記載在《馬太福音》第二章一到十二節
[00:03:30.380 --> 00:03:34.820]  不如我們先一起讀這十二節的經文吧
[00:03:34.820 --> 00:03:36.320]  還是不好
[00:03:36.320 --> 00:03:37.900]  體認的方式
[00:03:37.900 --> 00:03:39.900]  看看你有沒有睡著覺
[00:03:39.900 --> 00:03:45.420]  今早就弟兄先 姐妹單折弟兄雙折
[00:03:45.420 --> 00:03:48.100]  我們請姐妹先 預備 1 2 3
[00:04:09.900 --> 00:04:18.620]  她就召齊了祭司長和民間的民事
[00:04:18.620 --> 00:04:22.780]  問他們說 基督當生在何處
[00:04:22.780 --> 00:04:31.820]  猶大地的伯利恆啊
[00:04:31.820 --> 00:04:35.820]  你在猶大諸城中並不是最少的
[00:04:35.820 --> 00:04:38.460]  因為將來有一位君王
[00:04:38.460 --> 00:04:40.460]  要從你那裏出來
[00:04:40.460 --> 00:04:42.460]  莫讓我以色列民
[00:04:42.460 --> 00:04:52.460]  就猜他們往伯利恆去說
[00:04:52.460 --> 00:04:56.460]  你們去仔細尋訪那小孩子
[00:04:56.460 --> 00:04:58.460]  尋到了就來報信
[00:04:58.460 --> 00:05:00.460]  我也好去拜他
[00:05:00.460 --> 00:05:18.460]  他們看見那星 就大大地歡喜
[00:05:18.460 --> 00:05:35.460]  博士因為在夢中被指示
[00:05:35.460 --> 00:05:37.460]  不要回去見希律
[00:05:37.460 --> 00:05:42.460]  就從別的路回本地去了
[00:05:42.460 --> 00:05:44.460]  在剛才所讀的經文
[00:05:44.460 --> 00:05:45.460]  你們有沒有留意到
[00:05:45.460 --> 00:05:48.460]  有一個字重複出現
[00:05:48.460 --> 00:05:50.460]  「拜」字
[00:05:50.460 --> 00:05:54.460]  出現在第二節 第八節和第十一節
[00:05:54.460 --> 00:05:57.460]  「拜」或「敬拜」都是這個字
[00:05:57.460 --> 00:06:00.460]  原文有一個向更高的對象
[00:06:00.460 --> 00:06:03.460]  在態度上表達完全的依靠
[00:06:03.460 --> 00:06:06.460]  或是信服的意思
[00:06:06.460 --> 00:06:11.460]  所以「敬拜」不是很狹窄地說
[00:06:11.460 --> 00:06:15.460]  唱詩歌 敬拜 詩歌敬拜 音樂敬拜
[00:06:15.460 --> 00:06:17.460]  而是更廣泛地說到
[00:06:17.460 --> 00:06:20.460]  人對神的回應
[00:06:20.460 --> 00:06:23.460]  今天我們會透過這三個「拜」字
[00:06:23.460 --> 00:06:27.460]  和所劃分出來的這三個段落
[00:06:27.460 --> 00:06:30.460]  去反思一下 去想一想
[00:06:30.460 --> 00:06:36.460]  三種影響我們和神的關係的態度原因
[00:06:36.460 --> 00:06:42.460]  和突破這種態度關係的方法
[00:06:42.460 --> 00:06:45.460]  這三個「拜」字的頭尾兩個
[00:06:45.460 --> 00:06:47.460]  是東方博士的敬拜
[00:06:47.460 --> 00:06:49.460]  正面的 好的
[00:06:49.460 --> 00:06:52.460]  中間的一個是希律的敬拜
[00:06:52.460 --> 00:06:54.460]  負面的 不好的
[00:06:54.460 --> 00:06:56.460]  我們先會看正面的兩點
[00:06:56.460 --> 00:06:58.460]  接著看中間的一點
