
[00:00:00.000 --> 00:00:06.000]  詩篇我有一個大題目叫做《詩詞歌賦國將臨》
[00:00:06.000 --> 00:00:12.000]  你可能沒有機會去聽從前那個因爲是廣東話不是普通話
[00:00:12.000 --> 00:00:16.000]  我們要怎麼樣去明白詩篇
[00:00:16.000 --> 00:00:19.000]  詩篇原來不是普通的詩歌
[00:00:19.000 --> 00:00:22.000]  我們唱着把自己的情感發揮
[00:00:22.000 --> 00:00:23.000]  那就是詩篇
[00:00:23.000 --> 00:00:27.000]  詩篇神學家相信是有一個背景
[00:00:27.000 --> 00:00:30.000]  我們問這150篇詩篇
[00:00:30.000 --> 00:00:34.000]  是在什麼時候在什麼情況歷史背景裏面
[00:00:34.000 --> 00:00:38.000]  被組合起來變成現在我們所擁有的詩篇了
[00:00:38.000 --> 00:00:45.000]  那聖經學家覺得可能最有可能的一個時代就是貝努迴歸之後
[00:00:45.000 --> 00:00:49.000]  貝努迴歸之後以色列人其實還沒有自己的國家
[00:00:49.000 --> 00:00:53.000]  他們還在等待上帝的來臨
[00:00:53.000 --> 00:00:58.000]  他們想哦迴歸了應該就是以色列國再起來
[00:00:58.000 --> 00:00:59.000]  但是還沒有
[00:00:59.000 --> 00:01:02.000]  於是他們在這樣的情況裏面組織
[00:01:02.000 --> 00:01:06.000]  把一些舊的詩歌可能已經有一些是很久很久以前
[00:01:06.000 --> 00:01:10.000]  有一些是大魏你發覺有特別多的大魏的詩歌
[00:01:10.000 --> 00:01:16.000]  爲什麼因爲他們收集這些舊歌來新唱
[00:01:16.000 --> 00:01:22.000]  是爲了期待着大魏的後裔將來來的英許君王
[00:01:22.000 --> 00:01:23.000]  來到他們的當中
[00:01:23.000 --> 00:01:27.000]  所以當你唱詩篇的時候不要以爲詩篇是關於你
[00:01:27.000 --> 00:01:31.000]  其實詩篇不是關於我們也不是關於我們的生活
[00:01:31.000 --> 00:01:35.000]  詩篇在那個時代裏面一面唱的時候
[00:01:35.000 --> 00:01:40.000]  一面在思想可能大魏一面在仰望大魏的後裔
[00:01:40.000 --> 00:01:43.000]  期待那個君王的來臨
[00:01:43.000 --> 00:01:45.000]  詩詞歌賦國降臨
[00:01:45.000 --> 00:01:52.000]  這個歌爲什麼要唱是因爲希望上帝的國來到貝努迴歸的
[00:01:52.000 --> 00:01:54.000]  以色列人的當中
[00:01:54.000 --> 00:02:00.000]  我想用你這樣的一個角度去跟你看詩篇34篇
[00:02:00.000 --> 00:02:03.000]  如果你打開詩篇34篇的時候
[00:02:03.000 --> 00:02:07.000]  你會看見你的中文聖經也好英文聖經也好
[00:02:07.000 --> 00:02:09.000]  他們上面寫了一個事情
[00:02:09.000 --> 00:02:19.000]  他說大魏在壓比米勒前裝瘋被趕出去就做了這個詩篇
[00:02:19.000 --> 00:02:23.000]  詩篇裏面有很多關於大魏的詩
[00:02:23.000 --> 00:02:27.000]  有時候神曲家有在討論到底大魏的詩是大魏寫的呢
[00:02:27.000 --> 00:02:30.000]  還是其他人爲大魏寫的呢
[00:02:30.000 --> 00:02:35.000]  還是隻是用大魏的一些故事作爲一個背景
[00:02:35.000 --> 00:02:36.000]  然後其他人寫
[00:02:36.000 --> 00:02:41.000]  無論如何重要的是當你看這一段詩篇的時候
[00:02:41.000 --> 00:02:44.000]  你要記住背後有一個故事
[00:02:44.000 --> 00:02:53.000]  那故事就是大魏在撒姆爾祭前
[00:02:53.000 --> 00:02:59.000]  撒姆爾祭上21章第10節到第15節那邊
[00:02:59.000 --> 00:03:05.000]  他來到一個地方來到迦特皇雅集那裏
[00:03:05.000 --> 00:03:09.000]  然後在那邊迦特皇雅集是對他很危險的一個人
[00:03:09.000 --> 00:03:13.000]  當時候上帝已經允許大魏會做王
[00:03:13.000 --> 00:03:16.000]  但是他卻是過着逃命的日子
[00:03:16.000 --> 00:03:20.000]  然後不知道自己還有沒有機會做王
[00:03:20.000 --> 00:03:25.000]  逃命的時候他來到迦特皇雅集
[00:03:25.000 --> 00:03:29.000]  我們相信壓比米勒其實是他另外一個名字
[00:03:29.000 --> 00:03:33.000]  然後他結果在雅集的面前裝瘋
[00:03:33.000 --> 00:03:36.000]  於是雅集就把他趕走了
[00:03:36.000 --> 00:03:38.000]  那他就逃過一命
[00:03:38.000 --> 00:03:40.000]  你裝瘋是一回事
[00:03:40.000 --> 00:03:42.000]  人家信不信是另外一回事
[00:03:42.000 --> 00:03:45.000]  但這裏有時候我們現代人會問
[00:03:45.000 --> 00:03:48.000]  這個大魏是不是沒有信心
[00:03:48.000 --> 00:03:51.000]  所以裝瘋他到底這樣是不是騙人等等
[00:03:51.000 --> 00:03:53.000]  有沒有犯上帝的律法
[00:03:53.000 --> 00:03:55.000]  但是我想在舊約的《聖經》
[00:03:55.000 --> 00:03:58.000]  怎麼樣去看大魏這個事情是完全沒問題的
[00:03:58.000 --> 00:04:01.000]  而是他的整個思想是
[00:04:01.000 --> 00:04:04.000]  雖然他裝瘋也不代表他已經能逃
[00:04:04.000 --> 00:04:08.000]  而是上帝真的是保佑了他
[00:04:08.000 --> 00:04:09.000]  保守了他
[00:04:09.000 --> 00:04:10.000]  拯救了他
[00:04:10.000 --> 00:04:14.000]  所以這個詩篇是爲那個場景而寫的
[00:04:14.000 --> 00:04:18.000]  所以當你讀的時候不要把你自己讀進去
[00:04:18.000 --> 00:04:22.000]  而是要記得這個是講大魏的那個時候
[00:04:22.000 --> 00:04:24.000]  第34章第一節這樣說
[00:04:24.000 --> 00:04:27.000]  我要時時稱重耶和華
[00:04:27.000 --> 00:04:30.000]  讚美他的話藏在我口中
[00:04:30.000 --> 00:04:34.000]  我的心必因耶和華誇耀
[00:04:34.000 --> 00:04:38.000]  謙卑的人聽見就喜樂
[00:04:38.000 --> 00:04:41.000]  你們要和我一同尊耶和華爲大
[00:04:41.000 --> 00:04:43.000]  讓我們一同高舉他的名
[00:04:43.000 --> 00:04:47.000]  所以這個不是你把你自己的情感讀進去
[00:04:47.000 --> 00:04:48.000]  然後讚美
[00:04:48.000 --> 00:04:49.000]  你想想你有什麼好讚美
[00:04:49.000 --> 00:04:53.000]  而是這是特地在那個情況裏面
[00:04:53.000 --> 00:04:58.000]  上帝拯救了他的應許的君王
[00:04:58.000 --> 00:05:00.000]  第34章第四節
[00:05:00.000 --> 00:05:02.000]  我曾尋求耶和華
[00:05:02.000 --> 00:05:03.000]  他就應允我
[00:05:03.000 --> 00:05:07.000]  救我脫離一切的恐懼
[00:05:07.000 --> 00:05:09.000]  仰望他的人必有光榮
[00:05:09.000 --> 00:05:13.000]  他們的臉必不蒙羞
[00:05:13.000 --> 00:05:17.000]  這困苦人呼求耶和華救隨聽
[00:05:17.000 --> 00:05:20.000]  救他脫離一切的患難
[00:05:20.000 --> 00:05:22.000]  在這裏他就應允我
[00:05:22.000 --> 00:05:26.000]  我的恐懼我的患難都跟你沒關係的
[00:05:26.000 --> 00:05:28.000]  都跟我沒有關係的
[00:05:28.000 --> 00:05:30.000]  是跟大衛有關係
[00:05:30.000 --> 00:05:34.000]  這個是講到大衛尋求耶和華
[00:05:34.000 --> 00:05:36.000]  他有恐懼他有患難
[00:05:36.000 --> 00:05:40.000]  因爲他在壓疾的面前他懼怕
[00:05:40.000 --> 00:05:42.000]  然後上帝拯救了他
[00:05:42.000 --> 00:05:46.000]  不關你事不要把自己讀進去
[00:05:46.000 --> 00:05:48.000]  第34章第七節
[00:05:48.000 --> 00:05:50.000]  耶和華的逝者
[00:05:50.000 --> 00:05:52.000]  逝者是天使吧
[00:05:52.000 --> 00:05:56.000]  在敬畏他的人周圍安寧
[00:05:56.000 --> 00:05:58.000]  要答救他們
[00:05:58.000 --> 00:06:01.000]  你們要嚐嚐主恩的滋味
[00:06:01.000 --> 00:06:03.000]  便知道他是美善
[00:06:03.000 --> 00:06:05.000]  投靠他的人有福了
[00:06:05.000 --> 00:06:08.000]  這裏講到第七節第八節是
[00:06:08.000 --> 00:06:10.000]  大衛好像把自己的經驗
[00:06:10.000 --> 00:06:13.000]  然後引伸了到聽衆的聲音
[00:06:13.000 --> 00:06:14.000]  叫我們知道
[00:06:14.000 --> 00:06:17.000]  其實正如上帝答救他
[00:06:17.000 --> 00:06:20.000]  上帝也一定會答救我們
[00:06:20.000 --> 00:06:24.000]  然後鼓勵我們要嚐嚐主恩的滋味
[00:06:24.000 --> 00:06:27.000]  便知道他是美善
[00:06:27.000 --> 00:06:30.000]  投靠他的人有福了
[00:06:30.000 --> 00:06:31.000]  那你說好啊
[00:06:31.000 --> 00:06:34.000]  那我下一次我有什麼經歷的上帝
[00:06:34.000 --> 00:06:36.000]  我也可以好像大衛這樣
[00:06:36.000 --> 00:06:39.000]  去讚美禱告
[00:06:39.000 --> 00:06:40.000]  是不是呢
[00:06:40.000 --> 00:06:41.000]  再想一想
[00:06:41.000 --> 00:06:42.000]  那我想你知道
[00:06:42.000 --> 00:06:43.000]  我不知道你知不知道
[00:06:43.000 --> 00:06:45.000]  如果你很熟心悅聖經的時候
[00:06:45.000 --> 00:06:47.000]  你知道第34章第八節
[00:06:47.000 --> 00:06:50.000]  其實是在新約聖經裏面有引用
[00:06:50.000 --> 00:06:52.000]  引用的是彼得
[00:06:52.000 --> 00:06:54.000]  其實彼得不單止引用這一節
[00:06:54.000 --> 00:06:56.000]  後面有四五節
