
[00:00:00.000 --> 00:00:03.200]  大家好,今天很高興來到大家中間
[00:00:03.200 --> 00:00:05.700]  今天跟大家分享的講題是
[00:00:05.700 --> 00:00:09.200]  誰偷走了神的榮耀
[00:00:09.200 --> 00:00:13.000]  其實這段經文是用了很多
[00:00:13.000 --> 00:00:17.600]  我們平時中文,特別廣東話是很少用的字
[00:00:17.600 --> 00:00:20.800]  最基本我們今天說我們要明白神的榮耀
[00:00:20.800 --> 00:00:23.000]  其實榮耀是一個我們很少用的字
[00:00:23.000 --> 00:00:26.200]  除了我以我兒子為榮,我媽為榮之外
[00:00:26.200 --> 00:00:28.600]  其實中國人很少說以什麼為榮
[00:00:28.900 --> 00:00:33.000]  就是榮辱文化裡面,中國人是說很多辱的
[00:00:33.000 --> 00:00:34.600]  不是說很多榮
[00:00:34.600 --> 00:00:39.400]  所以對於我們來講,明白榮耀是一個不容易的課題
[00:00:39.400 --> 00:00:45.200]  與此同時,羅馬書這裡一章的十八至二十五節裡面
[00:00:45.200 --> 00:00:53.000]  一章的十八至二十五節裡面
[00:00:53.000 --> 00:00:58.400]  它指出了很多很特別的當時社會現象
[00:00:58.400 --> 00:01:00.700]  以及它用一些很強硬的手法講出來的
[00:01:00.700 --> 00:01:04.200]  它說那幫人虛妄、愚昧
[00:01:04.200 --> 00:01:05.800]  我們有時候作為一個中國人
[00:01:05.800 --> 00:01:07.800]  看是否要去到那麼盡講話
[00:01:07.800 --> 00:01:10.400]  不明白神的榮耀,那幫人犯罪
[00:01:10.400 --> 00:01:12.200]  它用的字是很硬的
[00:01:12.200 --> 00:01:14.600]  而它指出了羅馬書一
[00:01:14.600 --> 00:01:18.200]  就是指羅馬社會的一些現象
[00:01:18.200 --> 00:01:20.800]  其中的三個現象
[00:01:20.800 --> 00:01:23.700]  第一個現象就是有很多人是視而不見的
[00:01:23.700 --> 00:01:25.200]  其實他們知道的
[00:01:25.200 --> 00:01:29.000]  其實羅馬人是一個非常有知識的群體
[00:01:29.000 --> 00:01:30.300]  其實他們沒有什麼不知道的
[00:01:30.300 --> 00:01:34.200]  所以與香港今天這個現象都很相似
[00:01:34.200 --> 00:01:35.600]  人能夠知道的
[00:01:35.600 --> 00:01:37.800]  在他們裡面是明顯的
[00:01:37.800 --> 00:01:40.000]  卻沒有人理會
[00:01:40.000 --> 00:01:46.700]  甚至會講到那些人以不公以壓制真理
[00:01:46.700 --> 00:01:50.100]  這個就是當時社會的困境
