
[00:00:00.000 --> 00:00:01.880]  我今天講到的題目
[00:00:01.880 --> 00:00:05.140]  其實這個題目想得不是太好
[00:00:05.140 --> 00:00:07.080]  不過也勉勉強強
[00:00:07.080 --> 00:00:09.080]  一會兒講下去或者大家也會明白
[00:00:09.080 --> 00:00:11.620]  叫《天地良心》
[00:00:11.620 --> 00:00:15.820]  用的經文是詩篇第十九篇來的
[00:00:15.820 --> 00:00:20.300]  詩篇第十九篇是一篇大家都很熟悉的詩篇
[00:00:20.300 --> 00:00:22.300]  應該也不陌生的
[00:00:22.300 --> 00:00:26.640]  請大家都翻開聖經
[00:00:26.640 --> 00:00:28.880]  我希望你們盡量翻開聖經
[00:00:28.880 --> 00:00:30.880]  因為很想你們知道
[00:00:30.880 --> 00:00:33.360]  這篇這麼特別的詩篇
[00:00:33.360 --> 00:00:35.360]  在聖經裡面哪一個位置
[00:00:35.360 --> 00:00:37.360]  你自己掀開
[00:00:37.360 --> 00:00:39.360]  掀開過的時候有印象
[00:00:39.360 --> 00:00:43.200]  你將來再回去又掀開自己的聖經
[00:00:43.200 --> 00:00:45.860]  知道這篇詩篇第十九篇在哪裏
[00:00:45.860 --> 00:00:47.860]  你讀多幾次
[00:00:47.860 --> 00:00:50.560]  讀多一百次一千次也不會多
[00:00:50.560 --> 00:00:52.560]  這篇詩篇很特別
[00:00:52.560 --> 00:00:59.960]  大家有沒有聽過或者認識一個中文翻譯叫魯益思
[00:00:59.960 --> 00:01:01.960]  英文叫C.S. Lewis
[00:01:01.960 --> 00:01:03.960]  也聽過
[00:01:03.960 --> 00:01:05.960]  前很多年的時候
[00:01:05.960 --> 00:01:08.880]  他也有一套很出名的作品
[00:01:08.880 --> 00:01:13.620]  被人翻譯和拍了電影
[00:01:13.620 --> 00:01:16.720]  名字說出來大家可能有些印象
[00:01:16.720 --> 00:01:19.760]  叫《獅子女巫魔醫處》
[00:01:19.760 --> 00:01:22.760]  就好像神話故事一樣
[00:01:22.760 --> 00:01:28.080]  其實他裡面將一些福音的聖經信息放在裡面
[00:01:28.080 --> 00:01:34.080]  用一些卡通漫畫的形式來表達出來
[00:01:34.080 --> 00:01:36.080]  要明白的人就會明白
[00:01:36.080 --> 00:01:38.080]  如果不明白的人就當戲來看
[00:01:38.080 --> 00:01:41.700]  希望能夠將信息打進他們的裡面
[00:01:41.700 --> 00:01:44.840]  魯益思已經去世很久了
[00:01:44.840 --> 00:01:50.840]  他是1898年出生1963年已經離世
[00:01:50.840 --> 00:01:55.020]  他很出名的原因也是因為他是一個學者
[00:01:55.020 --> 00:01:58.560]  他以前在劍橋大學
[00:01:58.560 --> 00:02:03.480]  中古及文藝復興時代的文學
[00:02:03.480 --> 00:02:06.040]  大家知道這個人很厲害
[00:02:06.040 --> 00:02:11.520]  有這麼多古文、歷史、文學
[00:02:11.520 --> 00:02:13.520]  他是教授
[00:02:13.520 --> 00:02:21.780]  也是英國的詩詞偉大的評賞家
[00:02:21.780 --> 00:02:26.440]  就好像現在我們看的影評家、食評家
[00:02:26.440 --> 00:02:31.520]  他在這方面很有獨特的意見
[00:02:31.520 --> 00:02:34.960]  有時候將你心裡面的話你不懂得說出來
[00:02:34.960 --> 00:02:38.360]  他幫你講出來你就明白了
[00:02:38.360 --> 00:02:42.440]  他對這篇詩篇有一句評語
[00:02:42.440 --> 00:02:47.480]  他說這篇詩篇是詩篇中最偉大的詩
[00:02:47.480 --> 00:02:50.920]  是詩篇裡面最偉大的詩
[00:02:50.920 --> 00:02:55.240]  也是世間最偉大的書情詩之一
[00:02:55.240 --> 00:02:57.240]  這是他的意見
[00:02:57.240 --> 00:02:59.240]  是不是這麼偉大呢?
[00:02:59.240 --> 00:03:00.560]  為什麼這麼偉大呢?
[00:03:00.560 --> 00:03:03.560]  我們讀了很多次有沒有讀到這麼偉大呢?
[00:03:03.560 --> 00:03:06.560]  有沒有感覺到很偉大呢?
[00:03:06.560 --> 00:03:14.000]  也有一點點的,我們可能沒有老鷹師這麼厲害感覺到最偉大
[00:03:14.000 --> 00:03:16.000]  但也感覺到很偉大的
[00:03:16.000 --> 00:03:18.000]  特別是頭兩句都很偉大
[00:03:18.000 --> 00:03:22.000]  我們再看下去的時候希望能夠透徹地去看一看
[00:03:22.000 --> 00:03:25.160]  能夠看出他有多偉大
[00:03:25.160 --> 00:03:29.400]  開頭那兩句是我們很熟很熟
[00:03:29.400 --> 00:03:33.720]  如果很熟這兩句懂得背都挺好的
[00:03:33.720 --> 00:03:35.720]  因為都是一個真理
[00:03:35.720 --> 00:03:40.040]  朱棣應述說神的榮耀,窮倉全若他的手段
[00:03:40.040 --> 00:03:44.040]  我們有些詩歌都是用這篇詩篇
[00:03:44.040 --> 00:03:47.320]  用這個方向去讚美我們的神
[00:03:47.320 --> 00:03:52.600]  我們去看宇宙窮倉的時候
[00:03:52.600 --> 00:03:54.200]  舉頭望著天
[00:03:54.200 --> 00:03:59.400]  都其實誠誠實實地都感覺到真的很偉大
[00:03:59.400 --> 00:04:04.200]  只是這個四季循環
[00:04:04.200 --> 00:04:06.720]  我們在香港這個地方
[00:04:06.720 --> 00:04:10.520]  特別在四季都很明顯我們可以感受到
[00:04:10.520 --> 00:04:13.520]  春天又潮濕夏天又熱
[00:04:13.520 --> 00:04:14.720]  這幾天熱不熱?
[00:04:14.720 --> 00:04:17.880]  熱到很厲害,今年好像特別熱
[00:04:17.880 --> 00:04:21.880]  不知為何我搬了屋那邊比較熱,真的感覺到特別熱
[00:04:21.880 --> 00:04:25.280]  秋天的時候又很涼
[00:04:25.280 --> 00:04:29.280]  加了一件衣服又不行,冬天又很冷
[00:04:29.280 --> 00:04:33.280]  最近冬天香港的季節又冷得不是很多天
[00:04:33.280 --> 00:04:35.280]  我不是太怕冷的人
[00:04:35.280 --> 00:04:39.280]  那些很抵冷的衣服都未必有機會穿
[00:04:39.280 --> 00:04:42.280]  真的冷過一兩天就拿來穿一下
[00:04:42.280 --> 00:04:47.280]  四季不斷循環,其實你看又真的很特別
[00:04:47.280 --> 00:04:49.280]  很奇妙很偉大
[00:04:49.280 --> 00:04:53.280]  這真是神創造,我們現今的科學知識告訴我們
[00:04:53.280 --> 00:04:58.280]  這些四季原來是星球轉來轉去
[00:04:58.280 --> 00:05:04.280]  你如果用科學去凌駕真理
[00:05:04.280 --> 00:05:07.280]  四季不特別,只是星球轉來轉去
[00:05:07.280 --> 00:05:09.280]  你可以這樣想,不過你再想想
[00:05:09.280 --> 00:05:11.280]  為何星球轉來轉去
[00:05:11.280 --> 00:05:15.280]  科學家講了萬有引力
[00:05:15.280 --> 00:05:17.280]  吸住它就自己轉
[00:05:17.280 --> 00:05:20.280]  為何會有這些萬有引力存在
[00:05:20.280 --> 00:05:23.280]  其實你一層一層思想下去
[00:05:23.280 --> 00:05:28.280]  你就得到一個結論,就是很偉大
[00:05:28.280 --> 00:05:30.280]  在後面有一個創造主
[00:05:30.280 --> 00:05:33.280]  將這一切變成現在這樣
[00:05:33.280 --> 00:05:36.280]  還有在我們人生的時空
[00:05:36.280 --> 00:05:39.280]  我們都活了幾十年,在這裏再壯沒人活過一百歲
[00:05:39.280 --> 00:05:45.280]  原來看歷史,以往幾千年都是這樣
[00:05:45.280 --> 00:05:51.280]  幾千年這個宇宙地球都是這樣運轉
[00:05:51.280 --> 00:05:53.280]  科學家告訴我們
[00:05:53.280 --> 00:05:56.280]  這個地球如果離開太陽
[00:05:56.280 --> 00:05:58.280]  遠一點就凍死了
[00:05:58.280 --> 00:06:01.280]  近一點就燒焦了
[00:06:01.280 --> 00:06:03.280]  剛好轉了幾千年
[00:06:03.280 --> 00:06:05.280]  就講有歷史這幾千年
[00:06:05.280 --> 00:06:08.280]  都不會遠一點,不會近一點
[00:06:08.280 --> 00:06:10.280]  你不感謝神
[00:06:10.280 --> 00:06:12.280]  你思想下去的時候
[00:06:12.280 --> 00:06:14.280]  你不可能不是一個結論
[00:06:14.280 --> 00:06:17.280]  就是背後有一個很偉大很偉大的
[00:06:17.280 --> 00:06:19.280]  我們稱呼為神
[00:06:19.280 --> 00:06:21.280]  來負責這一切
[00:06:21.280 --> 00:06:23.280]  所以諸天術說神的榮耀
[00:06:23.280 --> 00:06:25.280]  窮滄全是他的手段
[00:06:25.280 --> 00:06:27.280]  只是這兩句都已經很震撼
[00:06:27.280 --> 00:06:29.280]  我們今天集中想看
[00:06:29.280 --> 00:06:31.280]  就是看黃色那些
[00:06:31.280 --> 00:06:33.280]  術說
[00:06:33.280 --> 00:06:35.280]  諸天術說
[00:06:35.280 --> 00:06:37.280]  我們平時人講話
[00:06:37.280 --> 00:06:39.280]  我們就叫術說
[00:06:39.280 --> 00:06:42.280]  所以其實人的文筆很有限
[00:06:42.280 --> 00:06:44.280]  諸天怎樣都術說
[00:06:44.280 --> 00:06:46.280]  都沒有聽到他講話
[00:06:46.280 --> 00:06:50.280]  我們知道上到太空聽不到聲音
[00:06:50.280 --> 00:06:53.280]  因為聲音是靠聲波傳入我們的耳朵
[00:06:53.280 --> 00:06:56.280]  才聽到有聲音
[00:06:56.280 --> 00:06:58.280]  在我們的定義裡面
[00:06:58.280 --> 00:07:03.280]  就是說我們的耳朵聽到的頻率
[00:07:03.280 --> 00:07:05.280]  叫做聲音
[00:07:05.280 --> 00:07:07.280]  其實我們聽到的聲音
[00:07:07.280 --> 00:07:09.280]  是很窄的一個範圍
[00:07:09.280 --> 00:07:11.280]  我們唱歌的都知道
