
[00:00:00.000 --> 00:00:04.460]  今天我們的題目是「我是道路,真理,生命」
[00:00:04.460 --> 00:00:09.800]  在耶穌基督在右方裡面說了七次「我是」裡面的第六次說的
[00:00:09.800 --> 00:00:11.800]  我希望透過今天的講道
[00:00:11.800 --> 00:00:15.660]  和弟兄姊妹重思我們所領受的救恩
[00:00:15.660 --> 00:00:18.060]  耶穌基督所成就的救贖
[00:00:18.060 --> 00:00:21.320]  並且讓我們因此更深入的認識主
[00:00:21.320 --> 00:00:23.020]  在我們每天的生活裡面
[00:00:23.020 --> 00:00:27.420]  靠祂能夠有贖天的盼望和力量
[00:00:27.420 --> 00:00:33.680]  讓我們一起先在神面前有禱告
[00:00:33.680 --> 00:00:36.180]  上主當我們來到祢面前聚集
[00:00:36.180 --> 00:00:38.280]  我們知道祢按照祢的經緒
[00:00:38.280 --> 00:00:40.280]  祢與我們同在
[00:00:40.280 --> 00:00:44.080]  願祢這聖靈在我們心靈當中教導我們
[00:00:44.080 --> 00:00:45.480]  提醒我們
[00:00:45.480 --> 00:00:47.680]  讓我們有受教的耳朵
[00:00:47.680 --> 00:00:50.080]  能夠聆聽祢的教導
[00:00:50.080 --> 00:00:51.820]  讓我們有智慧
[00:00:51.820 --> 00:00:53.580]  能夠明白真理
[00:00:53.580 --> 00:00:57.220]  並且每天生活當中與祢同行
[00:00:57.220 --> 00:00:59.780]  我們在此也紀念我們姐妹堂
[00:00:59.780 --> 00:01:02.780]  無論是博康或是將軍澳
[00:01:02.780 --> 00:01:04.920]  願祢也紀念他們的需要
[00:01:04.920 --> 00:01:06.180]  奉耶穌基督名禱
[00:01:06.180 --> 00:01:07.180]  阿們
[00:01:07.180 --> 00:01:12.580]  耶穌說「我是道路真理生命」
[00:01:12.580 --> 00:01:15.680]  這句金句是很多人都很熟悉的
[00:01:15.680 --> 00:01:18.520]  甚至很多未信主的人都熟悉
[00:01:18.520 --> 00:01:21.480]  我們也見過在街邊的大廈裡面
[00:01:21.480 --> 00:01:26.080]  有些招牌寫著「我是道路真理生命」
[00:01:26.080 --> 00:01:28.880]  很多基督徒都懂得背誦這句金句
[00:01:28.880 --> 00:01:29.880]  如果你還未懂的話
[00:01:29.880 --> 00:01:31.480]  我也鼓勵你背誦它
[00:01:31.480 --> 00:01:32.480]  不是很難的
[00:01:32.480 --> 00:01:35.480]  你只要用幾秒鐘就懂得背誦了
[00:01:35.480 --> 00:01:37.180]  在很多基督教的藝術品裡面
[00:01:37.180 --> 00:01:39.580]  我們見到這句金句
[00:01:39.580 --> 00:01:41.380]  甚至可能在家裡面
[00:01:41.380 --> 00:01:43.680]  牆上掛著的其中一個牌子
[00:01:43.680 --> 00:01:47.580]  寫著「我是道路真理生命」
[00:01:47.580 --> 00:01:50.580]  在很多西方教堂的壁畫上
[00:01:50.580 --> 00:01:53.480]  我們同樣見到以拉丁文寫著的
[00:01:53.480 --> 00:01:56.780]  「我是道路真理生命」
[00:01:56.780 --> 00:01:59.280]  這句金句除了在基督書院的校訓
[00:01:59.280 --> 00:02:02.280]  同樣也有很多天主教學校的校訓
[00:02:02.280 --> 00:02:03.480]  甚至在大學
[00:02:03.480 --> 00:02:05.080]  譬如像著名的蘇格蘭的
[00:02:05.080 --> 00:02:07.780]  格拉斯哥大學的校訓
[00:02:07.780 --> 00:02:10.180]  由此可見這句金句是多麼重要
[00:02:10.180 --> 00:02:12.880]  是多麼多人熟悉呢
[00:02:12.880 --> 00:02:15.080]  不過我們熟悉這句金句
[00:02:15.080 --> 00:02:16.380]  但究竟這句金句
[00:02:16.380 --> 00:02:19.380]  發生的背景是什麼呢?
[00:02:19.380 --> 00:02:20.180]  在《讓風》裡面
[00:02:20.180 --> 00:02:22.680]  由十三章一直到十八章裡面
[00:02:22.680 --> 00:02:25.680]  我們見到耶穌基督在魚子的晚餐裡面
[00:02:25.680 --> 00:02:27.380]  臨頂十字架之前
[00:02:27.380 --> 00:02:30.080]  祂跟門徒說了很多話
[00:02:30.080 --> 00:02:32.380]  當時耶穌說的
[00:02:32.380 --> 00:02:34.380]  「我是道路真理生命」
[00:02:34.380 --> 00:02:36.280]  正正就是在這段時間
[00:02:36.280 --> 00:02:38.480]  在受難的背景裡面
[00:02:38.480 --> 00:02:40.080]  耶穌所說的
[00:02:40.080 --> 00:02:42.480]  當時耶穌在魚子的晚餐裡面
[00:02:42.480 --> 00:02:45.280]  祂親自設立了聖餐
[00:02:45.280 --> 00:02:46.680]  在那時刻裡面
[00:02:46.680 --> 00:02:49.280]  耶穌基督的心情是相當凝重
[00:02:49.280 --> 00:02:52.680]  因為我們見到跟從了祂三年之久的門徒
[00:02:52.680 --> 00:02:54.880]  在那一刻仍然不明白
[00:02:54.880 --> 00:02:58.480]  他們的主將要釘十字架的事
[00:02:58.480 --> 00:02:59.580]  在那一刻裡面
[00:02:59.580 --> 00:03:02.680]  他們仍然間來到彼此爭議
[00:03:02.680 --> 00:03:07.080]  他們爭議哪一個才是偉大呢?
[00:03:07.080 --> 00:03:10.080]  面對著將要釘十字架的路
[00:03:10.080 --> 00:03:12.480]  面對著這群跟從了祂三年之久
[00:03:12.480 --> 00:03:15.280]  和祂有緊密關係的門徒
[00:03:15.280 --> 00:03:18.880]  面對著這群每天都聽祂教訓的門徒
[00:03:18.880 --> 00:03:19.880]  在這一刻
[00:03:19.880 --> 00:03:21.080]  他們看到的是
[00:03:21.080 --> 00:03:24.080]  這些門徒仍然不明白主的心
[00:03:24.080 --> 00:03:25.680]  於是主耶穌基督
[00:03:25.680 --> 00:03:28.480]  就為門徒上了最寶貴的一課
[00:03:28.480 --> 00:03:31.480]  祂親自來為門徒洗腳
[00:03:31.480 --> 00:03:32.880]  讓門徒
[00:03:32.880 --> 00:03:34.480]  讓每一個跟從的人
[00:03:34.480 --> 00:03:36.280]  讓我們明白
[00:03:36.280 --> 00:03:40.480]  耶穌基督教我們要學習謙卑的服事
[00:03:40.480 --> 00:03:42.680]  在十三章二十一節那裡
[00:03:42.680 --> 00:03:43.680]  耶穌基督
[00:03:43.680 --> 00:03:44.480]  聖經就說到
[00:03:44.480 --> 00:03:45.480]  耶穌基督說
[00:03:45.480 --> 00:03:48.080]  我心裡面憂愁
[00:03:48.080 --> 00:03:49.880]  為什麼主要憂愁呢?
[00:03:49.880 --> 00:03:52.280]  除了因為看到他的門徒不明白
[00:03:52.280 --> 00:03:55.280]  主要走的這條釘十字架的路之外
[00:03:55.280 --> 00:03:57.080]  他心裡面更加記掛
[00:03:57.080 --> 00:03:59.280]  那位將要出賣他的門徒
[00:03:59.280 --> 00:04:00.680]  加勒養猶大
[00:04:00.680 --> 00:04:02.680]  他很想挽回他
[00:04:02.680 --> 00:04:06.480]  重新讓這位門徒跟從
[00:04:06.480 --> 00:04:08.880]  於是耶穌基督就明明地說
[00:04:08.880 --> 00:04:12.480]  在你們中間有一個人要賣我
[00:04:12.480 --> 00:04:14.280]  耶穌基督的明示
[00:04:14.280 --> 00:04:16.680]  是希望挽回這位門徒
[00:04:16.680 --> 00:04:19.080]  只是聖經讓我們看見當時的門徒
[00:04:19.080 --> 00:04:23.680]  根本不明白耶穌基督說這番話的意思
[00:04:23.680 --> 00:04:24.880]  由此可見
[00:04:24.880 --> 00:04:27.080]  當時主耶穌基督所面對的
[00:04:27.080 --> 00:04:29.680]  是一群心靈遲鈍的門徒
[00:04:29.680 --> 00:04:32.680]  所以他心裡面是多麼的難過
[00:04:32.680 --> 00:04:35.680]  於是耶穌基督更加明白地表示
[00:04:35.680 --> 00:04:37.880]  他說我要贊一點餅給誰
[00:04:37.880 --> 00:04:39.480]  誰就是
[00:04:39.480 --> 00:04:41.280]  然後耶穌就贊了一點餅
[00:04:41.280 --> 00:04:44.280]  遞給加勒養猶大
[00:04:44.280 --> 00:04:45.480]  聖經就說
[00:04:45.480 --> 00:04:48.280]  猶大於是吃了一點餅之後
[00:04:48.280 --> 00:04:50.480]  他就出去要辦他的事
[00:04:50.480 --> 00:04:51.480]  到那一刻
[00:04:51.480 --> 00:04:54.480]  猶大的心並沒有回轉
[00:04:54.480 --> 00:04:56.680]  接著在聖經裡面就記述
[00:04:56.680 --> 00:04:58.880]  主耶穌基督的心裡面很難過
[00:04:58.880 --> 00:05:00.680]  他向門徒清楚地表達
[00:05:00.680 --> 00:05:02.480]  他將要離去
[00:05:02.480 --> 00:05:05.280]  但是這些門徒仍然是懵然不知
[00:05:05.280 --> 00:05:07.880]  於是耶穌就頒佈了這條新的命令
[00:05:07.880 --> 00:05:10.080]  告訴門徒
[00:05:10.080 --> 00:05:12.280]  祂說你們要彼此相愛
[00:05:12.280 --> 00:05:14.480]  你們怎樣有彼此相愛的心
[00:05:14.480 --> 00:05:16.080]  眾人就能夠認出
[00:05:16.080 --> 00:05:18.480]  你們是我的門徒
[00:05:18.480 --> 00:05:20.680]  只是這群門徒仍然懵然不知
[00:05:20.680 --> 00:05:23.280]  不太明白耶穌基督告訴他們
[00:05:23.280 --> 00:05:25.080]  耶穌基督將要離去
[00:05:25.080 --> 00:05:27.480]  將要去另一個地方的意思
[00:05:27.480 --> 00:05:29.480]  所以西門彼得就對耶穌說
[00:05:29.480 --> 00:05:31.080]  主啊!你要去哪裡?
[00:05:31.080 --> 00:05:31.880]  你要去哪裡?
[00:05:31.880 --> 00:05:33.280]  為什麼我們不可以跟著你?
[00:05:33.280 --> 00:05:34.280]  就算你要死
[00:05:34.280 --> 00:05:37.680]  我們也願意為你死命的
[00:05:37.680 --> 00:05:38.680]  在這一刻裡面
[00:05:38.680 --> 00:05:40.480]  耶穌只能夠明白地告訴門徒
[00:05:40.480 --> 00:05:42.280]  告訴彼得知道
[00:05:42.280 --> 00:05:44.680]  他將要三次的不認主
[00:05:44.680 --> 00:05:47.880]  之後耶穌就說了這番離別的說話
[00:05:47.880 --> 00:05:51.280]  而這句「我是道路真理生命」
[00:05:51.280 --> 00:05:53.280]  正正就是在這番離別的說話裡面
[00:05:53.280 --> 00:05:54.880]  耶穌所說的
[00:05:54.880 --> 00:05:57.880]  在說了這番離別的兵靈之後
[00:05:57.880 --> 00:06:00.280]  耶穌基督就為門徒禱告
[00:06:00.280 --> 00:06:02.480]  這個就是《約翰福音》十七章一到八節裡面
[00:06:02.480 --> 00:06:05.080]  著名的「大祭司禱文」
[00:06:05.080 --> 00:06:07.080]  然後耶穌基督就去到
[00:06:07.080 --> 00:06:08.680]  「赫西馬尼園」那裡
[00:06:08.680 --> 00:06:10.280]  在那裡被捕
[00:06:10.280 --> 00:06:11.680]  然後受審
