
[00:00:00.000 --> 00:00:03.500]  究竟為什麼我們要說到復興呢?
[00:00:03.500 --> 00:00:06.200]  我們為什麼要說到要用禱告呢?
[00:00:06.200 --> 00:00:07.840]  究竟禱告是什麼呢?
[00:00:07.840 --> 00:00:09.980]  我等大家看你的大綱
[00:00:09.980 --> 00:00:14.100]  禱告就是神人之間的直接對話
[00:00:14.100 --> 00:00:15.700]  如果我們說到復興的時候
[00:00:15.700 --> 00:00:16.740]  復興什麼呢?
[00:00:16.740 --> 00:00:19.100]  就是上帝去復興我們的生命
[00:00:19.100 --> 00:00:21.120]  那當然是祂要跟我們說話
[00:00:21.120 --> 00:00:24.200]  所以透過禱告是神人之間的說話
[00:00:24.200 --> 00:00:28.040]  《巴黎聖經》裡面耶穌說過一個很奇怪的一句話
[00:00:28.040 --> 00:00:29.120]  關於祈禱的
[00:00:29.120 --> 00:00:30.140]  我寫了出來
[00:00:30.140 --> 00:00:31.440]  我想大家跟我一起讀
[00:00:31.440 --> 00:00:33.940]  就是《馬太福音》六章第六節
[00:00:33.940 --> 00:00:34.800]  請大家一起讀
[00:00:34.800 --> 00:00:36.740]  你禱告的時候
[00:00:36.740 --> 00:00:38.400]  要進你的內屋
[00:00:38.400 --> 00:00:39.520]  關上門
[00:00:39.520 --> 00:00:41.920]  禱告在你暗中的乎
[00:00:41.920 --> 00:00:43.920]  你乎在暗中察看
[00:00:43.920 --> 00:00:45.520]  必然報答你
[00:00:45.520 --> 00:00:47.840]  《馬太福音》六章六節
[00:00:47.840 --> 00:00:49.880]  耶穌說祈禱的時候
[00:00:49.880 --> 00:00:51.160]  你要進去屋裡面
[00:00:51.160 --> 00:00:52.240]  進去內屋
[00:00:52.240 --> 00:00:54.360]  關上門
[00:00:54.360 --> 00:00:56.440]  然後禱告
[00:00:56.440 --> 00:00:58.200]  首先我們要明白
[00:00:58.200 --> 00:01:00.340]  耶穌的意思不是說
[00:01:00.340 --> 00:01:01.480]  祈禱
[00:01:01.480 --> 00:01:02.660]  真的好的祈禱
[00:01:02.660 --> 00:01:04.520]  都要自己一個關上門
