
[00:00:00.000 --> 00:00:03.400]  今日想同你哋分享一首好熟悉嘅詩篇
[00:00:03.400 --> 00:00:05.260]  我相信好多人都好熟㗎喇
[00:00:05.260 --> 00:00:07.260]  係詩篇第127篇
[00:00:07.260 --> 00:00:09.280]  呢篇詩篇嘅內容基本上
[00:00:09.280 --> 00:00:11.960]  聲音學者都會覺得係一篇去教我哋點樣
[00:00:11.960 --> 00:00:16.600]  喺呢個世界上面建工立業同埋建立家庭嘅一篇詩篇嚟㗎
[00:00:16.600 --> 00:00:21.400]  咁同埋當中裏面有第一節係好繪直人口㗎
[00:00:21.400 --> 00:00:24.000]  所以你哋應該都熟識嘅
[00:00:24.000 --> 00:00:27.640]  既然喺世界上面建工立業建立家庭
[00:00:27.640 --> 00:00:33.120]  係我哋人生一個不可或缺亦都係差唔多最重要嘅篇章嘅時候
[00:00:33.120 --> 00:00:38.160]  咁就容許我哋喺呢篇詩篇裏面尋求大令同埋神嘅幫助
[00:00:38.160 --> 00:00:40.400]  我哋知道點樣我哋行事
[00:00:40.400 --> 00:00:45.320]  詩篇第127篇其實係15篇上行之詩其中之一
[00:00:45.320 --> 00:00:49.840]  我曾經探討過上行之詩另一篇係121篇
[00:00:49.840 --> 00:00:53.680]  講到整個上行之詩嘅背景好可能係
[00:00:53.680 --> 00:00:56.280]  以色列人喺秘魯到巴比倫之後
[00:00:56.280 --> 00:00:59.200]  又被釋放回歸到耶路撒冷嘅途中裏面
[00:00:59.200 --> 00:01:02.840]  用嚟鼓勵同埋勸勉自己嘅試過嚟嘅
[00:01:02.840 --> 00:01:04.920]  咁如果用返呢個背景嘅時候
[00:01:04.920 --> 00:01:07.880]  咁127篇嘅背景就好可能係
[00:01:07.880 --> 00:01:11.840]  佢描述到以色列人當佢再一次返到耶路撒冷之後
[00:01:11.840 --> 00:01:14.520]  要重建自己嘅家園嘅時候
[00:01:14.520 --> 00:01:16.200]  建工立業嘅時候
