
[00:00:00.000 --> 00:00:02.000]  各位大英姊妹早晨
[00:00:02.000 --> 00:00:05.000]  各位在家的大英姊妹早晨
[00:00:05.000 --> 00:00:08.000]  或者可能身處海外的大英姊妹
[00:00:08.000 --> 00:00:10.000]  究竟是晚安還是早晨呢
[00:00:10.000 --> 00:00:11.000]  都可能都是一樣的
[00:00:11.000 --> 00:00:14.000]  我們一場同心的人來到去
[00:00:14.000 --> 00:00:17.000]  去敬拜我們的天上的父神
[00:00:17.000 --> 00:00:19.000]  今天我們講的題目是
[00:00:19.000 --> 00:00:22.000]  希伯來書第十章的十一節十八節
[00:00:22.000 --> 00:00:25.000]  講的是耶穌基督那個憲制
[00:00:25.000 --> 00:00:27.000]  祂的贖罪制裡面的
[00:00:27.000 --> 00:00:32.000]  很深層的一個意思
[00:00:32.000 --> 00:00:35.000]  今天也是教會傳統的中暑節
[00:00:35.000 --> 00:00:38.000]  其實中暑節是迎接耶穌基督
[00:00:38.000 --> 00:00:40.000]  進入耶路撒冷
[00:00:40.000 --> 00:00:45.000]  用一個迎接溫王的姿態
[00:00:45.000 --> 00:00:50.000]  來迎接耶穌的
[00:00:50.000 --> 00:00:53.000]  但是如果我們從聖經裡面看
[00:00:53.000 --> 00:00:58.000]  這個很多人心目中期盼的君王
[00:00:58.000 --> 00:01:02.000]  最後竟然是釘在十字架上面受死
[00:01:02.000 --> 00:01:06.000]  不知道大家在這個整個轉變當中
[00:01:06.000 --> 00:01:09.000]  有什麼體會呢
[00:01:09.000 --> 00:01:13.000]  我覺得這個世界一直都沒有變
[00:01:13.000 --> 00:01:19.000]  耶穌基督的進城去作王
[00:01:19.000 --> 00:01:23.000]  但是落得的下場
[00:01:23.000 --> 00:01:26.000]  是釘身在十字架上面受死
[00:01:26.000 --> 00:01:29.000]  背後是一個權力
[00:01:29.000 --> 00:01:32.000]  霸權的一個彰顯
[00:01:32.000 --> 00:01:34.000]  昔日是這樣
[00:01:34.000 --> 00:01:36.000]  今天二十一世紀的世界
[00:01:36.000 --> 00:01:39.000]  仍然是講霸權
[00:01:39.000 --> 00:01:42.000]  軍事上面的 經濟上面的
[00:01:42.000 --> 00:01:44.000]  甚至乎在不知不覺當中
[00:01:44.000 --> 00:01:46.000]  一些的文化上面的
[00:01:46.000 --> 00:01:50.000]  是放在很多不同的領域裡面
[00:01:50.000 --> 00:01:55.000]  展示出有你無我這種的姿態
[00:01:55.000 --> 00:02:00.000]  要屈服人 講力量
[00:02:00.000 --> 00:02:02.000]  而很特別的
[00:02:02.000 --> 00:02:03.000]  在聖經裡面
[00:02:03.000 --> 00:02:11.000]  耶穌基督這個令人心悅誠服的王
[00:02:11.000 --> 00:02:15.000]  用的竟然是另一種的方式
[00:02:15.000 --> 00:02:19.000]  一個令人難以理解
