
[00:00:00.000 --> 00:00:05.200]  今天要和大家講的是《但義理書》第五章
[00:00:05.200 --> 00:00:07.200]  第五章很有趣
[00:00:07.200 --> 00:00:10.600]  因為你知道我們《但義理書》的主題是甚麼
[00:00:10.600 --> 00:00:12.200]  是牆上的字
[00:00:12.200 --> 00:00:14.800]  這是我們整個系列的主題
[00:00:14.800 --> 00:00:20.200]  今天其實就是要和大家講牆上的字這個故事
[00:00:20.200 --> 00:00:26.400]  《但義理書》第五章是有關巴比倫被征服失守
[00:00:26.400 --> 00:00:29.400]  我不想講滅亡這個字
[00:00:29.400 --> 00:00:34.000]  因為我們知道去到啟示錄第十七章、第十八章
[00:00:34.000 --> 00:00:38.400]  將會將來仍然有一個巴比倫會被滅亡
[00:00:38.400 --> 00:00:42.600]  這個就是迪基督的國度
[00:00:42.600 --> 00:00:45.600]  究竟是否一個真正的巴比倫國
[00:00:45.600 --> 00:00:50.600]  還是巴比倫所象徵的異端邪教我們不知道
[00:00:50.600 --> 00:00:54.200]  但是在啟示錄真是講到十七至十八章
[00:00:54.200 --> 00:00:58.800]  迪基督的國度巴比倫將會被毀滅
[00:00:58.800 --> 00:01:04.600]  整部聖經是兩個國家、兩個城市的故事
[00:01:04.600 --> 00:01:08.400]  我們知道一個城市就是耶路撒冷城
[00:01:08.400 --> 00:01:10.800]  是神的城市
[00:01:10.800 --> 00:01:15.000]  將來的天堂在啟示錄叫做新耶路撒冷
[00:01:15.000 --> 00:01:19.000]  我們也知道另外一個城市是巴比倫
[00:01:19.000 --> 00:01:21.200]  這個巴比倫是人的城市
[00:01:21.200 --> 00:01:23.600]  是魔鬼的城市
[00:01:23.600 --> 00:01:26.400]  在這裏創世紀第十章
[00:01:26.400 --> 00:01:31.200]  我們知道06這個人是建立了巴比倫
[00:01:31.200 --> 00:01:33.800]  去到巴別塔的時候
[00:01:33.800 --> 00:01:38.200]  巴比倫這個地方已經成為了拜偶像
[00:01:38.200 --> 00:01:41.800]  異端邪教的發源地
[00:01:41.800 --> 00:01:43.800]  去到但爾利的時候
[00:01:43.800 --> 00:01:46.600]  我們又見到外邦人的日期
[00:01:46.600 --> 00:01:50.800]  巴比倫就是第一個國家
[00:01:50.800 --> 00:01:53.600]  巴比倫曾經是一個非常輝煌
[00:01:53.600 --> 00:01:55.800]  非常強盛的國家
[00:01:55.800 --> 00:01:59.600]  但是去到第五章最後的兩節經文
[00:01:59.600 --> 00:02:01.600]  短短的兩節經文
[00:02:01.600 --> 00:02:04.600]  就說到巴比倫的終結
[00:02:04.600 --> 00:02:06.800]  我們剛才讀了經文說
[00:02:06.800 --> 00:02:09.800]  但爾利書五章三十至三十一節
[00:02:09.800 --> 00:02:13.400]  當夜加納底王白沙薩被殺
[00:02:13.400 --> 00:02:20.000]  馬代大利烏年六十二歲取了加納底國
[00:02:20.000 --> 00:02:21.000]  就是這麼簡單
[00:02:21.000 --> 00:02:27.800]  兩節的經文就說到巴比倫被征服
[00:02:27.800 --> 00:02:31.600]  我們見到在但爾利書第二章
[00:02:31.600 --> 00:02:34.200]  但爾利給我們的預言
[00:02:34.200 --> 00:02:38.000]  是說到由巴比倫代表的金頭
[00:02:38.000 --> 00:02:42.800]  已經去到銀的胸部和雙臂
[00:02:42.800 --> 00:02:47.600]  就是波斯和馬代
[00:02:47.600 --> 00:02:50.800]  上一次跟大家說的是但爾利書第四章
[00:02:50.800 --> 00:02:54.200]  記不記得說到尼布格尼薩的驕傲
[00:02:54.200 --> 00:03:00.800]  神令他謙卑成為一隻畜生
[00:03:00.800 --> 00:03:03.800]  去到但爾利書第四章的最後
[00:03:03.800 --> 00:03:05.800]  我們見到尼布格尼薩
[00:03:05.800 --> 00:03:08.400]  他是認罪悔改
[00:03:08.400 --> 00:03:11.800]  所以我相信尼布格尼薩已經得救
[00:03:11.800 --> 00:03:13.800]  他是信主
[00:03:13.800 --> 00:03:15.000]  我不會驚奇
[00:03:15.000 --> 00:03:17.000]  如果我們將來去到天堂
[00:03:17.000 --> 00:03:20.600]  是會見到尼布格尼薩
[00:03:20.600 --> 00:03:22.600]  今天會跟大家說的是
[00:03:22.600 --> 00:03:24.600]  巴比倫的另一個皇帝
[00:03:24.600 --> 00:03:26.600]  是叫做伯沙薩
[00:03:26.600 --> 00:03:30.000]  今天的經文是但爾利書第五章
[00:03:30.000 --> 00:03:31.400]  剛才讀過了
[00:03:31.400 --> 00:03:33.600]  但爾利書五章一節說什麼
[00:03:33.600 --> 00:03:37.400]  說伯沙薩為他的一千大臣
[00:03:37.400 --> 00:03:39.400]  設擺盛宴
[00:03:39.400 --> 00:03:44.000]  與這一千人對面飲酒
[00:03:44.000 --> 00:03:47.000]  究竟誰是伯沙薩
[00:03:47.000 --> 00:03:49.400]  聖經時時被人罵
[00:03:49.400 --> 00:03:52.000]  被很多歷史學家
[00:03:52.000 --> 00:03:54.000]  歷史的專家來罵
[00:03:54.000 --> 00:03:56.800]  說聖經是錯漏百出
[00:03:56.800 --> 00:03:58.600]  他們說在巴比倫國
[00:03:58.600 --> 00:04:02.200]  從來未見過有伯沙薩這號人物
[00:04:02.200 --> 00:04:06.800]  他們說當巴比倫滅亡的時候
[00:04:06.800 --> 00:04:10.600]  那個皇帝其實是拿波尼德
[00:04:10.600 --> 00:04:14.200]  而不是伯沙薩
