
[00:00:00.000 --> 00:00:03.280]  今日我想同大家去思想的是一個課題
[00:00:03.280 --> 00:00:05.280]  叫做「信仰與生活」
[00:00:05.280 --> 00:00:08.800]  我是一九六八年回教會
[00:00:08.800 --> 00:00:13.200]  我到現在已經差不多回了五十幾年
[00:00:13.200 --> 00:00:15.600]  在五十幾年的日子當中
[00:00:15.600 --> 00:00:18.480]  我們都會有少年浪漫的時候
[00:00:18.480 --> 00:00:20.720]  我同一班熱心的弟兄姊妹
[00:00:20.720 --> 00:00:23.760]  我們就會走去一些公園
[00:00:23.760 --> 00:00:26.240]  然後我們又爬過一些鐵閘
[00:00:26.240 --> 00:00:28.480]  然後就躺在草地那裡
[00:00:28.480 --> 00:00:32.240]  我們就說一些很偉大的豪情壯語的話
[00:00:32.240 --> 00:00:34.720]  我們會說我們要復興教會
[00:00:34.720 --> 00:00:36.560]  我們要振興團契
[00:00:36.560 --> 00:00:40.480]  我們要廢除那些無能的執事堂位
[00:00:40.480 --> 00:00:43.600]  我們要剷除那些沒用的傳道
[00:00:43.600 --> 00:00:47.120]  當時跟我一起成長的弟兄姊妹
[00:00:47.120 --> 00:00:50.160]  在教會當中我們都很期盼
[00:00:50.160 --> 00:00:51.600]  我們都是有這樣的心智
[00:00:51.600 --> 00:00:54.480]  不過慢慢我們的心智又少了
[00:00:54.480 --> 00:00:57.360]  慢慢的就是跟我一起說的那班弟兄姊妹
[00:00:57.360 --> 00:01:00.720]  有些都消失了在教會的裡面
[00:01:00.720 --> 00:01:02.880]  曾幾何時在我的年代當中
[00:01:02.880 --> 00:01:06.160]  是很喜歡去夏令會去冬令會
[00:01:06.160 --> 00:01:09.840]  然後教會就是在那個時間的當中
[00:01:09.840 --> 00:01:13.680]  就會最後那一晚就鋪一個十字架的蠟燭台
[00:01:13.680 --> 00:01:17.600]  然後就關起窗子就是一直點著它的時候
[00:01:17.600 --> 00:01:19.120]  就很有一個感動
[00:01:19.120 --> 00:01:22.560]  每個人都哭著去分享建成
[00:01:22.560 --> 00:01:24.400]  然後在獻心會的裡面
[00:01:24.400 --> 00:01:25.600]  有很多人都會
[00:01:25.600 --> 00:01:28.480]  「上帝如果要揀選我做傳道的時候」
[00:01:28.480 --> 00:01:30.640]  「我願意毀身給上帝」
[00:01:30.640 --> 00:01:35.520]  我記得我哭著出去拿獻心會的心的時候
[00:01:35.520 --> 00:01:38.480]  跟我一起出去的有十幾個人
[00:01:38.480 --> 00:01:40.320]  但是今天據我所知道
[00:01:40.320 --> 00:01:41.840]  跟我一起出去的人
[00:01:41.840 --> 00:01:45.680]  在今天的裡面做傳道的似乎只有我一個
[00:01:45.680 --> 00:01:48.880]  然後很多已經沒有回教會了
[00:01:48.880 --> 00:01:50.480]  不是說我偉大
[00:01:50.480 --> 00:01:54.240]  而是我只是覺得這個由頭到尾是上帝的恩典
[00:01:54.240 --> 00:01:57.120]  仍然給機會我可以侍奉
[00:01:57.120 --> 00:01:59.600]  其他人都去了哪裡
[00:01:59.600 --> 00:02:00.560]  利尾記
[00:02:00.560 --> 00:02:03.920]  如果利尾我們看到它當中記載的就是
[00:02:03.920 --> 00:02:06.880]  侍奉的利尾人他三十歲就出來
[00:02:06.880 --> 00:02:10.000]  去會幕聖殿那裡做一個侍奉
[00:02:10.000 --> 00:02:11.440]  但是在今天的裡面
[00:02:11.440 --> 00:02:12.960]  我們作為一個香港人
[00:02:12.960 --> 00:02:15.840]  或者我們作為一個城市裡面的基督徒
[00:02:15.840 --> 00:02:19.840]  很多時候我們在人生到三十歲的時候
[00:02:19.840 --> 00:02:22.880]  我們就玩不起這個宗教的遊戲
[00:02:22.880 --> 00:02:24.400]  我們就開始的就是
[00:02:24.400 --> 00:02:26.080]  我們要對這個社會
[00:02:26.080 --> 00:02:27.440]  我們對我們的成就
[00:02:27.440 --> 00:02:28.720]  對我的家庭
[00:02:28.720 --> 00:02:31.280]  我們去追求我們人生的夢想
[00:02:31.280 --> 00:02:33.680]  已經不再是可以玩的
[00:02:33.680 --> 00:02:36.080]  三十歲以下的這個遊戲
[00:02:36.080 --> 00:02:39.520]  是在教會當中繼續的發生在我這個
