
[00:00:00.000 --> 00:00:07.000]  早年,當我在官宣聚會的時候
[00:00:07.000 --> 00:00:14.000]  官宣就跟房國錫協會有一個安排
[00:00:14.000 --> 00:00:23.000]  大概一年有一次我們去廣西容安容水的地方
[00:00:23.000 --> 00:00:28.000]  有一些短宣探訪等等
[00:00:28.000 --> 00:00:34.000]  可能在座當中回到官宣比較久的弟兄姊妹
[00:00:34.000 --> 00:00:38.000]  你有少少印象都不一定
[00:00:38.000 --> 00:00:42.000]  在這個參與的裏面
[00:00:42.000 --> 00:00:45.000]  給了我有很深的體會
[00:00:45.000 --> 00:00:47.000]  我們有機會見得到
[00:00:47.000 --> 00:00:54.000]  國內弟兄姊妹那種單純信靠的心
[00:00:54.000 --> 00:01:02.000]  這個同樣是我參與猜拳的起點
[00:01:02.000 --> 00:01:05.000]  在整個歷程當中
[00:01:05.000 --> 00:01:09.000]  其中一個令我最深刻的人物
[00:01:09.000 --> 00:01:15.000]  就是在當地有一位負責的女童工
[00:01:15.000 --> 00:01:18.000]  她叫鍾美欣牧師
[00:01:18.000 --> 00:01:27.000]  這位鍾牧師早年在建道神學院畢業
[00:01:27.000 --> 00:01:31.000]  不是香港的年代
[00:01:31.000 --> 00:01:35.000]  是在吳州的年代
[00:01:35.000 --> 00:01:38.000]  在國內的建道神學院受操奏
[00:01:38.000 --> 00:01:42.000]  然後在國內服侍
[00:01:42.000 --> 00:01:50.000]  她當年最初去到榮安教會服侍
[00:01:50.000 --> 00:01:57.000]  資料顯示當時的教會只有二十人
[00:01:57.000 --> 00:02:03.000]  經過了她多年忠心努力的服侍
[00:02:03.000 --> 00:02:09.000]  下鄉逐家逐戶拍門傳福音
[00:02:09.000 --> 00:02:16.000]  到現在廣西這一帶的士工已經有七個教會
[00:02:16.000 --> 00:02:18.000]  很多聚會點
[00:02:18.000 --> 00:02:24.000]  總聚會的人數超過二千人
[00:02:24.000 --> 00:02:29.000]  而當年我去參與服侍的時候
[00:02:29.000 --> 00:02:34.000]  是八十年代末 九十年代初
[00:02:34.000 --> 00:02:42.000]  據我記憶所合 當年她已經六十多 接近七十歲
[00:02:42.000 --> 00:02:51.000]  她當時由一個山頭完成服侍跑到第二個山頭
[00:02:51.000 --> 00:02:56.000]  去完一個聚會點又趕去另一個聚會點
[00:02:56.000 --> 00:02:59.000]  不要忘記六十多歲的人
[00:02:59.000 --> 00:03:04.000]  這張照片是我在網上找回來的
[00:03:04.000 --> 00:03:09.000]  資料顯示在二零一四年的時候
[00:03:09.000 --> 00:03:13.000]  有同工去探望她拍門傳福音
[00:03:13.000 --> 00:03:18.000]  二零一四年期間的照片仍然存在
[00:03:18.000 --> 00:03:24.000]  現在是二零一七 究竟她回到天家了沒有
[00:03:24.000 --> 00:03:26.000]  我又不是很清楚
[00:03:26.000 --> 00:03:31.000]  但如果你數口精 你可以計算
[00:03:31.000 --> 00:03:35.000]  八十年代末 九十年代初
[00:03:35.000 --> 00:03:38.000]  六十多 接近七十歲
[00:03:38.000 --> 00:03:41.000]  即是她現在還未走多少歲
[00:03:41.000 --> 00:03:44.000]  一百歲
