
[00:00:00.000 --> 00:00:02.000]  各位小姐妹們,晚安
[00:00:02.000 --> 00:00:06.000]  今天跟大家分享的題目是「言語的威力」
[00:00:06.000 --> 00:00:10.000]  現代的言語溝通學有一個學說
[00:00:10.000 --> 00:00:13.000]  叫做「55-38-7」
[00:00:13.000 --> 00:00:16.000]  這個定律指出人與人之間的溝通
[00:00:16.000 --> 00:00:18.000]  要有好的效果
[00:00:18.000 --> 00:00:21.000]  單有好的內容是不足夠的
[00:00:21.000 --> 00:00:23.000]  要傳遞、講得清楚
[00:00:23.000 --> 00:00:26.000]  又要接收、聽得完整
[00:00:26.000 --> 00:00:28.000]  還需要另外兩樣東西
[00:00:28.000 --> 00:00:34.000]  第一樣就是靠身體語言或表情佔55%
[00:00:34.000 --> 00:00:38.000]  所以現時我戴了口罩,其實是打了折扣
[00:00:38.000 --> 00:00:44.000]  第二就是要靠聲調和語氣佔38%
[00:00:44.000 --> 00:00:47.000]  這兩樣加起來已經有93%了
[00:00:47.000 --> 00:00:53.000]  就是說說話內容本身達到的效果只是7%
[00:00:53.000 --> 00:00:56.000]  但有些人就認定
[00:00:56.000 --> 00:00:58.000]  就算只有7%
[00:00:58.000 --> 00:01:01.000]  也要做好言語內容的功夫
[00:01:01.000 --> 00:01:05.000]  正所謂有point就有power
[00:01:05.000 --> 00:01:07.000]  有內涵才有威力
[00:01:07.000 --> 00:01:11.000]  言語這個溝通就不是講一些東西
[00:01:11.000 --> 00:01:13.000]  say something
[00:01:13.000 --> 00:01:15.000]  而是我有說話
[00:01:15.000 --> 00:01:17.000]  我有訊息要講
[00:01:17.000 --> 00:01:19.000]  I have something to say
[00:01:19.000 --> 00:01:21.000]  今天跟大家去讀傳道書
[00:01:21.000 --> 00:01:23.000]  五章一至七節
[00:01:23.000 --> 00:01:25.000]  內容有不少
[00:01:25.000 --> 00:01:27.000]  和言語有關的字
[00:01:27.000 --> 00:01:30.000]  例如開口、發言、許願
[00:01:30.000 --> 00:01:33.000]  傳道者是看透世情
[00:01:33.000 --> 00:01:35.000]  凡事虛空底下
[00:01:35.000 --> 00:01:39.000]  他沒有說過言語是虛空的
[00:01:39.000 --> 00:01:41.000]  在傳道書裏面
[00:01:41.000 --> 00:01:43.000]  言語不是虛空的
[00:01:43.000 --> 00:01:45.000]  就算在他那本書的開頭
[00:01:45.000 --> 00:01:48.000]  他寫說傳道者的言語
[00:01:48.000 --> 00:01:52.000]  傳道者重視言語
[00:01:52.000 --> 00:01:54.000]  他沒有保持緘默
[00:01:54.000 --> 00:01:55.000]  他講說話
[00:01:55.000 --> 00:01:56.000]  他選擇透過言語
[00:01:56.000 --> 00:01:58.000]  把他所體會到的
[00:01:58.000 --> 00:02:01.000]  和人分享和溝通
[00:02:01.000 --> 00:02:05.000]  而傳道書五章一至七節的溝通學
[00:02:05.000 --> 00:02:09.000]  是集中講人和神的溝通
[00:02:09.000 --> 00:02:11.000]  大家即時想到的
[00:02:11.000 --> 00:02:14.000]  會不會是向神祈禱呢?
[00:02:14.000 --> 00:02:17.000]  我人生最初的祈禱
[00:02:17.000 --> 00:02:20.000]  除了上學念主祷文之外
[00:02:20.000 --> 00:02:24.000]  小學時很興奮地期待
[00:02:24.000 --> 00:02:26.000]  第二天去旅行
[00:02:26.000 --> 00:02:28.000]  因為當時沒有那麼多活動
[00:02:28.000 --> 00:02:31.000]  沒有那麼多可以出去玩的機會
[00:02:31.000 --> 00:02:34.000]  但是旅行之前偏偏下大雨
[00:02:34.000 --> 00:02:36.000]  於是我就祈禱
[00:02:36.000 --> 00:02:38.000]  神啊!求祢停雨
[00:02:38.000 --> 00:02:40.000]  讓我明天可以去旅行
[00:02:40.000 --> 00:02:42.000]  我們可以出發一起去玩
[00:02:42.000 --> 00:02:44.000]  我也試過讀書的時候
[00:02:44.000 --> 00:02:46.000]  做一個電腦的項目
[00:02:46.000 --> 00:02:50.000]  最近要交功課了
[00:02:50.000 --> 00:02:52.000]  還沒完成
[00:02:52.000 --> 00:02:53.000]  於是我又祈禱
[00:02:53.000 --> 00:02:55.000]  神啊!祢真的要幫我了
[00:02:55.000 --> 00:02:57.000]  不合格的話是畢不了業的
[00:02:57.000 --> 00:03:00.000]  那次竟然神蹟發生
[00:03:00.000 --> 00:03:03.000]  電腦中心停電
[00:03:03.000 --> 00:03:05.000]  老師就網開一面
[00:03:05.000 --> 00:03:08.000]  好啦!多給你們兩天歡慶期
[00:03:08.000 --> 00:03:11.000]  人和神的溝通
[00:03:11.000 --> 00:03:13.000]  是否只是停在
[00:03:13.000 --> 00:03:15.000]  當人做不到一些事情的時候
[00:03:15.000 --> 00:03:18.000]  我們就祈禱求神幫忙呢
[00:03:18.000 --> 00:03:21.000]  五章一至七節的內容
[00:03:21.000 --> 00:03:24.000]  傳道者並不只是講祈禱
[00:03:24.000 --> 00:03:27.000]  他還提醒人向神獻祭
[00:03:27.000 --> 00:03:30.000]  對神許願的時候要留意的地方
[00:03:30.000 --> 00:03:33.000]  引導我們先讀一次
[00:03:33.000 --> 00:03:35.000]  這七節的經文
[00:03:35.000 --> 00:03:37.000]  你到神的殿
[00:03:37.000 --> 00:03:39.000]  要謹慎腳步
[00:03:39.000 --> 00:03:41.000]  因為近前廳
[00:03:41.000 --> 00:03:43.000]  勝過愚昧人獻祭
[00:03:43.000 --> 00:03:46.000]  他們本不知道所作的是惡
[00:03:46.000 --> 00:03:48.000]  你在神面前
[00:03:48.000 --> 00:03:50.000]  不可無失開口
[00:03:50.000 --> 00:03:52.000]  也不可心急發言
[00:03:52.000 --> 00:03:54.000]  因為神在天上
[00:03:54.000 --> 00:03:55.000]  你在地下
[00:03:55.000 --> 00:03:58.000]  所以你的言語要寡小
[00:03:58.000 --> 00:04:01.000]  事務多就令人做夢
[00:04:01.000 --> 00:04:04.000]  言語多就顯出愚昧
[00:04:04.000 --> 00:04:05.000]  你向神許願
[00:04:05.000 --> 00:04:07.000]  常還不可遲言
[00:04:07.000 --> 00:04:10.000]  因他不喜悅愚昧人
[00:04:10.000 --> 00:04:12.000]  所以你許的願
[00:04:12.000 --> 00:04:14.000]  應當常還
[00:04:14.000 --> 00:04:15.000]  你許願不還
[00:04:15.000 --> 00:04:17.000]  不如不許
[00:04:17.000 --> 00:04:20.000]  不可任你的口使肉體犯罪
[00:04:20.000 --> 00:04:22.000]  也不可在祭先面前說
[00:04:22.000 --> 00:04:24.000]  是錯許了
[00:04:24.000 --> 00:04:25.000]  多夢和多言
[00:04:25.000 --> 00:04:27.000]  其中多有虛幻
[00:04:27.000 --> 00:04:30.000]  你只要敬畏神
[00:04:30.000 --> 00:04:32.000]  根據傳道者
[00:04:32.000 --> 00:04:34.000]  向神溝通
[00:04:34.000 --> 00:04:37.000]  要留意三方面
[00:04:37.000 --> 00:04:38.000]  第一
[00:04:38.000 --> 00:04:40.000]  言語要寡小
[00:04:40.000 --> 00:04:42.000]  第二 聽
[00:04:42.000 --> 00:04:45.000]  重要過憲制
[00:04:45.000 --> 00:04:48.000]  第三 許願要還願
[00:04:48.000 --> 00:04:49.000]  我們大部份人
[00:04:49.000 --> 00:04:51.000]  絕大部份人都是中國人
[00:04:51.000 --> 00:04:54.000]  有個詞語叫品臣
[00:04:54.000 --> 00:04:55.000]  但當我們信了耶穌
[00:04:55.000 --> 00:04:57.000]  向上帝祈禱的時候
[00:04:57.000 --> 00:05:00.000]  可能仍然帶著品臣的態度
[00:05:00.000 --> 00:05:01.000]  和做法
[00:05:01.000 --> 00:05:03.000]  意思就是
[00:05:03.000 --> 00:05:04.000]  心中有什麼需要
[00:05:04.000 --> 00:05:06.000]  儘管跟神說
[00:05:06.000 --> 00:05:09.000]  祈求神幫我和供應
[00:05:09.000 --> 00:05:10.000]  寧願說多
[00:05:10.000 --> 00:05:11.000]  不要說漏
[00:05:11.000 --> 00:05:12.000]  不說神就不知道
[00:05:12.000 --> 00:05:15.000]  說少了就吃虧了
[00:05:15.000 --> 00:05:17.000]  回想我們接觸
[00:05:17.000 --> 00:05:20.000]  剛剛順主的弟兄姊妹的時候
[00:05:20.000 --> 00:05:23.000]  他們都跟我們說
[00:05:23.000 --> 00:05:25.000]  其實我知道祈禱很好
[00:05:25.000 --> 00:05:28.000]  但我不懂怎樣祈禱
[00:05:28.000 --> 00:05:30.000]  我們的回答
[00:05:30.000 --> 00:05:31.000]  其實多多少少
[00:05:31.000 --> 00:05:34.000]  都存在一個品臣的觀念
