
[00:00:00.000 --> 00:00:02.920]  主義誕聖經在約翰福音第四章
[00:00:02.920 --> 00:00:06.020]  第46到第53節
[00:00:06.020 --> 00:00:08.840]  這裡說耶穌又到了加利利的迦拿
[00:00:08.840 --> 00:00:11.840]  就是祂從前變水為酒的地方
[00:00:11.840 --> 00:00:12.800]  有一個大臣
[00:00:12.800 --> 00:00:15.520]  他的兒子在迦百隆患病
[00:00:15.520 --> 00:00:17.800]  他聽見耶穌從猶太到了加利利
[00:00:17.800 --> 00:00:19.120]  就來見他
[00:00:19.120 --> 00:00:21.120]  求他下去醫治他的兒子
[00:00:21.120 --> 00:00:23.440]  因為他兒子快要死了
[00:00:23.440 --> 00:00:24.320]  耶穌就對他說
[00:00:24.320 --> 00:00:26.400]  若不看見神蹟其事
[00:00:26.400 --> 00:00:28.120]  你們總是不信
[00:00:28.120 --> 00:00:30.800]  那大臣說先生求你趁著我的孩子
[00:00:30.800 --> 00:00:33.040]  還沒有死就下去
[00:00:33.040 --> 00:00:34.680]  耶穌對他說回去吧
[00:00:34.680 --> 00:00:36.080]  你的兒子活了
[00:00:36.080 --> 00:00:39.560]  那人信耶穌所說的話就回去了
[00:00:39.560 --> 00:00:40.320]  正下去的時候
[00:00:40.320 --> 00:00:41.880]  他僕人迎見他
[00:00:41.880 --> 00:00:43.440]  說他的兒子活了
[00:00:43.440 --> 00:00:45.280]  就問他什麼時候見好的
[00:00:45.280 --> 00:00:48.760]  他們說昨日未食熱就退了
[00:00:48.760 --> 00:00:49.920]  他便知道這正是
[00:00:49.920 --> 00:00:52.760]  耶穌對他說你兒子活了的時候
[00:00:52.760 --> 00:00:55.400]  他自己和全家就都信了
[00:00:55.400 --> 00:00:58.320]  我們就讀到這裡
[00:00:58.320 --> 00:00:59.920]  第二節今天我們是
[00:00:59.920 --> 00:01:02.360]  處在一個充滿了危險
[00:01:02.360 --> 00:01:05.440]  恐懼以及不安的時代
[00:01:05.440 --> 00:01:06.880]  但我相信
[00:01:06.880 --> 00:01:10.640]  這是人們最需要神蹟的時代
[00:01:10.640 --> 00:01:11.800]  Amen
[00:01:11.800 --> 00:01:14.040]  所謂神蹟倒不見得一電
[00:01:14.040 --> 00:01:17.600]  是一些排山倒海
[00:01:17.600 --> 00:01:20.320]  震動天地的事情
[00:01:20.320 --> 00:01:21.320]  很多時候
[00:01:21.320 --> 00:01:23.800]  當你在人生的道路上
[00:01:23.800 --> 00:01:27.000]  當你靠著自己的智慧力量
[00:01:27.000 --> 00:01:29.480]  找不到任何出路
[00:01:29.480 --> 00:01:33.280]  只好靠著絕對順服神的一種信心
[00:01:33.280 --> 00:01:35.360]  來跟隨神的時候
[00:01:35.360 --> 00:01:37.920]  神就要回應你的呼求
[00:01:37.920 --> 00:01:40.280]  親自在你人生的道路當中
[00:01:40.280 --> 00:01:41.480]  為你來開路
[00:01:41.480 --> 00:01:42.800]  Amen
[00:01:42.800 --> 00:01:46.120]  神蹟就是神的作為
[00:01:46.120 --> 00:01:50.920]  而且是超乎我們所求所想的作為
[00:01:50.920 --> 00:01:51.960]  在人生的道路上
[00:01:51.960 --> 00:01:56.480]  我相信我們多多少少都會經歷到人生的困境
[00:01:56.480 --> 00:01:57.640]  無論在環境上
[00:01:57.640 --> 00:02:00.200]  無論是在身體的健康上
