
[00:00:00.000 --> 00:00:03.080]  恩典逼人來不再羞恥失望
[00:00:03.080 --> 00:00:09.360]  我們經文剛才讀了是提摩太后書第一章第八至第十二節
[00:00:09.360 --> 00:00:16.720]  我想大家都聽過這個很熟悉的這一句話
[00:00:16.720 --> 00:00:22.000]  就是叫做知易行難
[00:00:22.000 --> 00:00:25.880]  知就是容易 行就是困難
[00:00:26.360 --> 00:00:34.320]  好幾年前我有機會去到國立的國父孫中山的紀念館裏面去參觀
[00:00:34.320 --> 00:00:38.040]  心裏面感到非常之激動
[00:00:38.040 --> 00:00:41.640]  在裏面看見很多關於我們國家各樣的事
[00:00:41.640 --> 00:00:45.760]  其中有一句說話就是我們的國父孫中山先生
[00:00:45.760 --> 00:00:49.080]  他時時的講的 亦都時時的寫的
[00:00:49.080 --> 00:00:52.200]  有些人稱他為麥寶 他時時的寫的
[00:00:52.200 --> 00:00:58.920]  他寫了一句說話是甚麼呢 他說是知難行易 而不是知易行難
[00:00:58.920 --> 00:01:06.720]  他說中國人應該明白是知難行易 不是知易行難
[00:01:06.720 --> 00:01:12.640]  他就是透過這句說話來鼓勵當時推翻滿清政府
[00:01:12.640 --> 00:01:17.040]  能夠有民國的建立 革命
[00:01:17.040 --> 00:01:21.400]  他提到為甚麼是知難行易呢
[00:01:21.400 --> 00:01:27.040]  並不是將兩個字這樣搬過去 為了鼓勵人好聽
[00:01:27.040 --> 00:01:30.880]  他說其實在人生的生命裏面
[00:01:30.880 --> 00:01:36.520]  他說其實很多事我們想到是困難
[00:01:36.520 --> 00:01:41.560]  很多事我們想到好像是很容易去知的
[00:01:41.560 --> 00:01:47.400]  他說其實是開始的時候知道是困難的
[00:01:47.400 --> 00:01:51.360]  因為很多時我們從來沒有想過這些事是有可能的
[00:01:51.360 --> 00:01:55.680]  他說大清帝國好像是一個大的機器
[00:01:55.680 --> 00:01:59.360]  他有甚麼人能夠有能力去推翻呢
[00:01:59.360 --> 00:02:02.760]  所以沒有人會想過是可以推翻到的
[00:02:02.760 --> 00:02:07.960]  但為甚麼他說知難行易 或者你覺得是很困難
[00:02:07.960 --> 00:02:12.840]  但他說雖然你是未去明白或者知道怎樣去做
[00:02:12.840 --> 00:02:18.760]  但他說在人的心裏面 其實已經有一個夢在裏面
[00:02:18.760 --> 00:02:22.880]  那個夢是甚麼呢 就是希望我們的國家能夠成為一個好的國家
[00:02:22.880 --> 00:02:24.600]  不會像現在這樣
[00:02:24.600 --> 00:02:27.760]  所以他說其實是未有出現的事
[00:02:27.760 --> 00:02:31.160]  但其實人一直已經在想
[00:02:31.160 --> 00:02:34.560]  國父不是用心理這樣說的
[00:02:34.560 --> 00:02:38.400]  他是透過有十樣東西來證明
[00:02:38.400 --> 00:02:40.840]  他說知難行易是真的
[00:02:40.840 --> 00:02:44.000]  反而知易行難不是真的
[00:02:44.000 --> 00:02:46.840]  他說講到最重要的一樣東西
[00:02:46.840 --> 00:02:49.880]  就是能夠有一支真知
[00:02:49.880 --> 00:02:53.560]  即是一些真理能夠臨到我們的時候
[00:02:53.560 --> 00:02:55.800]  初時的時候是很難了解的
[00:02:55.800 --> 00:02:56.680]  所以知是難
[00:02:56.680 --> 00:03:00.960]  但當你一了解了和你接受了 這個是最重要的
[00:03:00.960 --> 00:03:03.920]  一了解了 一接受了 行就容易了
[00:03:03.920 --> 00:03:07.240]  他就是這樣去鼓勵我們
[00:03:07.240 --> 00:03:10.800]  我深信我們的國父所講的話
[00:03:10.800 --> 00:03:13.520]  因為我們的國父是一個虔誠的基督徒
[00:03:13.520 --> 00:03:19.320]  所以我想他想了很多的東西 其實都是透過聖經裏面他能夠明白
[00:03:19.320 --> 00:03:21.440]  好像他時時講的博愛
[00:03:21.440 --> 00:03:24.240]  他時時講的天下為公
[00:03:24.240 --> 00:03:27.240]  這些說話都是聖經裏面告訴我們的
[00:03:27.240 --> 00:03:29.520]  而這個知難行易
[00:03:29.520 --> 00:03:33.080]  確是讓我心裏面得到很大的激勵
[00:03:33.080 --> 00:03:36.440]  就是如果我們有真理 我們能明白真理
[00:03:36.440 --> 00:03:38.840]  所有事情行出來就容易
[00:03:38.840 --> 00:03:43.120]  我們作為一個基督徒 各位親愛的來賓 各位親愛的弟兄姊妹
[00:03:43.120 --> 00:03:47.280]  我們不要以為做一個基督徒是很難的
[00:03:47.280 --> 00:03:51.920]  因為基本上做基督徒不是基督徒為上帝做些甚麼
[00:03:51.920 --> 00:03:57.680]  是上帝已經為我們跟隨他 信耶穌的人已經做了很多的事
[00:03:57.680 --> 00:04:01.080]  我們只要明白了這個真理而去接納的時候
[00:04:01.080 --> 00:04:04.160]  我們發覺我們的生命就能夠有改變
[00:04:04.160 --> 00:04:07.280]  知難行是真的容易的
[00:04:07.280 --> 00:04:10.680]  在這幾個月裏面 我們透過恩典逼人來
[00:04:10.680 --> 00:04:14.480]  我們提到基督徒是如何去做
[00:04:14.480 --> 00:04:16.800]  我們說的幾件事
[00:04:16.800 --> 00:04:19.280]  這些事我們都不會隨便跟別人說的
[00:04:19.280 --> 00:04:21.480]  或者我們都不會隨便承認的
[00:04:21.480 --> 00:04:24.920]  但這些事確是在我們的心裏面吸引我們
[00:04:24.920 --> 00:04:28.240]  因為我們不去說它 我們認為是沒有辦法克服它
[00:04:28.240 --> 00:04:30.480]  所以我們就不多提這些事
[00:04:30.480 --> 00:04:32.120]  但當我們明白了這些事
[00:04:32.120 --> 00:04:35.720]  原來上帝有恩典讓我們能夠克服它的時候
[00:04:35.720 --> 00:04:40.040]  我們發覺我們的靈命和愛主的心就會向前
[00:04:40.040 --> 00:04:42.280]  我們曾經說過憂鬱的事
[00:04:42.280 --> 00:04:43.560]  我們曾經說過depression
[00:04:43.560 --> 00:04:45.680]  我想沒有人會公開地說
[00:04:45.680 --> 00:04:48.520]  我時時是這樣 我們不想別人知道
[00:04:48.520 --> 00:04:51.000]  我們又說到甚麼是苦毒的心
[00:04:51.000 --> 00:04:53.440]  可能我們的心裏面有苦毒和報復
[00:04:53.440 --> 00:04:55.120]  我們不想讓別人知道
[00:04:55.120 --> 00:04:57.360]  其實我們心裏面可能有這樣的事
[00:04:57.360 --> 00:05:00.120]  我們有提到是會怕人的
[00:05:00.120 --> 00:05:01.520]  沒有人肯承認我怕人
[00:05:01.520 --> 00:05:03.760]  我沒有人怕的 其實我們是怕人
[00:05:03.760 --> 00:05:05.760]  我們曾經說過這件事
[00:05:05.760 --> 00:05:08.760]  今天我跟各位說的是收錢這件事
