
[00:00:00.000 --> 00:00:05.000]  剛才施班的師哥讓我們進入去尼希米的心境
[00:00:05.000 --> 00:00:08.000]  那種的憂慮、疑惑
[00:00:08.000 --> 00:00:12.000]  或者困難不斷的情感
[00:00:12.000 --> 00:00:14.000]  可以是我們今天
[00:00:14.000 --> 00:00:16.000]  一些領子妹的寫照
[00:00:16.000 --> 00:00:20.000]  當困難是接二連三衝著你來
[00:00:20.000 --> 00:00:22.000]  可以怎麼辦呢?
[00:00:22.000 --> 00:00:25.000]  《經文》的六章一節提到
[00:00:25.000 --> 00:00:29.000]  三個主要的敵對者再次出場
[00:00:29.000 --> 00:00:33.000]  這三個主要敵人第一次出現在第二章
[00:00:33.000 --> 00:00:35.000]  在那時候
[00:00:35.000 --> 00:00:37.000]  這些敵人去嘲笑
[00:00:37.000 --> 00:00:40.000]  去藐視這班以色列人在做什麼
[00:00:40.000 --> 00:00:45.000]  大臣的子民卻是照樣開始建造城牆
[00:00:45.000 --> 00:00:46.000]  到了第四章
[00:00:46.000 --> 00:00:48.000]  他們再次出場
[00:00:48.000 --> 00:00:52.000]  他們見到真的在修造城牆
[00:00:52.000 --> 00:00:56.000]  於是他們就升級他們攻擊的行動
[00:00:56.000 --> 00:00:58.000]  以武力去威嚇
[00:00:58.000 --> 00:01:00.000]  這些正在工作的猶太人
[00:01:00.000 --> 00:01:03.000]  大臣的子民就是一手拿著兵器
[00:01:03.000 --> 00:01:06.000]  一手去修造城牆
[00:01:06.000 --> 00:01:10.000]  然後就來到今天的第六章
[00:01:10.000 --> 00:01:12.000]  敵人其實很心急
[00:01:12.000 --> 00:01:16.000]  他們眼見城牆已經建好了
[00:01:16.000 --> 00:01:20.000]  只是差城門未安上的門線
[00:01:20.000 --> 00:01:23.000]  最後的階段
[00:01:23.000 --> 00:01:27.000]  所以他們要集中去對付尼希米
[00:01:27.000 --> 00:01:31.000]  要在一片好像快完成的情況下
[00:01:31.000 --> 00:01:32.000]  要無風起浪
[00:01:32.000 --> 00:01:35.000]  要令尼希米去懼怕
[00:01:35.000 --> 00:01:37.000]  盡最後努力
[00:01:37.000 --> 00:01:40.000]  剎停這個城牆工程
[00:01:40.000 --> 00:01:46.000]  在今天我們可能都會面對困難再三出現
[00:01:46.000 --> 00:01:47.000]  你的人生裡面
[00:01:47.000 --> 00:01:51.000]  或許經歷過真的有你的敵對者
[00:01:51.000 --> 00:01:55.000]  又或者我們屬靈上面常常都面對受敵撒旦
[00:01:55.000 --> 00:01:57.000]  不斷的搞擾
