
[00:00:00.000 --> 00:00:02.440]  本來信從馬其頓的意象
[00:00:02.440 --> 00:00:05.480]  去到馬其頓第一個城市菲律賓
[00:00:05.480 --> 00:00:09.400]  在那裡帶領人信主 建立教會
[00:00:09.400 --> 00:00:12.940]  他知道這都是外邦人的地方
[00:00:12.940 --> 00:00:15.300]  都不敢魯莽行事
[00:00:15.300 --> 00:00:18.840]  雖然他見到有一個被鬼附的使女
[00:00:18.840 --> 00:00:22.140]  跟著他們大聲叫
[00:00:22.140 --> 00:00:24.140]  而且叫了幾天
[00:00:24.140 --> 00:00:28.340]  我們就覺得應該第一時間去幫他
[00:00:28.340 --> 00:00:30.440]  因為耶穌在這個世界的時候
[00:00:30.440 --> 00:00:35.080]  我們聽說耶穌經常趕鬼治病
[00:00:35.080 --> 00:00:39.540]  但是保羅都知道可能有些問題
[00:00:39.540 --> 00:00:45.880]  最後他都願意幫助這個使女將鬼趕出去
[00:00:45.880 --> 00:00:48.280]  但是惹禍上身
[00:00:48.280 --> 00:00:52.480]  原來這個使女雖然有無鬼附著
[00:00:52.480 --> 00:00:57.680]  但是她可以用法術叫她的主人得到財力
[00:00:57.680 --> 00:01:01.780]  到底她怎樣用法術用她的主人得到財力呢
[00:01:01.780 --> 00:01:03.780]  是否變錢出來呢
[00:01:03.780 --> 00:01:07.280]  不知道是什麼 誠經沒有說
[00:01:07.280 --> 00:01:10.480]  不過我們中國人傳統對於這些巫術
[00:01:10.480 --> 00:01:14.980]  對於這些鬼附的工作又能夠有利益的
[00:01:14.980 --> 00:01:18.180]  我們很容易可能會想到問米
[00:01:18.180 --> 00:01:23.080]  來到這個被鬼附著的人可以解答疑難
[00:01:23.080 --> 00:01:25.680]  可以跟死人溝通
[00:01:25.680 --> 00:01:29.980]  或者可以占卜 告訴別人下期落財開什麼
[00:01:29.980 --> 00:01:33.180]  股票明天升還是跌 諸如此類
[00:01:33.180 --> 00:01:38.880]  但是重視的是她能夠令她的主人得利
[00:01:38.880 --> 00:01:42.980]  結果當保羅將鬼趕出去之後
[00:01:42.980 --> 00:01:45.180]  他就將自己陷在危險裡面
[00:01:45.180 --> 00:01:49.480]  因為他損害了其他人的利益
[00:01:49.480 --> 00:01:52.180]  這個世界的人對利益看得很重要
[00:01:52.180 --> 00:01:56.980]  這個世界我們可能看到很多不合法的事情
[00:01:56.980 --> 00:01:58.680]  很多不公義的事情
[00:01:58.680 --> 00:02:01.880]  很多恐怖的事情 很多殘忍的事情
[00:02:01.880 --> 00:02:04.480]  但是很多時候這些事情之所以出現
[00:02:04.480 --> 00:02:06.980]  或者這些事情正在這個世界出現
[00:02:06.980 --> 00:02:10.180]  是在保障某些人的利益
[00:02:10.180 --> 00:02:12.580]  要帶來改變是危險的
[00:02:12.580 --> 00:02:18.180]  因為改變是會令一些人的利益受到損失的
[00:02:18.180 --> 00:02:20.880]  因為很多事情的出現存在
[00:02:20.880 --> 00:02:22.780]  如果沒有人在其中得到利益
[00:02:22.780 --> 00:02:24.280]  這些根本就已經不存在了
[00:02:24.280 --> 00:02:26.380]  這些事情其實可以消失的了
[00:02:26.380 --> 00:02:31.080]  所以我們很多時候雖然說我們想幫助別人
[00:02:31.080 --> 00:02:34.280]  我們想改變這個社會一點點
[00:02:34.280 --> 00:02:36.280]  但是都不容易的
[00:02:36.280 --> 00:02:39.880]  因為有很多人在當中有利益的
[00:02:39.880 --> 00:02:43.480]  所以就算我們像耶穌那樣可以趕鬼醫病
[00:02:43.480 --> 00:02:44.980]  我們以為自己很厲害
[00:02:44.980 --> 00:02:46.580]  如果可以趕鬼醫病就很棒了
[00:02:46.580 --> 00:02:49.480]  但是耶穌這樣做其實都在得罪別人
[00:02:49.480 --> 00:02:52.880]  耶穌這樣做可能都損害一些人的利益
[00:02:52.880 --> 00:02:54.080]  很簡單的一件事
[00:02:54.080 --> 00:02:57.280]  我們就覺得吸煙不好
[00:02:57.280 --> 00:02:59.280]  基督徒我們很少吸煙的
[00:02:59.280 --> 00:03:01.480]  我們的政府都覺得不好的
[00:03:01.480 --> 00:03:05.380]  在煙包上面寫著吸煙危害健康
[00:03:05.380 --> 00:03:06.980]  好像現在還多一點的了
[00:03:06.980 --> 00:03:09.780]  我沒有買煙所以我不知道煙包上面寫什麼
[00:03:09.780 --> 00:03:14.080]  現在吸煙會產生心臟病
[00:03:14.080 --> 00:03:17.080]  會影響很多其他的病
[00:03:17.080 --> 00:03:20.280]  那麼危害健康就不要賣了
[00:03:20.280 --> 00:03:21.780]  但是又不敢
[00:03:21.780 --> 00:03:24.480]  因為如果禁煙的話
[00:03:24.480 --> 00:03:26.680]  是會損害很多人的利益的
[00:03:26.680 --> 00:03:29.180]  煙草公司的老闆
[00:03:29.180 --> 00:03:32.880]  煙草公司的持有股票的人
[00:03:32.880 --> 00:03:35.880]  煙草公司的從業者
[00:03:35.880 --> 00:03:37.880]  明知道那件事危害健康
[00:03:37.880 --> 00:03:39.380]  為什麼還准許賣呢
[00:03:39.380 --> 00:03:44.080]  因為有很多人的利益牽涉在其中
[00:03:44.080 --> 00:03:46.180]  所以在這個社會你發覺
[00:03:46.180 --> 00:03:48.180]  改變任何東西都很難
[00:03:48.180 --> 00:03:51.680]  因為總有人有些人的利益受到損害
[00:03:51.680 --> 00:03:55.180]  當然這些人當然不會說自己的利益受損害
[00:03:55.180 --> 00:03:57.980]  這些這個市裡的主人們
[00:03:57.980 --> 00:03:59.880]  就不是說普羅斷我們米路
[00:03:59.880 --> 00:04:00.780]  抓他吧
[00:04:00.780 --> 00:04:03.580]  這些很難告上法庭的
[00:04:03.580 --> 00:04:05.380]  於是告他什麼呢
[00:04:05.380 --> 00:04:07.580]  就說這個人來騷擾我們的城
[00:04:07.580 --> 00:04:10.180]  這個人來傳一些我們羅馬人
[00:04:10.180 --> 00:04:13.080]  不可以受不可以行的規矩
[00:04:13.080 --> 00:04:14.980]  什麼都沒有講清楚
[00:04:14.980 --> 00:04:17.280]  總之這個人是不受歡迎的
[00:04:17.280 --> 00:04:19.180]  這個時代都是這樣
[00:04:19.180 --> 00:04:22.280]  當很多人的利益受影響的時候
[00:04:22.280 --> 00:04:24.880]  他們要去申訴的時候
[00:04:24.880 --> 00:04:27.480]  現在這個時代最好講是什麼呢
[00:04:27.480 --> 00:04:29.480]  最容易拿出來做理由的
[00:04:29.480 --> 00:04:33.280]  就是這些改變是損害人權的
[00:04:33.280 --> 00:04:34.380]  我喜歡吸煙
[00:04:34.380 --> 00:04:35.480]  我喜歡吸死我自己
[00:04:35.480 --> 00:04:36.880]  你為什麼影響我
[00:04:36.880 --> 00:04:38.380]  你為什麼禁止我去買
[00:04:38.380 --> 00:04:39.780]  你損害我的人權
[00:04:39.780 --> 00:04:40.880]  我現在在上班
[00:04:40.880 --> 00:04:42.680]  我現在在做煙草公司的
[00:04:42.680 --> 00:04:45.380]  你為什麼要我們收檔
[00:04:45.380 --> 00:04:47.380]  為什麼要影響我們的生意
