
[00:00:00.000 --> 00:00:03.280]  我想和大家講一段經文
[00:00:03.280 --> 00:00:09.560]  就是剛才朱牧華執事和我讀的那段經文
[00:00:09.560 --> 00:00:12.920]  我想用這段經文和大家講社會服務
[00:00:12.920 --> 00:00:14.920]  我沒有做到社工
[00:00:14.920 --> 00:00:18.840]  所以其實我不會講社會服務的內容
[00:00:18.840 --> 00:00:21.800]  我想從這段經文講一下我們教會
[00:00:21.800 --> 00:00:23.800]  我們信徒
[00:00:23.800 --> 00:00:25.800]  怎樣看人間的需要
[00:00:25.800 --> 00:00:28.480]  這段經文是很特別的
[00:00:28.480 --> 00:00:33.640]  因為耶穌洗五餅二魚餵飽五千人這個神蹟
[00:00:33.640 --> 00:00:35.640]  耶穌行了很多神蹟
[00:00:35.640 --> 00:00:37.000]  但是只有這個神蹟
[00:00:37.000 --> 00:00:39.000]  如果不計算耶穌復活的那個
[00:00:39.000 --> 00:00:42.480]  只有這個神蹟是四卷福音書都有的
[00:00:42.480 --> 00:00:45.680]  不知道你們是否熟悉四卷福音書
[00:00:45.680 --> 00:00:48.080]  四卷福音書是從不同的角度講耶穌
[00:00:48.080 --> 00:00:51.880]  但是只有這個神蹟是四卷福音書都有
[00:00:51.880 --> 00:00:53.880]  所以一定是很特別的
[00:00:53.880 --> 00:00:56.400]  因為唯一這個神蹟是四卷福音書都有
[00:00:56.400 --> 00:01:00.600]  我今天主要看在這段經文裏面
[00:01:00.600 --> 00:01:03.400]  記載了耶穌講三句說話
[00:01:03.400 --> 00:01:04.400]  在這段經文裏面
[00:01:04.400 --> 00:01:05.400]  耶穌應該講很多東西的
[00:01:05.400 --> 00:01:08.400]  因為祂向群眾講道講到很晚
[00:01:08.400 --> 00:01:11.400]  但是經文只記載了三句說話
[00:01:11.400 --> 00:01:14.400]  我們就看耶穌講這三句說話
[00:01:14.400 --> 00:01:16.400]  第一句就是三食一節
[00:01:16.400 --> 00:01:19.400]  耶穌和門徒說你們來吧
[00:01:19.400 --> 00:01:24.400]  和我靜靜地私下暗中去荒野投一投
[00:01:24.400 --> 00:01:26.400]  來吧
[00:01:26.400 --> 00:01:27.400]  我們暗中去休息一休息
[00:01:27.400 --> 00:01:29.400]  你可以當這個是退休會
[00:01:29.400 --> 00:01:31.400]  為什麼?
[00:01:31.400 --> 00:01:32.400]  為什麼耶穌會這樣跟門徒說?
[00:01:32.400 --> 00:01:34.400]  你們想讀經文看不看到?
[00:01:34.400 --> 00:01:37.400]  因為原因就是耶穌和門徒
[00:01:37.400 --> 00:01:40.400]  服侍身邊的人很忙
[00:01:40.400 --> 00:01:41.400]  忙到怎樣?
[00:01:41.400 --> 00:01:46.400]  忙到下半節說他們連吃飯都沒有時間
[00:01:46.400 --> 00:01:48.400]  我希望你們記得這一節經文
[00:01:48.400 --> 00:01:50.400]  我們經常覺得我們香港人很忙
[00:01:50.400 --> 00:01:52.400]  我們國際城市很忙
[00:01:52.400 --> 00:01:54.400]  耶穌很空閒
[00:01:54.400 --> 00:01:55.400]  不是的
[00:01:55.400 --> 00:01:57.400]  耶穌很忙
[00:01:57.400 --> 00:01:59.400]  其實應該古代人比我們忙
