
[00:00:00.000 --> 00:00:04.100]  弟兄姊妹,不知道在你過去的人生歲月當中,
[00:00:04.100 --> 00:00:06.900]  或者是到你現在爲止,
[00:00:06.900 --> 00:00:10.900]  你有沒有經歷過很深重的憂愁痛苦,
[00:00:10.900 --> 00:00:14.700]  或者是無聊期的等待。
[00:00:14.700 --> 00:00:17.600]  你的心裏有憂鬱,
[00:00:17.600 --> 00:00:22.000]  可是沒有人明白,又沒有人可以傾訴。
[00:00:22.000 --> 00:00:23.400]  你有沒有抱怨過,
[00:00:23.400 --> 00:00:27.500]  爲什麼上帝好像總是沒有聽我的禱告呢?
[00:00:27.500 --> 00:00:31.500]  今天我就透過這個小女子哈拿的經歷,
[00:00:31.500 --> 00:00:35.400]  去看看上帝到底聽不聽禱告,
[00:00:35.400 --> 00:00:39.400]  那怎樣的禱告他纔會聽呢?
[00:00:39.400 --> 00:00:41.000]  如果大家有留意的話,
[00:00:41.000 --> 00:00:42.900]  整本的《撒末爾記》,
[00:00:42.900 --> 00:00:45.900]  它講述的是一個民族的興衰,
[00:00:45.900 --> 00:00:49.000]  是關乎國家大事,
[00:00:49.000 --> 00:00:51.500]  但是在頭兩章,
[00:00:51.500 --> 00:00:53.800]  撒末爾記上的頭兩章,
[00:00:53.800 --> 00:00:56.500]  它卻安插了一段兒女私情,
[00:00:56.500 --> 00:00:59.500]  一個小女子的遭遇。
[00:00:59.500 --> 00:01:00.900]  在這個故事裏,
[00:01:00.900 --> 00:01:02.500]  我們看到神,
[00:01:02.500 --> 00:01:05.800]  他不單單掌管民族歷史,
[00:01:05.800 --> 00:01:10.100]  他也無微不至地關心每個人的處境。
[00:01:10.100 --> 00:01:16.400]  這個故事從一個家庭開始,
[00:01:16.400 --> 00:01:18.700]  就是剛纔我們所讀的經文,
[00:01:18.700 --> 00:01:21.300]  這個丈夫叫以利加拿,
[00:01:21.300 --> 00:01:25.000]  他是一個有名望又有錢的立位人,
[00:01:25.000 --> 00:01:26.900]  可以說他五代人,
[00:01:26.900 --> 00:01:30.900]  五代的祖先都是非常成功富有的。
[00:01:30.900 --> 00:01:35.500]  他的生活看起來也相當的寫意,
[00:01:35.500 --> 00:01:37.600]  經文說他有兩個太太,
