
[00:00:00.000 --> 00:00:02.000]  我們的姐妹早晨
[00:00:02.000 --> 00:00:07.000]  在這個疫症裏面祝願每一個人都平安
[00:00:07.000 --> 00:00:10.000]  我今日講路德記
[00:00:10.000 --> 00:00:14.000]  關於路德記首先希望大家知道
[00:00:14.000 --> 00:00:17.000]  希伯來聖經的經卷的編排
[00:00:17.000 --> 00:00:21.000]  和我們的聖經的經卷編排是不同的
[00:00:21.000 --> 00:00:24.000]  在希伯來聖經裏面
[00:00:25.000 --> 00:00:30.000]  路德記之後就不是路德記而是薩姆爾記
[00:00:30.000 --> 00:00:32.000]  至於路德記呢
[00:00:32.000 --> 00:00:34.000]  在希伯來聖經裏面
[00:00:34.000 --> 00:00:39.000]  是放在它的經卷結集的第三個部分
[00:00:39.000 --> 00:00:41.000]  即是我們學術上叫做
[00:00:41.000 --> 00:00:46.000]  或者他們的聖經的分類叫做聖卷的部分
[00:00:46.000 --> 00:00:50.000]  我稱之為一個集項的部分
[00:00:50.000 --> 00:00:53.000]  在這個集項裏面有很多經卷在裏面
[00:00:54.000 --> 00:01:02.000]  其中路德記和牙哥 耶利米埃哥 傳道書 和以斯帖記
[00:01:02.000 --> 00:01:05.000]  又組成一個很獨特的單元
[00:01:05.000 --> 00:01:08.000]  就叫做五小卷
[00:01:08.000 --> 00:01:10.000]  希伯來文叫做Magiloges
[00:01:10.000 --> 00:01:13.000]  這個五小卷很有趣
[00:01:13.000 --> 00:01:18.000]  它有一個信仰上的 禮儀上的功能
[00:01:18.000 --> 00:01:22.000]  就是分別在五個猶太的節期裏面中毒
[00:01:23.000 --> 00:01:26.000]  路德記是在五巡節的時候中毒的
[00:01:26.000 --> 00:01:28.000]  是慶祝豐收
[00:01:28.000 --> 00:01:32.000]  這個就是希伯來聖經的一些經卷的編排
[00:01:32.000 --> 00:01:34.000]  但是在基督教的聖經裏面
[00:01:34.000 --> 00:01:37.000]  我們就把路德記抽了出來
[00:01:37.000 --> 00:01:41.000]  就放了在薩姆爾記和薩姆爾的中間
[00:01:41.000 --> 00:01:48.000]  即是基督教的聖經將它看成是歷史書的其中一卷
[00:01:49.000 --> 00:01:54.000]  那麼經卷位置的不同的編排就改變了那個經卷的性質
[00:01:54.000 --> 00:01:58.000]  亦都左右了讀者對經卷的理解
[00:01:58.000 --> 00:02:02.000]  按照我們的聖經的經卷的編排
[00:02:02.000 --> 00:02:05.000]  路德記之前是《士思記》
[00:02:05.000 --> 00:02:11.000]  《士思記》講的是一個武王館底下社會的一片混亂
[00:02:11.000 --> 00:02:15.000]  接著路德記之後那個是薩姆爾記
[00:02:15.000 --> 00:02:18.000]  講的就是王權的設立
[00:02:19.000 --> 00:02:21.000]  我們下一個月就會講
[00:02:21.000 --> 00:02:24.000]  就藉此去建立一個社會的秩序
[00:02:24.000 --> 00:02:31.000]  而基督教聖經就將路德記放了在《士思記》和《薩姆爾記》的中間
[00:02:31.000 --> 00:02:34.000]  那個意圖都是很清楚
[00:02:34.000 --> 00:02:42.000]  它試圖交代從武王館去到有王館這個歷史的過渡
[00:02:43.000 --> 00:02:49.000]  我們來看看由武王館去到有王館這個歷史的過渡裏面
[00:02:49.000 --> 00:02:52.000]  即是人在扮演什麼樣的角色
[00:02:52.000 --> 00:02:57.000]  一般來說歷史都是帝王像上的歷史
[00:02:57.000 --> 00:03:03.000]  唯有帝王像上這些大的人物才有資格創造歷史
[00:03:03.000 --> 00:03:08.000]  扭轉歷史甚至是改寫歷史
[00:03:08.000 --> 00:03:11.000]  而我們今天要看的路德記
[00:03:12.000 --> 00:03:14.000]  是一種歷史的書寫
[00:03:14.000 --> 00:03:17.000]  講的卻是小人物的故事
[00:03:17.000 --> 00:03:23.000]  它的背景是《士思記》這個所謂武王館混亂的時代
[00:03:23.000 --> 00:03:26.000]  但是就有一些正氣的小人物
[00:03:26.000 --> 00:03:29.000]  在這個這麼混亂的時代
[00:03:29.000 --> 00:03:32.000]  他們依然用一種正氣的生活
[00:03:32.000 --> 00:03:35.000]  編織出一個美麗的人生
[00:03:35.000 --> 00:03:41.000]  正所謂「仗義每多圖九輩,人與義」
[00:03:42.000 --> 00:03:44.000]  這樣的小人物的身上滲透出來
[00:03:44.000 --> 00:03:49.000]  不要小看這些人與義的小人物
[00:03:49.000 --> 00:03:54.000]  他們在冥冥之中創造出歷史的新軌跡
[00:03:54.000 --> 00:04:02.000]  以致後來的薩姆爾記所講的一些後來的王者
[00:04:02.000 --> 00:04:09.000]  就多多少少能夠跟一個混亂的時代的小人物構想關係
[00:04:10.000 --> 00:04:12.000]  大時代的波動
[00:04:12.000 --> 00:04:14.000]  我們這些小人物是猜不到的
[00:04:14.000 --> 00:04:17.000]  能夠做的就是活出仁義
[00:04:17.000 --> 00:04:20.000]  就讓這些仁義的小種子
[00:04:20.000 --> 00:04:24.000]  在冥冥之中結出意想不到的果子
[00:04:24.000 --> 00:04:27.000]  我們看今天的經文
[00:04:27.000 --> 00:04:33.000]  經文都印在大家手上的程序表後面
[00:04:33.000 --> 00:04:36.000]  《路德記》第一章第一節
[00:04:37.000 --> 00:04:40.000]  事施秉靜的時候國中遭遇饑荒
[00:04:40.000 --> 00:04:42.000]  在猶大的百里行
[00:04:42.000 --> 00:04:48.000]  有一個人帶著妻子和兩個兒子往摩鴨地去寄居
[00:04:48.000 --> 00:04:53.000]  一個非常簡單的開場白
[00:04:53.000 --> 00:04:59.000]  就交代了一個時代所面對的種種困局
[00:04:59.000 --> 00:05:01.000]  大家看看第一句
[00:05:01.000 --> 00:05:03.000]  事施秉靜的時候
[00:05:04.000 --> 00:05:08.000]  事施秉靜的時候就是一個沒有王館的混亂的時候
[00:05:08.000 --> 00:05:12.000]  有一個家庭他們住在百里行
[00:05:12.000 --> 00:05:18.000]  百里行這個名字在希伯來文的意思就是糧食之鄉
[00:05:18.000 --> 00:05:22.000]  但是如今糧食之鄉沒有糧食
[00:05:22.000 --> 00:05:24.000]  有一個人
[00:05:24.000 --> 00:05:27.000]  他的名字第二節有說
[00:05:27.000 --> 00:05:29.000]  不過我們的經文沒有讀
[00:05:29.000 --> 00:05:32.000]  他的名字叫做伊利米勒
[00:05:33.000 --> 00:05:37.000]  伊利米勒在希伯來文的意思就是我的神是王
[00:05:37.000 --> 00:05:45.000]  但是他的神在這樣的光景裡面看來保不住他
[00:05:45.000 --> 00:05:47.000]  那他要怎樣呢?
[00:05:47.000 --> 00:05:49.000]  他要移民保命
[00:05:49.000 --> 00:05:54.000]  他就帶著妻子和兩個兒子移民去哪裡?摩鴨
[00:05:54.000 --> 00:05:58.000]  摩鴨在舊約的傳統裡面
[00:05:58.000 --> 00:06:02.000]  是一個對以色列人不懷好意的地方
[00:06:03.000 --> 00:06:04.000]  各位電視節目你們看看
[00:06:04.000 --> 00:06:07.000]  這一家人生於亂世
[00:06:07.000 --> 00:06:09.000]  賺不到錢
[00:06:09.000 --> 00:06:11.000]  神不保佑
[00:06:11.000 --> 00:06:13.000]  他們就只能夠逃命
