
[00:00:00.000 --> 00:00:01.800]  靚姐妹早晨,我是黃牧師
[00:00:01.800 --> 00:00:04.400]  很高興能夠再次在主日崇拜的時間
[00:00:04.400 --> 00:00:06.800]  跟大家一起分享主的道理
[00:00:06.800 --> 00:00:10.800]  能夠讓神的道能夠成為大家的灌溉
[00:00:10.800 --> 00:00:12.400]  能夠不斷地成長
[00:00:12.400 --> 00:00:14.000]  讓我們先聽神的導議
[00:00:14.000 --> 00:00:15.800]  讓我們再次同心地禱告
[00:00:15.800 --> 00:00:18.600]  一起將生命交在上帝的面前
[00:00:18.600 --> 00:00:21.200]  讓聖靈來到我們當中去冒照我們
[00:00:21.200 --> 00:00:22.600]  讓我們同心地禱告
[00:00:22.600 --> 00:00:24.800]  各位親愛的天父多謝您
[00:00:24.800 --> 00:00:27.800]  讓我們能夠再次在主日的時間
[00:00:27.800 --> 00:00:30.400]  能夠一起同心地對上帝的說話
[00:00:30.400 --> 00:00:32.600]  有同心地學習
[00:00:32.600 --> 00:00:36.000]  我們再次把這段時間恭敬交上
[00:00:36.000 --> 00:00:37.800]  靠聖靈的有度
[00:00:37.800 --> 00:00:41.200]  幫助我們能夠明白主的心思意念
[00:00:41.200 --> 00:00:43.600]  好在我們的生命也都像主一樣
[00:00:43.600 --> 00:00:46.000]  我們親愛的天父感謝您
[00:00:46.000 --> 00:00:48.800]  讓我們能夠再次來到您的跟前
[00:00:48.800 --> 00:00:50.600]  在星期天的早上
[00:00:50.600 --> 00:00:52.800]  一起打開主你的說話
[00:00:52.800 --> 00:00:55.600]  透過您的靈的引導
[00:00:55.600 --> 00:00:59.200]  使我們能夠更清楚明白主祢的道理
[00:00:59.200 --> 00:01:02.400]  讓我們明白上帝祢的心思意念
[00:01:02.400 --> 00:01:03.800]  求祢的幫助
[00:01:03.800 --> 00:01:06.000]  使我們能夠在生命當中
[00:01:06.000 --> 00:01:08.400]  一步一步被祢載重
[00:01:08.400 --> 00:01:11.000]  被祢使我們能夠一起來
[00:01:11.000 --> 00:01:12.800]  更清楚地掌握
[00:01:12.800 --> 00:01:15.200]  怎麼和我們基督徒生活
[00:01:15.200 --> 00:01:16.800]  我們的天父
[00:01:16.800 --> 00:01:18.600]  我們想再次感謝您
[00:01:18.600 --> 00:01:21.200]  因為您給了我們另一個機會
[00:01:21.200 --> 00:01:22.800]  在星期天早上
[00:01:22.800 --> 00:01:25.400]  我們可以再次聚在一起
[00:01:25.400 --> 00:01:28.000]  閱讀祢的說話
[00:01:28.000 --> 00:01:29.400]  了解祢的心
[00:01:29.400 --> 00:01:30.600]  幫助我們
[00:01:30.600 --> 00:01:32.000]  透過祢的聖靈
[00:01:32.000 --> 00:01:36.200]  讓我們知道如何在這次靈性的旅程中走下去
[00:01:36.200 --> 00:01:37.400]  我們在名字上祈禱
[00:01:37.400 --> 00:01:38.600]  我們的主耶穌基督
[00:01:38.600 --> 00:01:40.600]  我們同心的禱告感恩
[00:01:40.600 --> 00:01:43.400]  奉靠主耶穌的德性的名字以下
[00:01:43.400 --> 00:01:44.000]  阿們
[00:01:55.400 --> 00:01:57.800]  神的講道主題是
[00:01:57.800 --> 00:02:03.600]  「二人言出必行的靈性」
[00:02:03.600 --> 00:02:05.200]  今天這段經文
[00:02:05.200 --> 00:02:10.600]  再次來自《章節》4:9-12
[00:02:10.600 --> 00:02:12.600]  今天我們會討論
[00:02:12.600 --> 00:02:16.000]  正義之人的特徵
[00:02:16.000 --> 00:02:17.000]  無論如何
[00:02:17.000 --> 00:02:17.800]  他說
[00:02:17.800 --> 00:02:19.400]  他都會實現
[00:02:19.400 --> 00:02:19.800]  好
[00:02:19.800 --> 00:02:22.400]  讓我們再次在聽神的導議
[00:02:22.400 --> 00:02:25.600]  讓我們再次嘗試熟悉一下這段經文
[00:02:25.600 --> 00:02:29.400]  我們先為大家讀出和合本的翻譯
[00:02:29.400 --> 00:02:30.800]  然後會再讀出
[00:02:30.800 --> 00:02:33.800]  NET New English Translation的翻譯
[00:02:33.800 --> 00:02:35.200]  請大家如果有聖經的
[00:02:35.200 --> 00:02:36.800]  也一起打開
[00:02:36.800 --> 00:02:39.400]  一起去看這段聖經
[00:02:39.400 --> 00:02:43.400]  《路德記》第四章
[00:02:43.400 --> 00:02:45.600]  第九至十二節
[00:02:45.600 --> 00:02:49.800]  波亞斯對長老和中文說
[00:02:49.800 --> 00:02:53.800]  「你們今日作見證凡屬以利米勒
