
[00:00:00.000 --> 00:00:02.000]  影子妹午安
[00:00:02.000 --> 00:00:08.000]  幾年前我就在這裏跟大家分享過
[00:00:08.000 --> 00:00:12.000]  有一套2013年所拍
[00:00:12.000 --> 00:00:14.000]  令我很感動的電影
[00:00:14.000 --> 00:00:16.000]  我不知道大家記不記得
[00:00:16.000 --> 00:00:18.000]  叫做《爭氣》
[00:00:18.000 --> 00:00:21.000]  這套紀錄片其實是記錄了
[00:00:21.000 --> 00:00:25.000]  有一班被人視為失敗者
[00:00:25.000 --> 00:00:29.000]  有一班Band 3的學生
[00:00:29.000 --> 00:00:35.000]  他們一起去排演了一套舞台劇
[00:00:35.000 --> 00:00:37.000]  叫做《震動森嚴》
[00:00:37.000 --> 00:00:40.000]  原來在六年之後
[00:00:40.000 --> 00:00:43.000]  拍《爭氣》的導演
[00:00:43.000 --> 00:00:47.000]  竟然拍了一套續集
[00:00:47.000 --> 00:00:50.000]  叫做《繼續爭氣》
[00:00:50.000 --> 00:00:56.000]  這套續集就是技術番當中有幾個主角
[00:00:56.000 --> 00:00:59.000]  在這六年裏
[00:00:59.000 --> 00:01:01.000]  究竟這班年青人
[00:01:01.000 --> 00:01:05.000]  生命裏面一些的蛻變和成長
[00:01:05.000 --> 00:01:08.000]  六年其實對他們年輕的生命來說
[00:01:08.000 --> 00:01:10.000]  真的不簡單
[00:01:10.000 --> 00:01:14.000]  有些人就進了社福界工作
[00:01:14.000 --> 00:01:19.000]  有些人就進了中大語言系
[00:01:19.000 --> 00:01:21.000]  linguistic 都很艱難
[00:01:21.000 --> 00:01:26.000]  有些人就在中大社會科學系
[00:01:26.000 --> 00:01:28.000]  今天要跟大家說的就是
[00:01:28.000 --> 00:01:32.000]  進了社會科學系一位失明的學生
[00:01:32.000 --> 00:01:34.000]  他叫做子樂
[00:01:34.000 --> 00:01:40.000]  他原來在過去幾年有機會上了主
[00:01:40.000 --> 00:01:42.000]  在他上了主之後
[00:01:42.000 --> 00:01:48.000]  他就參與了中大一個基督徒領袖訓練計劃
[00:01:48.000 --> 00:01:54.000]  所舉辦的以色列的學習團
[00:01:54.000 --> 00:01:59.000]  去到以色列這個地方觀光學習
[00:01:59.000 --> 00:02:03.000]  電影裏面有一個片段令我很深刻
[00:02:03.000 --> 00:02:05.000]  他們看不到東西的
[00:02:05.000 --> 00:02:09.000]  他們一班人連同子樂
[00:02:09.000 --> 00:02:15.000]  就一起行了一段十幾公里耶穌的足印
[00:02:15.000 --> 00:02:18.000]  一段抗議體驗
[00:02:18.000 --> 00:02:20.000]  他們想體驗什麼呢
[00:02:20.000 --> 00:02:24.000]  聖經常說耶穌是走遍各城各鄉
[00:02:24.000 --> 00:02:26.000]  什麼叫走遍各城各鄉呢
[00:02:26.000 --> 00:02:28.000]  試一下吧
[00:02:28.000 --> 00:02:32.000]  起初這個團的校目
[00:02:32.000 --> 00:02:34.000]  就是中大那個校目
[00:02:34.000 --> 00:02:39.000]  就覺得叫子樂不要來
[00:02:39.000 --> 00:02:41.000]  那一節你就坐旅遊車吧
