
[00:00:00.000 --> 00:00:05.000]  去年在曼科羅博·Richmond宣道會講道時
[00:00:05.000 --> 00:00:07.000]  晚上7點半
[00:00:07.000 --> 00:00:10.000]  沒講道之前 我在外面看
[00:00:10.000 --> 00:00:13.000]  看看有什麼人 有什麼需要
[00:00:13.000 --> 00:00:16.000]  有什麼問題可以解答
[00:00:16.000 --> 00:00:19.000]  其中有一個姐妹帶了她兒子來
[00:00:19.000 --> 00:00:21.000]  她兒子在UBC University of British Columbia
[00:00:21.000 --> 00:00:23.000]  讀第二年級
[00:00:23.000 --> 00:00:26.000]  帶她兒子來 希望他今天信主
[00:00:26.000 --> 00:00:29.000]  我問你兒子在哪裡 她說帶他出來
[00:00:29.000 --> 00:00:31.000]  我問你講中文還是英文
[00:00:31.000 --> 00:00:35.000]  她說中文都可以 我說什麼叫中文都可以
[00:00:35.000 --> 00:00:38.000]  我講話講得很深 你都聽得進去
[00:00:38.000 --> 00:00:40.000]  中文都可以 只是問你吃飯了沒有
[00:00:40.000 --> 00:00:43.000]  你好嗎 那些不是中文
[00:00:43.000 --> 00:00:47.000]  她說我在加拿大出生 所以和她講英文
[00:00:47.000 --> 00:00:50.000]  我問你信了主了沒有 她說沒有
[00:00:50.000 --> 00:00:55.000]  有些東西我真是頂不住 你們信耶穌
[00:00:55.000 --> 00:00:59.000]  你乾嘛這麼吵
[00:00:59.000 --> 00:01:02.000]  你信什麼 她說我無神論
[00:01:02.000 --> 00:01:06.000]  因為我的朋友是無神論 我們讀什麼書
[00:01:06.000 --> 00:01:10.000]  在大學讀第二年級 你很厲害 你懂什麼
[00:01:10.000 --> 00:01:13.000]  她說我最大的麻煩
[00:01:13.000 --> 00:01:17.000]  你們信主的人 神是全能是全知
[00:01:17.000 --> 00:01:19.000]  所以每一件事都是預定的
[00:01:19.000 --> 00:01:21.000]  有一天如果上帝要審我的時候
[00:01:21.000 --> 00:01:24.000]  我就說我不信耶穌 因為你預定我不信
[00:01:24.000 --> 00:01:28.000]  沒說出來我不是不信 你預定我不信
[00:01:28.000 --> 00:01:32.000]  但是有些人說當下犯罪是自由意志
[00:01:32.000 --> 00:01:35.000]  這兩樣東西怎麼配合
[00:01:35.000 --> 00:01:38.000]  我知道問題在哪裡
[00:01:38.000 --> 00:01:40.000]  我用英文跟她說
[00:01:40.000 --> 00:01:43.000]  How can you sleep at night
[00:01:43.000 --> 00:01:45.000]  You know so little
[00:01:45.000 --> 00:01:49.000]  你晚上怎麼睡得著覺 你認識的那麼少
[00:01:49.000 --> 00:01:52.000]  你有幾個朋友不是在無神論
[00:01:52.000 --> 00:01:54.000]  你就信無神論
[00:01:54.000 --> 00:01:57.000]  你開車去到T字形路口
[00:01:57.000 --> 00:01:59.000]  你要轉彎 你不轉彎就撞
[00:01:59.000 --> 00:02:01.000]  要麼就撞到一棵樹 要麼就撞到房子
[00:02:01.000 --> 00:02:03.000]  你要左轉 左轉就不可以右轉
[00:02:03.000 --> 00:02:04.000]  右轉就不可以左轉
[00:02:04.000 --> 00:02:06.000]  我說對 你說得對 我說當然對
[00:02:06.000 --> 00:02:08.000]  這是人的限制
[00:02:08.000 --> 00:02:12.000]  我們的上帝可以左轉右轉同時進行
[00:02:12.000 --> 00:02:14.000]  我問你服不服
[00:02:14.000 --> 00:02:17.000]  她說我先聽著
[00:02:17.000 --> 00:02:21.000]  我說你今晚來 是媽咪叫你來的
[00:02:21.000 --> 00:02:23.000]  她有沒有用槍指著你叫你來
[00:02:23.000 --> 00:02:24.000]  沒有
[00:02:24.000 --> 00:02:26.000]  那就是你自由意志來
[00:02:26.000 --> 00:02:29.000]  你不來她也沒辦法 你是大學生
[00:02:29.000 --> 00:02:32.000]  但你知不知道你今晚會信主
[00:02:32.000 --> 00:02:36.000]  她說當然不會 會我就不會來
[00:02:36.000 --> 00:02:43.000]  她自己預定自己不信主
[00:02:43.000 --> 00:02:47.000]  我們的上帝可以同時轉左 同時轉右
[00:02:47.000 --> 00:02:52.000]  上帝知道你今晚會決志 會舉手會信耶穌
[00:02:52.000 --> 00:02:55.000]  所以祂就將你擺在一個這樣的家庭
[00:02:55.000 --> 00:02:57.000]  一個那麼愛主的媽咪
[00:02:57.000 --> 00:03:01.000]  媽咪天天為你祈禱 祈禱了很多年
[00:03:01.000 --> 00:03:03.000]  祂就不知道你交了這樣的朋友
[00:03:03.000 --> 00:03:06.000]  所以今晚就帶你來 希望你有機會信耶穌
[00:03:06.000 --> 00:03:08.000]  上帝都知道你今晚會信主
[00:03:08.000 --> 00:03:12.000]  不過你不知道
[00:03:12.000 --> 00:03:14.000]  上帝什麼都知道 你什麼都不知道
[00:03:14.000 --> 00:03:17.000]  我們人什麼都不知道
[00:03:17.000 --> 00:03:19.000]  在上帝的角度是預定
[00:03:19.000 --> 00:03:22.000]  在人的角度是自由意志
[00:03:22.000 --> 00:03:24.000]  是不是同時轉左 同時轉右
[00:03:24.000 --> 00:03:26.000]  那晚她信了主
[00:03:26.000 --> 00:03:28.000]  你怎麼拼呢
[00:03:28.000 --> 00:03:32.000]  一個科學家講事實 講邏輯
[00:03:32.000 --> 00:03:33.000]  我就不喜歡講理論
[00:03:33.000 --> 00:03:36.000]  科學理論有些未證實的我就不可以這樣講
[00:03:36.000 --> 00:03:38.000]  同性戀是遺傳的
[00:03:38.000 --> 00:03:40.000]  遺傳基因還沒找到
[00:03:40.000 --> 00:03:45.000]  沒有我不知道 還沒找到 唯有用邏輯來回答
[00:03:45.000 --> 00:03:47.000]  我全世界到處走
[00:03:47.000 --> 00:03:49.000]  當有個人走來問我 大庭廣眾問
[00:03:49.000 --> 00:03:51.000]  你這個上帝既然全知道
[00:03:51.000 --> 00:03:53.000]  阿當 阿蛙犯罪
[00:03:53.000 --> 00:03:55.000]  他們受不住那個試探
[00:03:55.000 --> 00:03:57.000]  答錯東西 失敗
[00:03:57.000 --> 00:03:59.000]  以致離開神
