
[00:00:00.000 --> 00:00:04.420]  你的爸爸媽媽 或是你的配偶
[00:00:04.420 --> 00:00:07.920]  答應過你的事 很多很多年前答應過的
[00:00:07.920 --> 00:00:09.300]  你還會不會記得
[00:00:09.300 --> 00:00:13.320]  有沒有想起 有沒有想起
[00:00:13.320 --> 00:00:17.160]  即是說 連你都不會記得
[00:00:17.160 --> 00:00:18.680]  你都想不起了
[00:00:18.680 --> 00:00:19.680]  即是說
[00:00:19.680 --> 00:00:24.180]  答應你的爸爸媽媽 或是你的配偶
[00:00:24.180 --> 00:00:25.660]  其實他都不記得
[00:00:25.660 --> 00:00:28.620]  但是呢
[00:00:29.040 --> 00:00:31.100]  阿巴蘭 他記得
[00:00:31.100 --> 00:00:36.080]  他記得當日 主怎樣吩咐他
[00:00:36.080 --> 00:00:40.160]  離開他本地啦 本族啦 父家啦
[00:00:40.160 --> 00:00:43.660]  還答應他說
[00:00:43.660 --> 00:00:46.640]  他會成為一個大的國家
[00:00:46.640 --> 00:00:48.940]  阿巴蘭他記得啦
[00:00:48.940 --> 00:00:51.200]  他記得他照做
[00:00:51.200 --> 00:00:55.700]  阿巴蘭他離開他本地 本族 父家的時候
[00:00:55.700 --> 00:00:57.660]  他是75歲
[00:00:57.880 --> 00:00:59.160]  去到今天呢
[00:00:59.160 --> 00:01:03.360]  去到今天 他已經是99歲
[00:01:03.360 --> 00:01:05.060]  足足幾多年了
[00:01:05.060 --> 00:01:07.300]  足足幾多年了
[00:01:07.300 --> 00:01:11.520]  24年 足足已經24年了
[00:01:11.520 --> 00:01:16.380]  當然中間發生很多事啦 很多波折啦
[00:01:16.380 --> 00:01:20.020]  主都不是完全不聞不問
[00:01:20.020 --> 00:01:22.700]  主有對阿巴蘭說話的
[00:01:22.700 --> 00:01:25.360]  但大多數的時間
[00:01:25.360 --> 00:01:27.640]  阿巴蘭都是等啦
[00:01:28.380 --> 00:01:29.380]  或者呢
[00:01:29.380 --> 00:01:33.260]  偶爾都會想起 主跟他說過的話
[00:01:33.260 --> 00:01:35.660]  阿巴蘭他可以捉痰的
[00:01:35.660 --> 00:01:38.200]  可以捉痰去敬拜主的
[00:01:38.200 --> 00:01:42.860]  但畢竟不是叫啊主啊
[00:01:42.860 --> 00:01:46.860]  主啊 主就會出現 主就會顯現
[00:01:46.860 --> 00:01:48.940]  或者主就會跟他說話
[00:01:48.940 --> 00:01:53.720]  但是阿巴蘭 他仍然信得過主
[00:01:53.720 --> 00:01:56.320]  因為主的說話不會落空
[00:01:56.980 --> 00:02:01.020]  正如啦 你不會 連你都忘記了
[00:02:01.020 --> 00:02:04.540]  你都不會因為你爸爸媽媽 或者你的配偶
[00:02:04.540 --> 00:02:07.220]  答應過你的事還沒做
[00:02:07.220 --> 00:02:10.780]  你就會放棄他 因為連你都忘記了
[00:02:10.780 --> 00:02:15.040]  你不會說因為他
[00:02:15.040 --> 00:02:17.860]  答應過你的事還沒做
[00:02:17.860 --> 00:02:20.060]  你就找另一個
[00:02:20.060 --> 00:02:23.920]  阿巴蘭他沒有放棄主
[00:02:25.140 --> 00:02:29.120]  他都沒有放棄過主說過的話
[00:02:29.120 --> 00:02:33.280]  事實上 其實在這24年裏面
[00:02:33.280 --> 00:02:35.120]  主一直都有說話
[00:02:35.120 --> 00:02:36.480]  不單止說話
[00:02:36.480 --> 00:02:39.500]  更加其中試過帶去看一些景象
[00:02:39.500 --> 00:02:41.320]  譬如呢 望下那些星
[00:02:41.320 --> 00:02:42.720]  哇
[00:02:42.720 --> 00:02:44.100]  就是這麼多了
[00:02:44.100 --> 00:02:47.140]  好多好多好多的想像
[00:02:47.140 --> 00:02:51.480]  令到阿巴蘭 即使那些事
[00:02:51.480 --> 00:02:55.020]  主答應過的事 還沒發生
[00:02:55.280 --> 00:02:56.600]  見不到
[00:02:56.600 --> 00:02:58.360]  甚至你想想
[00:02:58.360 --> 00:03:01.540]  其實那些事完全是阿巴蘭他掌握不到的
[00:03:01.540 --> 00:03:06.000]  他仍然沒有完全失去
