
[00:00:00.000 --> 00:00:09.000]  要跟各位分享,約翰福音實實在在的真理,到底約翰福音跟我們講了什麼真理,
[00:00:09.000 --> 00:00:13.000]  讓我們用六次,讓我把它講清楚。
[00:00:13.000 --> 00:00:19.000]  那麼今天我第一次要跟各位講是說,耶穌基督是生命的糧。
[00:00:19.000 --> 00:00:25.000]  各位都知道,約翰福音是四福音書中間的一本,
[00:00:25.000 --> 00:00:31.000]  四福音書就是馬太福音、馬可福音、路加福音還有約翰福音。
[00:00:31.000 --> 00:00:38.000]  前三本書一般稱作叫做福類福音,因為這三本書蠻像,
[00:00:38.000 --> 00:00:45.000]  但是約翰福音就很奇怪,就跟這三本書完全不一樣。
[00:00:45.000 --> 00:00:50.000]  來講一下約翰的背景,約翰是西比泰的兒子,
[00:00:50.000 --> 00:01:00.000]  他跟他的哥哥叫做雅各,這兩個人都是耶穌召的第一批的十二個門徒中間的兩個。
[00:01:00.000 --> 00:01:07.000]  很有趣的是,雅各是十二個門徒裡面第一個殉道的,
[00:01:07.000 --> 00:01:15.000]  他被大敘利王用刀子殺死了,約翰他是最後一個才殉道的。
[00:01:15.000 --> 00:01:23.000]  主耶穌基督被釘在十字架上的時候,他特別把自己的母親託付給了約翰,
[00:01:23.000 --> 00:01:30.000]  他說母親看你的兒子,然後跟著跟約翰說兒子看你的母親。
[00:01:30.000 --> 00:01:36.000]  所以冥冥之中神已經注定好要讓約翰活到最老,
[00:01:36.000 --> 00:01:44.000]  所以當他活到九十多歲的時候,人家還把他抬上台要他分享信息,
[00:01:44.000 --> 00:01:51.000]  他每一次上了台,他就說孩子們啊,你們要彼此相愛,然後就抬下台去了。
[00:01:51.000 --> 00:01:57.000]  本來是一個很暴力的、非常凶惡的一個人,
[00:01:57.000 --> 00:02:04.000]  他跟他的哥哥雅各被人家稱扮齊尼,意思就是雷子,表示他脾氣很暴躁。
[00:02:04.000 --> 00:02:11.000]  他們脾氣多麼暴躁呢,有一次有人奉耶穌的名趕鬼,
[00:02:11.000 --> 00:02:16.000]  但是又不是蛇兒門徒之列,又不跟隨耶穌的,
[00:02:16.000 --> 00:02:23.000]  所以約翰跟雅各就很生氣,就不准這個人奉主耶穌基督的名趕鬼,
[00:02:23.000 --> 00:02:27.000]  所以他們很凶的,脾氣很暴的。
[00:02:27.000 --> 00:02:33.000]  那麼還有一次,耶穌跟門徒來到撒瑪利亞,結果人家不接待他們,
[00:02:33.000 --> 00:02:39.000]  約翰就跟耶穌說,主啊,你要赤下天火把他們燒滅。
[00:02:39.000 --> 00:02:46.000]  就好像在舊約的時候,以利亞用天火燒滅那些不尊敬先知的人。
[00:02:46.000 --> 00:02:50.000]  所以約翰是一個非常凶暴暴力的人,
[00:02:50.000 --> 00:02:57.000]  但是神得到他,耶穌得到他,結果他成了一個愛的使徒。
[00:02:57.000 --> 00:03:05.000]  在羅馬暴君多米田的時候,他被抓起來,然後放逐到巴摩海島,
[00:03:05.000 --> 00:03:11.000]  就在海島上面,他又寫成了《啟示錄》,整本聖經的最後一本書。
[00:03:11.000 --> 00:03:19.000]  當然啦,神啟示他,除了寫了約翰福音,還有寫約翰一二三書,然後啟示錄。
[00:03:19.000 --> 00:03:26.000]  所以這一個人,是非常有意思的一個人,他是跟隨耶穌,
[00:03:26.000 --> 00:03:29.000]  他剛開始是門徒,後來成為使徒。
[00:03:29.000 --> 00:03:33.000]  各位知道門徒跟使徒有什麼分別嗎?
[00:03:33.000 --> 00:03:41.000]  門徒顧其名就是跟過耶穌的,叫做門徒,後來通通改成使徒。
[00:03:41.000 --> 00:03:49.000]  譬如講馬太、約翰、彼得等叫做門徒,但是路加不是門徒,
[00:03:49.000 --> 00:03:54.000]  甚至於保羅也不是門徒,他沒有親自跟過耶穌的。
[00:03:54.000 --> 00:04:01.000]  但是不管怎麼樣,今天我們就要來看約翰福音實實在在的真理。
[00:04:01.000 --> 00:04:05.000]  今天我要講耶穌基督是生命的糧。
[00:04:05.000 --> 00:04:10.000]  約翰福音他特別講耶穌基督是真理,
[00:04:10.000 --> 00:04:17.000]  不是說其他的書本不講耶穌是真理,而是約翰福音特別的強調。
[00:04:17.000 --> 00:04:20.000]  如果你去看約翰福音第一章第一節,
[00:04:20.000 --> 00:04:26.000]  他說太初有道,道與神同在,道就是神。
[00:04:26.000 --> 00:04:34.000]  第一章第三節他又說萬物是藉著他造的,很熟的一句話不是嗎?
[00:04:34.000 --> 00:04:42.000]  如果你去看創世紀第一章第一節,他說起初神創造天地萬物,
[00:04:42.000 --> 00:04:45.000]  不是跟約翰福音講的好像一樣嗎?
[00:04:45.000 --> 00:04:51.000]  太初有道,英文是說in the beginning there was the word,
[00:04:51.000 --> 00:04:59.000]  道就是word,就是話語,那麼道成了肉身,word became flesh,
[00:04:59.000 --> 00:05:06.000]  所以神的話語成為了肉身,那個肉身是誰呀?就是耶穌基督嘛。
[00:05:06.000 --> 00:05:14.000]  他說祂恩典充充滿滿的住在我們中間,滿有神的容光,滿有神的形象,
[00:05:14.000 --> 00:05:18.000]  這個真理就是耶穌基督。
[00:05:18.000 --> 00:05:23.000]  而我們再回想一下在創世紀裡面,神創造天地宇宙萬物,
[00:05:23.000 --> 00:05:26.000]  祂是用什麼造的?
[00:05:26.000 --> 00:05:30.000]  神實際上祂是說有就有,命令就立,
[00:05:30.000 --> 00:05:38.000]  祂是by His word,就是用祂的道,用祂講出來的事情就成就了。
[00:05:38.000 --> 00:05:43.000]  所以這個word在舊約的word跟新約這個word是同一個word,
[00:05:43.000 --> 00:05:47.000]  所以我們不能說耶穌是新約才有的,
[00:05:47.000 --> 00:05:51.000]  實際上耶穌或者我們應該說是基督,
[00:05:51.000 --> 00:05:55.000]  祂是三一真神,在創世之前就有了,
[00:05:55.000 --> 00:05:58.000]  祂們創造了天地宇宙萬物,
[00:05:58.000 --> 00:06:02.000]  就是這個word後來became flesh,
[00:06:02.000 --> 00:06:07.000]  道成肉身,叫做耶穌來到這個世界上面,
[00:06:07.000 --> 00:06:12.000]  為救我們,為贖我們的罪,被釘死在十字架上。
[00:06:12.000 --> 00:06:19.000]  如約翰福音三章十六節所說,叫一切信祂的不致滅亡,反得永生。
[00:06:19.000 --> 00:06:22.000]  我們常常講這句話好棒,不是嗎?
[00:06:22.000 --> 00:06:26.000]  但是您如果仔細去看約翰福音三章十八節,
[00:06:26.000 --> 00:06:30.000]  祂說什麼?如果你不信的話,就已經死定了。
