
[00:00:00.000 --> 00:00:02.000]  有個祈禱
[00:00:02.000 --> 00:00:03.000]  求主祢賜恩
[00:00:03.000 --> 00:00:08.000]  讓我們能夠打開祢話語的時候
[00:00:08.000 --> 00:00:11.000]  可以明白
[00:00:11.000 --> 00:00:13.000]  明白之後
[00:00:13.000 --> 00:00:20.000]  我們有一個願意去信服的心
[00:00:20.000 --> 00:00:25.000]  來踐行上帝祢自己給我們的吩咐
[00:00:25.000 --> 00:00:28.000]  願我們講的聽的都一同得幫助
[00:00:28.000 --> 00:00:30.000]  祈禱奉耶穌基督的名
[00:00:30.000 --> 00:00:32.000]  誠心所願
[00:00:58.000 --> 00:01:02.000]  其實我是選了約書亞記兩段的聖經
[00:01:02.000 --> 00:01:04.000]  或者兩章的聖經
[00:01:04.000 --> 00:01:08.000]  來講我這兩次的講道
[00:01:08.000 --> 00:01:11.000]  上一次就是講耶利哥
[00:01:11.000 --> 00:01:14.000]  講得勝之道
[00:01:14.000 --> 00:01:17.000]  有抬起約櫃的信心
[00:01:17.000 --> 00:01:21.000]  那個信息是很鼓舞人的
[00:01:21.000 --> 00:01:24.000]  我們抬起約櫃的信心
[00:01:24.000 --> 00:01:26.000]  而得到勝利
[00:01:26.000 --> 00:01:30.000]  而今天所讀的聖經就比較沉重
[00:01:30.000 --> 00:01:36.000]  講到阿幹因為偷取了當月之物
[00:01:36.000 --> 00:01:41.000]  而連累到以色列人打敗仗
[00:01:41.000 --> 00:01:46.000]  而他自己本身也受了一個很大的審判
[00:01:46.000 --> 00:01:49.000]  我的題目是不敗之道
[00:01:49.000 --> 00:01:52.000]  捨棄當月之物的決心
[00:01:52.000 --> 00:01:56.000]  這裡是一個對稱的
[00:01:56.000 --> 00:01:58.000]  一個勝一個敗
[00:01:58.000 --> 00:02:01.000]  約書亞記打開
[00:02:01.000 --> 00:02:06.000]  就是進入迦南的兩場戰爭
[00:02:06.000 --> 00:02:08.000]  或者最先的兩場戰爭
[00:02:08.000 --> 00:02:10.000]  記載在之前
[00:02:10.000 --> 00:02:12.000]  第一場就是我們上一次講的
[00:02:12.000 --> 00:02:14.000]  另外這一場
