
[00:00:00.000 --> 00:00:06.180]  最近KTSF晚上有個電視劇
[00:00:06.180 --> 00:00:08.160]  中國大陸出品 挺好看的
[00:00:08.160 --> 00:00:10.640]  不過我沒時間看 詩沒時間看
[00:00:10.640 --> 00:00:12.140]  有沒有人看啊
[00:00:12.140 --> 00:00:15.620]  二十六臺夜晚 叫什麼
[00:00:15.620 --> 00:00:18.120]  離婚律師
[00:00:18.120 --> 00:00:19.640]  所以我沒興趣看
[00:00:19.640 --> 00:00:24.160]  不過剛剛纔兩個星期有一集很特別的
[00:00:24.160 --> 00:00:30.760]  那一集裏面說到一個老公發了
[00:00:30.760 --> 00:00:33.140]  發了之後很容易有的
[00:00:33.140 --> 00:00:35.860]  是什麼呢 就是小三
[00:00:35.860 --> 00:00:37.600]  原來大家都沒事的
[00:00:37.600 --> 00:00:41.300]  不過糟糕了 小三有了
[00:00:41.300 --> 00:00:43.200]  大了肚子
[00:00:43.200 --> 00:00:48.160]  於是他就想 我現在大了肚子了
[00:00:48.160 --> 00:00:53.040]  於是他結了婚 二十五年的老婆要離婚
[00:00:53.040 --> 00:00:55.600]  這是電視劇 有沒有真正的出現呢
[00:00:55.600 --> 00:00:57.520]  我不知道 結果呢
[00:00:57.520 --> 00:01:00.840]  那兩個離婚律師 一個代表男方 一個代表女方
[00:01:00.840 --> 00:01:03.680]  就搞了個離婚晚宴
[00:01:03.680 --> 00:01:05.040]  爲了離婚
[00:01:05.040 --> 00:01:10.680]  就叫了以前結婚的時候的親朋好友來見證他們離婚
[00:01:10.680 --> 00:01:12.680]  其實就很噁心的
[00:01:12.680 --> 00:01:14.760]  因爲是演戲嘛
[00:01:14.760 --> 00:01:16.840]  不過特別的地方是什麼呢
[00:01:16.840 --> 00:01:19.040]  就是當那位老先生看到我們
[00:01:19.040 --> 00:01:21.360]  很可惜今天要分開了 沒辦法了
[00:01:21.360 --> 00:01:24.240]  三句兩句說完就交給老婆
[00:01:24.240 --> 00:01:27.360]  老婆拿着麥放了一個slide
[00:01:27.360 --> 00:01:28.960]  一套slide
[00:01:28.960 --> 00:01:32.520]  這個幻燈片就講到過去二十五年裏面
[00:01:32.520 --> 00:01:34.920]  這個做老婆的那個
[00:01:34.920 --> 00:01:38.400]  就是怎麼跟她的老公一起捱苦
[00:01:38.400 --> 00:01:41.800]  她老公生病的時候怎麼揹她上三樓看醫生
[00:01:41.800 --> 00:01:47.000]  然後在很多困難的處境當中
[00:01:47.000 --> 00:01:49.840]  下雨 日曬雨淋
[00:01:49.840 --> 00:01:52.200]  陪着老公去創業
[00:01:52.200 --> 00:01:54.440]  對老公不離不棄
[00:01:54.440 --> 00:01:59.040]  老公答應她以後這張信用卡任你用
[00:01:59.040 --> 00:02:03.520]  她說現在我有很多錢用 不過我不開心不快樂
