
[00:00:00.000 --> 00:00:03.840]  今天讀這兩段聖經
[00:00:03.840 --> 00:00:06.520]  實在是很有關連
[00:00:06.520 --> 00:00:09.600]  因為大衛犯了罪
[00:00:09.600 --> 00:00:14.480]  那丹先知來到當面指責
[00:00:14.480 --> 00:00:18.880]  然後大衛寫了這首詩
[00:00:18.880 --> 00:00:21.080]  我們一起祈禱
[00:00:21.080 --> 00:00:22.600]  我們交託給主
[00:00:22.600 --> 00:00:24.600]  讓上帝的聖靈在我們當中
[00:00:24.600 --> 00:00:26.000]  我們一起祈禱
[00:00:26.000 --> 00:00:30.760]  我們主,我們神,我們求祢監察,求祢幫助
[00:00:30.760 --> 00:00:33.000]  願祢的靈在我們裡面
[00:00:33.000 --> 00:00:36.720]  指引我們,光照我們
[00:00:36.720 --> 00:00:39.600]  讓我們能夠明白
[00:00:39.600 --> 00:00:42.720]  讓我們能夠去跟從
[00:00:42.720 --> 00:00:47.360]  願祢的旨意成就在我們身上
[00:00:47.360 --> 00:00:50.320]  我們感恩,祈禱,奉耶穌基督名求
[00:00:50.320 --> 00:00:51.320]  阿們
[00:00:56.000 --> 00:01:04.520]  今天我主要跟大家分享的是詩篇51篇
[00:01:04.520 --> 00:01:08.040]  這首是一首悔罪的詩
[00:01:08.040 --> 00:01:10.320]  是大衛的討文
[00:01:10.320 --> 00:01:13.880]  剛才讀的時候我們沒有讀完
[00:01:13.880 --> 00:01:17.240]  一開始我們有一段說話
[00:01:17.240 --> 00:01:19.080]  然後才開始討文
[00:01:19.080 --> 00:01:20.520]  我為大家讀出
[00:01:20.520 --> 00:01:24.120]  大衛與拔士巴同房以後
[00:01:24.120 --> 00:01:26.840]  那丹先知來見他
[00:01:26.840 --> 00:01:28.280]  他作者詩
[00:01:28.280 --> 00:01:33.280]  交給聖詠團長
[00:01:33.280 --> 00:01:39.280]  這首悔罪的詩不單只是關於大衛
[00:01:39.280 --> 00:01:41.600]  他要認罪悔改
[00:01:41.600 --> 00:01:46.640]  實在都關乎我們每一個信徒
